['way', 'information', 'government', 'year']
['place', 'year', 'day', 'life']
['information', 'group', 'way', 'work']
['year', 'course', 'group', 'life']
['company', 'information', 'man', 'day']
['life', 'end', 'world', 'house']
['world', 'group', 'man', 'government']
['part', 'world', 'party', 'place']
['end', 'fact', 'part', 'case']
['part', 'world', 'way', 'party']
['place', 'government', 'case', 'world']
['course', 'case', 'house', 'day']
['work', 'world', 'house', 'way']
['man', 'house', 'school', 'group']
['year', 'party', 'man', 'day']
['end', 'life', 'day', 'group']
['part', 'world', 'work', 'party']
['school', 'government', 'end', 'man']
['government', 'man', 'life', 'company']
['way', 'course', 'work', 'house']
['party', 'man', 'course', 'day']
['end', 'way', 'system', 'school']
['part', 'year', 'school', 'house']
['life', 'day', 'end', 'way']
['place', 'party', 'company', 'day']
['day', 'way', 'year', 'fact']
['day', 'work', 'life', 'man']
['house', 'party', 'day', 'system']
['end', 'way', 'man', 'case']
['year', 'group', 'place', 'system']
['day', 'party', 'government', 'system']
['house', 'place', 'party', 'work']
['fact', 'course', 'way', 'world']
['school', 'day', 'world', 'year']
['school', 'government', 'end', 'company']
['work', 'end', 'course', 'part']
['man', 'end', 'company', 'government']
['system', 'house', 'life', 'course']
['man', 'life', 'part', 'day']
['world', 'fact', 'party', 'man']
['man', 'life', 'world', 'system']
['man', 'system', 'way', 'group']
['course', 'information', 'world', 'company']
['school', 'government', 'day', 'life']
['system', 'work', 'man', 'house']
['party', 'world', 'course', 'year']
['life', 'work', 'information', 'fact']
['way', 'government', 'information', 'work']
['end', 'work', 'day', 'world']
['day', 'case', 'world', 'way']
['course', 'year', 'party', 'system']
