['day', 'information', 'place', 'end']
['group', 'party', 'end', 'fact']
['part', 'place', 'world', 'government']
['way', 'system', 'party', 'house']
['case', 'house', 'place', 'system']
['man', 'school', 'government', 'course']
['fact', 'company', 'course', 'day']
['school', 'company', 'group', 'place']
['information', 'day', 'part', 'world']
['life', 'company', 'year', 'work']
['world', 'way', 'work', 'house']
['case', 'government', 'way', 'fact']
['information', 'end', 'system', 'government']
['year', 'course', 'party', 'fact']
['fact', 'place', 'group', 'school']
['part', 'way', 'course', 'group']
['fact', 'company', 'way', 'party']
['part', 'government', 'party', 'system']
['day', 'fact', 'end', 'work']
['house', 'place', 'way', 'school']
['party', 'government', 'part', 'information']
['fact', 'man', 'place', 'school']
['way', 'group', 'house', 'place']
['government', 'house', 'place', 'party']
['part', 'year', 'course', 'end']
['life', 'group', 'day', 'company']
['information', 'school', 'day', 'life']
['company', 'work', 'fact', 'way']
['life', 'school', 'group', 'system']
['end', 'system', 'day', 'information']
['man', 'fact', 'case', 'school']
['man', 'end', 'party', 'part']
['place', 'work', 'party', 'end']
['case', 'course', 'school', 'government']
['day', 'place', 'government', 'man']
['information', 'end', 'day', 'man']
['house', 'life', 'case', 'place']
['party', 'course', 'government', 'world']
['group', 'course', 'day', 'company']
['system', 'government', 'world', 'fact']
['place', 'life', 'house', 'party']
['world', 'year', 'part', 'system']
['system', 'case', 'world', 'information']
['company', 'way', 'case', 'end']
['place', 'fact', 'day', 'life']
['government', 'information', 'man', 'house']
['part', 'government', 'information', 'man']
['fact', 'place', 'man', 'day']
['government', 'case', 'school', 'year']
['system', 'course', 'day', 'life']
['end', 'fact', 'information', 'case']
['group', 'company', 'world', 'day']
['way', 'school', 'course', 'fact']
['house', 'group', 'way', 'work']
['system', 'school', 'information', 'company']
['information', 'way', 'life', 'house']
['company', 'end', 'system', 'case']
['place', 'case', 'way', 'company']
['company', 'world', 'system', 'fact']
['end', 'man', 'life', 'year']
['case', 'world', 'system', 'government']
['house', 'life', 'course', 'group']
['world', 'work', 'fact', 'party']
['school', 'course', 'day', 'case']
['system', 'house', 'day', 'man']
['year', 'work', 'group', 'government']
['day', 'man', 'course', 'government']
['part', 'way', 'company', 'case']
['house', 'year', 'life', 'world']
['system', 'day', 'life', 'fact']
['end', 'system', 'case', 'world']
['world', 'work', 'place', 'end']
['part', 'work', 'day', 'way']
['day', 'company', 'party', 'work']
['information', 'life', 'end', 'day']
['company', 'case', 'party', 'information']
['day', 'case', 'part', 'information']
['school', 'party', 'company', 'fact']
['world', 'year', 'school', 'information']
['government', 'school', 'system', 'end']
['way', 'life', 'government', 'course']
['company', 'life', 'case', 'group']
['company', 'part', 'information', 'life']
['way', 'system', 'information', 'party']
['life', 'end', 'day', 'part']
['year', 'way', 'work', 'place']
['work', 'man', 'life', 'fact']
['party', 'information', 'part', 'system']
['man', 'fact', 'group', 'work']
['man', 'work', 'case', 'way']
['information', 'group', 'way', 'world']
['life', 'world', 'party', 'house']
['man', 'year', 'way', 'school']
