['year', 'man', 'end', 'world']
['day', 'fact', 'case', 'world']
['information', 'way', 'man', 'fact']
['group', 'party', 'information', 'house']
['school', 'house', 'work', 'fact']
['work', 'course', 'case', 'party']
['party', 'way', 'work', 'place']
['course', 'case', 'party', 'group']
['house', 'place', 'information', 'party']
['way', 'course', 'work', 'day']
['course', 'life', 'place', 'day']
['course', 'party', 'man', 'school']
['case', 'day', 'information', 'fact']
['year', 'party', 'work', 'case']
['information', 'fact', 'end', 'government']
['information', 'place', 'case', 'work']
['case', 'work', 'group', 'government']
['work', 'end', 'part', 'way']
['part', 'life', 'information', 'government']
['part', 'case', 'party', 'information']
['course', 'fact', 'place', 'way']
['end', 'house', 'place', 'group']
['man', 'case', 'end', 'company']
['company', 'fact', 'house', 'day']
['place', 'school', 'way', 'party']
['house', 'day', 'way', 'end']
['course', 'world', 'fact', 'party']
['case', 'fact', 'year', 'information']
['world', 'school', 'government', 'end']
['end', 'case', 'party', 'house']
['world', 'group', 'fact', 'man']
['end', 'house', 'fact', 'day']
['part', 'course', 'company', 'way']
['man', 'government', 'party', 'case']
['party', 'way', 'day', 'world']
['group', 'man', 'school', 'year']
['information', 'course', 'system', 'government']
['information', 'man', 'end', 'system']
['party', 'school', 'fact', 'place']
['party', 'school', 'day', 'system']
['system', 'company', 'day', 'part']
['system', 'course', 'place', 'year']
