['system', 'part', 'life']
['way', 'case', 'world']
['part', 'school', 'government']
['place', 'course', 'house']
['system', 'fact', 'information']
['party', 'school', 'end']
['school', 'work', 'end']
['government', 'end', 'year']
['house', 'year', 'part']
['part', 'fact', 'work']
['man', 'information', 'world']
['system', 'school', 'end']
['man', 'part', 'government']
['year', 'information', 'system']
['party', 'place', 'year']
['group', 'school', 'company']
['man', 'day', 'system']
['house', 'school', 'party']
['course', 'day', 'part']
['group', 'end', 'information']
['part', 'world', 'day']
['end', 'course', 'world']
['information', 'school', 'part']
['place', 'case', 'world']
['work', 'day', 'year']
['group', 'end', 'school']
['world', 'place', 'school']
['place', 'way', 'group']
['fact', 'government', 'information']
['way', 'place', 'life']
['government', 'way', 'man']
['world', 'part', 'fact']
['house', 'part', 'information']
['work', 'part', 'school']
['part', 'work', 'group']
['party', 'end', 'government']
['world', 'party', 'way']
['company', 'man', 'case']
['school', 'system', 'house']
['way', 'government', 'work']
['case', 'company', 'fact']
['system', 'company', 'party']
['house', 'end', 'life']
['information', 'house', 'life']
['way', 'year', 'company']
['system', 'party', 'course']
['school', 'end', 'man']
['end', 'world', 'house']
['government', 'system', 'information']
['group', 'man', 'school']
['party', 'man', 'day']
['information', 'part', 'place']
['party', 'system', 'day']
['company', 'government', 'course']
['party', 'work', 'case']
['information', 'government', 'group']
['information', 'party', 'place']
['man', 'part', 'way']
['case', 'end', 'house']
['course', 'year', 'case']
['group', 'work', 'fact']
['man', 'government', 'life']
['end', 'house', 'place']
['world', 'work', 'group']
['life', 'company', 'information']
['fact', 'part', 'work']
['day', 'way', 'party']
['year', 'course', 'place']
['course', 'part', 'fact']
['place', 'company', 'fact']
['house', 'system', 'world']
['case', 'group', 'part']
['world', 'case', 'place']
['information', 'government', 'course']
['day', 'case', 'part']
['system', 'school', 'world']
['world', 'house', 'government']
['case', 'information', 'school']
['way', 'government', 'end']
['house', 'life', 'world']
['work', 'case', 'man']
['group', 'way', 'place']
['system', 'way', 'end']
['way', 'information', 'year']
['man', 'year', 'case']
['place', 'government', 'part']
['part', 'school', 'fact']
['school', 'man', 'way']
['fact', 'life', 'world']
['system', 'part', 'day']
['place', 'part', 'work']
['party', 'course', 'school']
