['part', 'way', 'fact', 'man', 'world']
['house', 'government', 'day', 'case', 'course']
['party', 'house', 'year', 'company', 'system']
['life', 'year', 'system', 'school', 'fact']
['school', 'place', 'course', 'information', 'way']
['world', 'way', 'place', 'company', 'information']
['world', 'work', 'way', 'house', 'day']
['government', 'system', 'course', 'house', 'party']
['group', 'fact', 'case', 'work', 'course']
['system', 'part', 'year', 'party', 'fact']
['school', 'place', 'information', 'day', 'man']
['course', 'fact', 'school', 'part', 'party']
['world', 'fact', 'end', 'company', 'school']
['case', 'way', 'government', 'information', 'party']
['place', 'year', 'government', 'party', 'way']
['group', 'place', 'government', 'world', 'house']
['company', 'man', 'house', 'government', 'party']
['man', 'group', 'part', 'school', 'world']
['house', 'company', 'life', 'place', 'group']
['place', 'company', 'end', 'day', 'work']
['company', 'end', 'group', 'case', 'system']
['way', 'year', 'work', 'life', 'place']
['life', 'world', 'course', 'fact', 'way']
['house', 'man', 'company', 'place', 'party']
['way', 'system', 'end', 'man', 'information']
['fact', 'case', 'school', 'information', 'course']
['party', 'place', 'house', 'government', 'group']
['government', 'house', 'course', 'part', 'company']
['place', 'system', 'way', 'life', 'government']
['fact', 'life', 'school', 'company', 'system']
['fact', 'house', 'end', 'government', 'world']
['system', 'party', 'school', 'government', 'course']
['man', 'school', 'part', 'day', 'government']
['group', 'end', 'way', 'world', 'case']
['party', 'company', 'part', 'way', 'school']
['fact', 'house', 'course', 'place', 'company']
['fact', 'day', 'end', 'government', 'company']
['day', 'group', 'end', 'party', 'company']
['work', 'year', 'group', 'place', 'part']
['life', 'end', 'way', 'work', 'information']
['government', 'course', 'fact', 'end', 'place']
['life', 'day', 'school', 'system', 'year']
['case', 'information', 'part', 'world', 'life']
['year', 'information', 'work', 'world', 'group']
['group', 'end', 'way', 'day', 'system']
['life', 'house', 'world', 'company', 'party']
['way', 'fact', 'man', 'house', 'year']
['place', 'work', 'way', 'life', 'world']
['life', 'year', 'way', 'group', 'work']
['life', 'day', 'fact', 'work', 'group']
['government', 'system', 'company', 'place', 'group']
['group', 'man', 'work', 'part', 'government']
['way', 'work', 'party', 'company', 'place']
['work', 'group', 'world', 'party', 'year']
['group', 'party', 'course', 'year', 'day']
['world', 'end', 'way', 'fact', 'system']
['fact', 'party', 'information', 'work', 'house']
['way', 'life', 'school', 'party', 'fact']
['work', 'year', 'part', 'fact', 'group']
['place', 'system', 'work', 'company', 'government']
['case', 'place', 'day', 'company', 'world']
['course', 'government', 'life', 'fact', 'group']
['system', 'man', 'way', 'government', 'end']
['part', 'school', 'world', 'man', 'work']
['way', 'world', 'company', 'end', 'school']
['place', 'way', 'day', 'government', 'company']
['information', 'course', 'life', 'place', 'year']
['course', 'company', 'man', 'government', 'case']
['man', 'group', 'life', 'way', 'work']
['house', 'end', 'course', 'company', 'life']
['company', 'world', 'group', 'house', 'work']
['company', 'house', 'course', 'man', 'system']
['group', 'end', 'work', 'world', 'system']
['case', 'end', 'part', 'house', 'life']
['fact', 'way', 'world', 'system', 'day']
['end', 'case', 'information', 'group', 'party']
['government', 'day', 'end', 'fact', 'man']
['group', 'course', 'part', 'end', 'school']
['fact', 'information', 'end', 'place', 'day']
['case', 'information', 'course', 'system', 'day']
['party', 'information', 'case', 'system', 'fact']
['house', 'end', 'company', 'information', 'school']
['party', 'group', 'course', 'place', 'company']
['day', 'life', 'group', 'part', 'school']
['information', 'company', 'place', 'life', 'school']
['year', 'work', 'life', 'group', 'world']
['life', 'school', 'system', 'course', 'fact']
['fact', 'group', 'world', 'end', 'place']
['party', 'day', 'group', 'part', 'house']
['party', 'fact', 'way', 'world', 'end']
['information', 'company', 'party', 'world', 'part']
['way', 'part', 'end', 'year', 'information']
['course', 'school', 'place', 'life', 'group']
['case', 'group', 'year', 'school', 'system']
['course', 'group', 'case', 'world', 'house']
