['life', 'party', 'system', 'part', 'work']
['group', 'end', 'information', 'school', 'day']
['world', 'course', 'way', 'year', 'life']
['day', 'party', 'school', 'house', 'way']
['year', 'life', 'system', 'place', 'house']
['part', 'information', 'government', 'end', 'way']
['man', 'party', 'part', 'group', 'fact']
['course', 'company', 'fact', 'end', 'house']
['day', 'work', 'house', 'school', 'man']
['way', 'day', 'group', 'end', 'world']
['information', 'company', 'part', 'fact', 'world']
['day', 'man', 'place', 'end', 'year']
['way', 'day', 'company', 'group', 'house']
['case', 'house', 'day', 'information', 'year']
['life', 'case', 'fact', 'school', 'house']
['place', 'course', 'party', 'part', 'end']
['work', 'course', 'fact', 'group', 'part']
['work', 'man', 'way', 'life', 'fact']
['year', 'information', 'case', 'government', 'life']
['party', 'day', 'way', 'system', 'course']
['way', 'man', 'company', 'work', 'system']
['company', 'case', 'system', 'information', 'group']
['end', 'system', 'world', 'house', 'fact']
['place', 'course', 'government', 'part', 'party']
['life', 'school', 'end', 'world', 'case']
['man', 'fact', 'work', 'party', 'end']
['case', 'end', 'group', 'life', 'course']
['man', 'company', 'course', 'year', 'house']
['system', 'information', 'world', 'group', 'government']
['course', 'case', 'life', 'company', 'fact']
['work', 'house', 'case', 'part', 'company']
['government', 'part', 'world', 'case', 'house']
['year', 'group', 'world', 'way', 'house']
['world', 'end', 'life', 'course', 'day']
['year', 'party', 'man', 'fact', 'system']
['man', 'world', 'information', 'year', 'day']
['life', 'place', 'end', 'world', 'part']
['course', 'man', 'life', 'system', 'world']
['government', 'end', 'place', 'year', 'case']
['place', 'company', 'information', 'world', 'fact']
['day', 'place', 'group', 'man', 'world']
['work', 'fact', 'party', 'house', 'life']
['man', 'party', 'house', 'fact', 'course']
['house', 'man', 'way', 'part', 'place']
['system', 'day', 'government', 'work', 'group']
['place', 'world', 'work', 'information', 'end']
['course', 'case', 'government', 'place', 'house']
['year', 'man', 'school', 'government', 'system']
['work', 'life', 'world', 'information', 'group']
['house', 'place', 'party', 'end', 'day']
['year', 'work', 'house', 'day', 'school']
['year', 'government', 'end', 'world', 'way']
['end', 'school', 'case', 'place', 'group']
['group', 'company', 'year', 'house', 'school']
['work', 'house', 'day', 'course', 'man']
['group', 'part', 'house', 'course', 'man']
['end', 'government', 'case', 'course', 'place']
['case', 'company', 'world', 'place', 'party']
['place', 'work', 'year', 'end', 'group']
