['life', 'system', 'house', 'world', 'course', 'man', 'part', 'year']
['place', 'way', 'day', 'world', 'system', 'life', 'part', 'house']
['way', 'work', 'year', 'life', 'school', 'information', 'party', 'man']
['information', 'place', 'day', 'world', 'school', 'end', 'part', 'life']
['information', 'year', 'school', 'life', 'man', 'world', 'course', 'company']
['information', 'year', 'party', 'part', 'work', 'day', 'way', 'house']
['party', 'work', 'system', 'man', 'school', 'life', 'house', 'government']
['case', 'course', 'man', 'fact', 'part', 'life', 'year', 'work']
['group', 'government', 'life', 'party', 'year', 'course', 'system', 'work']
['group', 'system', 'way', 'day', 'place', 'fact', 'information', 'house']
['party', 'part', 'group', 'case', 'fact', 'place', 'information', 'course']
['life', 'company', 'work', 'part', 'day', 'group', 'end', 'place']
['group', 'man', 'place', 'party', 'world', 'way', 'course', 'school']
['house', 'end', 'group', 'information', 'case', 'company', 'world', 'way']
['system', 'way', 'end', 'day', 'company', 'life', 'man', 'work']
['party', 'work', 'man', 'life', 'world', 'end', 'year', 'fact']
['system', 'life', 'case', 'house', 'end', 'government', 'course', 'day']
['end', 'information', 'day', 'work', 'year', 'course', 'school', 'place']
['house', 'world', 'life', 'government', 'school', 'group', 'information', 'man']
['part', 'end', 'case', 'party', 'fact', 'day', 'year', 'company']
['way', 'work', 'system', 'world', 'course', 'day', 'company', 'place']
['company', 'government', 'world', 'work', 'party', 'system', 'house', 'course']
['school', 'day', 'year', 'case', 'course', 'fact', 'company', 'system']
['work', 'case', 'group', 'company', 'world', 'fact', 'way', 'year']
['man', 'system', 'group', 'company', 'day', 'information', 'fact', 'government']
['school', 'world', 'year', 'course', 'part', 'end', 'man', 'information']
['case', 'house', 'world', 'man', 'work', 'party', 'way', 'end']
['group', 'year', 'world', 'end', 'man', 'party', 'government', 'house']
['case', 'company', 'house', 'world', 'man', 'way', 'government', 'end']
['man', 'company', 'school', 'fact', 'year', 'work', 'house', 'life']
['year', 'work', 'party', 'part', 'world', 'group', 'course', 'company']
['life', 'fact', 'day', 'house', 'way', 'work', 'course', 'company']
['part', 'group', 'house', 'fact', 'way', 'company', 'system', 'government']
['fact', 'man', 'party', 'way', 'system', 'year', 'company', 'part']
['end', 'fact', 'party', 'group', 'case', 'life', 'year', 'school']
['way', 'party', 'work', 'group', 'system', 'case', 'world', 'house']
['work', 'system', 'school', 'fact', 'world', 'part', 'year', 'company']
['case', 'year', 'company', 'fact', 'end', 'way', 'place', 'school']
['work', 'house', 'part', 'year', 'party', 'man', 'government', 'system']
['man', 'year', 'company', 'case', 'life', 'school', 'way', 'place']
['company', 'day', 'system', 'course', 'information', 'end', 'way', 'fact']
['information', 'way', 'day', 'government', 'company', 'end', 'school', 'life']
['end', 'government', 'way', 'part', 'school', 'course', 'group', 'day']
['man', 'course', 'world', 'day', 'system', 'group', 'year', 'party']
['government', 'information', 'school', 'year', 'company', 'house', 'way', 'case']
['course', 'day', 'case', 'system', 'company', 'part', 'school', 'life']
['year', 'company', 'end', 'group', 'case', 'school', 'way', 'day']
['end', 'world', 'company', 'life', 'government', 'part', 'house', 'way']
['party', 'man', 'course', 'place', 'company', 'group', 'system', 'information']
['school', 'world', 'party', 'way', 'work', 'part', 'information', 'company']
['day', 'course', 'company', 'place', 'year', 'school', 'man', 'way']
['life', 'case', 'system', 'school', 'government', 'party', 'place', 'information']
['system', 'life', 'case', 'day', 'group', 'part', 'work', 'year']
['system', 'information', 'end', 'fact', 'world', 'company', 'day', 'course']
['year', 'government', 'group', 'course', 'house', 'fact', 'man', 'work']
['place', 'company', 'year', 'man', 'school', 'part', 'world', 'course']
['year', 'part', 'house', 'information', 'school', 'fact', 'government', 'life']
['group', 'course', 'day', 'school', 'life', 'world', 'information', 'year']
['life', 'information', 'man', 'way', 'end', 'course', 'year', 'work']
['work', 'party', 'company', 'information', 'government', 'case', 'group', 'way']
['party', 'day', 'end', 'course', 'way', 'information', 'group', 'part']
['government', 'party', 'day', 'place', 'system', 'school', 'world', 'year']
['place', 'information', 'government', 'case', 'group', 'day', 'life', 'part']
['year', 'information', 'company', 'house', 'party', 'fact', 'government', 'system']
['work', 'life', 'group', 'year', 'place', 'company', 'case', 'school']
['system', 'man', 'company', 'world', 'case', 'day', 'end', 'way']
['company', 'place', 'system', 'end', 'fact', 'information', 'house', 'group']
['work', 'house', 'day', 'life', 'fact', 'party', 'government', 'world']
['system', 'part', 'information', 'company', 'party', 'man', 'day', 'end']
['house', 'year', 'government', 'man', 'group', 'part', 'case', 'company']
['life', 'place', 'work', 'group', 'fact', 'house', 'man', 'day']
['man', 'party', 'system', 'course', 'information', 'case', 'life', 'house']
['end', 'world', 'system', 'school', 'year', 'government', 'house', 'fact']
['house', 'government', 'world', 'end', 'case', 'place', 'year', 'group']
['company', 'house', 'fact', 'man', 'party', 'government', 'group', 'case']
['way', 'year', 'end', 'world', 'school', 'system', 'part', 'fact']
['system', 'company', 'fact', 'course', 'school', 'work', 'world', 'man']
['man', 'system', 'end', 'group', 'part', 'house', 'day', 'work']
['company', 'place', 'system', 'work', 'government', 'group', 'course', 'part']
['part', 'year', 'case', 'course', 'fact', 'day', 'information', 'company']
['information', 'system', 'case', 'party', 'house', 'man', 'day', 'fact']
