['end', 'system', 'group', 'government', 'man', 'place', 'company', 'school']
['company', 'year', 'system', 'part', 'life', 'day', 'government', 'school']
['group', 'year', 'system', 'world', 'company', 'government', 'party', 'life']
['part', 'way', 'fact', 'course', 'information', 'government', 'work', 'school']
['course', 'fact', 'world', 'government', 'house', 'company', 'way', 'life']
['work', 'group', 'house', 'information', 'year', 'way', 'case', 'party']
['life', 'way', 'year', 'company', 'system', 'world', 'school', 'fact']
['house', 'way', 'case', 'day', 'world', 'work', 'information', 'company']
['day', 'fact', 'way', 'year', 'school', 'company', 'party', 'case']
['fact', 'party', 'part', 'way', 'group', 'life', 'system', 'place']
['part', 'system', 'group', 'government', 'fact', 'information', 'world', 'place']
['course', 'government', 'house', 'day', 'group', 'way', 'party', 'case']
['world', 'place', 'group', 'information', 'system', 'man', 'day', 'party']
['place', 'day', 'work', 'school', 'end', 'part', 'information', 'company']
['day', 'company', 'government', 'case', 'year', 'part', 'party', 'fact']
['information', 'group', 'place', 'man', 'course', 'day', 'fact', 'school']
['system', 'part', 'end', 'man', 'government', 'group', 'world', 'place']
['end', 'day', 'party', 'way', 'group', 'work', 'life', 'year']
['year', 'company', 'day', 'government', 'way', 'group', 'case', 'world']
['course', 'school', 'information', 'world', 'way', 'end', 'fact', 'life']
['course', 'school', 'man', 'year', 'party', 'way', 'information', 'system']
['way', 'company', 'year', 'system', 'end', 'information', 'work', 'world']
['system', 'case', 'work', 'fact', 'day', 'man', 'life', 'world']
['part', 'information', 'life', 'course', 'system', 'day', 'group', 'year']
['group', 'year', 'day', 'way', 'part', 'party', 'information', 'life']
['course', 'system', 'school', 'work', 'day', 'information', 'government', 'place']
['end', 'fact', 'man', 'party', 'company', 'place', 'year', 'information']
['company', 'fact', 'group', 'way', 'place', 'year', 'school', 'work']
['world', 'school', 'house', 'party', 'part', 'case', 'group', 'fact']
['year', 'system', 'fact', 'course', 'world', 'information', 'government', 'way']
['man', 'party', 'place', 'work', 'life', 'information', 'fact', 'group']
['fact', 'work', 'end', 'government', 'day', 'year', 'case', 'course']
['system', 'man', 'place', 'world', 'party', 'fact', 'part', 'case']
['government', 'company', 'party', 'day', 'world', 'fact', 'year', 'life']
['year', 'place', 'government', 'fact', 'day', 'company', 'information', 'way']
['work', 'house', 'part', 'place', 'information', 'end', 'fact', 'year']
['case', 'company', 'end', 'work', 'life', 'house', 'day', 'world']
['party', 'life', 'part', 'work', 'fact', 'way', 'year', 'information']
['government', 'company', 'case', 'life', 'year', 'party', 'way', 'man']
['man', 'work', 'company', 'course', 'way', 'house', 'end', 'fact']
['government', 'year', 'end', 'company', 'man', 'work', 'school', 'case']
['party', 'man', 'case', 'life', 'part', 'company', 'group', 'government']
['end', 'information', 'place', 'party', 'year', 'life', 'company', 'case']
['school', 'world', 'end', 'party', 'course', 'life', 'man', 'house']
['course', 'system', 'day', 'world', 'house', 'year', 'place', 'school']
['life', 'world', 'way', 'fact', 'school', 'end', 'group', 'part']
['government', 'fact', 'group', 'system', 'school', 'day', 'case', 'part']
