['information', 'part', 'end', 'way', 'day', 'house', 'life', 'man']
['system', 'day', 'work', 'company', 'way', 'government', 'group', 'world']
['information', 'life', 'company', 'school', 'system', 'day', 'man', 'group']
['man', 'course', 'party', 'government', 'school', 'information', 'world', 'day']
['work', 'fact', 'company', 'group', 'course', 'part', 'end', 'year']
['information', 'party', 'day', 'government', 'company', 'work', 'group', 'house']
['year', 'information', 'fact', 'world', 'end', 'man', 'place', 'work']
['man', 'fact', 'part', 'course', 'work', 'case', 'world', 'house']
['system', 'company', 'world', 'school', 'part', 'house', 'party', 'year']
['government', 'life', 'party', 'system', 'information', 'day', 'course', 'man']
['man', 'school', 'work', 'course', 'fact', 'life', 'way', 'group']
['man', 'information', 'party', 'fact', 'work', 'day', 'part', 'group']
['part', 'fact', 'end', 'day', 'company', 'course', 'way', 'school']
['system', 'house', 'group', 'year', 'fact', 'course', 'case', 'place']
['part', 'way', 'information', 'work', 'place', 'fact', 'company', 'life']
['government', 'group', 'day', 'information', 'fact', 'house', 'work', 'school']
['company', 'world', 'work', 'house', 'end', 'group', 'year', 'fact']
['year', 'man', 'world', 'work', 'end', 'school', 'party', 'day']
['life', 'place', 'case', 'part', 'world', 'school', 'party', 'fact']
['government', 'life', 'company', 'house', 'information', 'course', 'case', 'world']
['year', 'case', 'work', 'course', 'fact', 'system', 'company', 'end']
['government', 'house', 'end', 'life', 'party', 'day', 'information', 'school']
['life', 'party', 'part', 'school', 'way', 'house', 'case', 'man']
['way', 'information', 'group', 'year', 'end', 'fact', 'place', 'company']
['fact', 'year', 'course', 'life', 'system', 'school', 'way', 'day']
['life', 'part', 'party', 'information', 'year', 'government', 'day', 'way']
['way', 'company', 'day', 'course', 'part', 'fact', 'man', 'system']
['work', 'world', 'party', 'part', 'case', 'way', 'information', 'man']
['place', 'world', 'system', 'house', 'case', 'government', 'work', 'man']
['part', 'fact', 'house', 'case', 'group', 'man', 'company', 'life']
['life', 'house', 'group', 'part', 'place', 'world', 'party', 'case']
['company', 'world', 'government', 'fact', 'year', 'case', 'house', 'group']
['party', 'part', 'year', 'world', 'house', 'school', 'end', 'way']
['part', 'world', 'place', 'fact', 'government', 'company', 'work', 'party']
['information', 'system', 'world', 'year', 'group', 'school', 'way', 'case']
['course', 'company', 'end', 'group', 'day', 'year', 'party', 'place']
['company', 'work', 'government', 'part', 'life', 'case', 'information', 'group']
['man', 'work', 'end', 'case', 'place', 'house', 'company', 'course']
['information', 'group', 'world', 'course', 'fact', 'place', 'life', 'work']
['system', 'man', 'way', 'day', 'information', 'case', 'life', 'work']
['way', 'part', 'school', 'place', 'world', 'company', 'group', 'government']
['year', 'way', 'place', 'day', 'school', 'work', 'company', 'part']
