['work', 'system', 'world', 'case']
['man', 'group', 'company', 'world']
['place', 'course', 'way', 'work']
['way', 'house', 'group', 'man']
['company', 'case', 'group', 'house']
['year', 'information', 'government', 'man']
['part', 'house', 'case', 'party']
['course', 'day', 'world', 'case']
['fact', 'day', 'government', 'life']
['course', 'fact', 'company', 'man']
['life', 'world', 'way', 'system']
['man', 'group', 'year', 'government']
['man', 'way', 'government', 'case']
['course', 'house', 'man', 'year']
['system', 'part', 'way', 'world']
['day', 'school', 'group', 'man']
['year', 'fact', 'government', 'group']
['life', 'world', 'way', 'case']
['information', 'course', 'company', 'government']
['house', 'party', 'information', 'group']
['way', 'part', 'system', 'house']
['course', 'end', 'way', 'day']
['information', 'work', 'party', 'life']
['way', 'house', 'year', 'man']
['case', 'work', 'world', 'school']
['work', 'course', 'house', 'world']
['course', 'year', 'system', 'man']
['course', 'part', 'year', 'company']
['party', 'group', 'course', 'end']
['way', 'school', 'life', 'case']
['place', 'world', 'year', 'company']
['house', 'part', 'way', 'company']
['house', 'course', 'party', 'fact']
['school', 'case', 'life', 'day']
['case', 'year', 'end', 'system']
['house', 'year', 'course', 'company']
['man', 'party', 'school', 'information']
['day', 'house', 'course', 'government']
['government', 'company', 'school', 'case']
['way', 'company', 'end', 'world']
['company', 'way', 'part', 'house']
['life', 'house', 'day', 'system']
['end', 'year', 'part', 'course']
['way', 'course', 'place', 'year']
['year', 'end', 'company', 'group']
['work', 'school', 'system', 'course']
['system', 'day', 'government', 'information']
['fact', 'case', 'course', 'house']
['way', 'government', 'place', 'fact']
['man', 'life', 'way', 'world']
['case', 'course', 'system', 'work']
['fact', 'part', 'day', 'house']
['government', 'company', 'party', 'world']
['case', 'house', 'fact', 'government']
['world', 'company', 'school', 'year']
['part', 'fact', 'school', 'place']
['group', 'system', 'party', 'government']
['party', 'system', 'school', 'course']
['world', 'part', 'group', 'information']
['system', 'course', 'company', 'fact']
['party', 'way', 'work', 'group']
['way', 'year', 'government', 'life']
['information', 'government', 'life', 'fact']
['day', 'party', 'company', 'world']
['part', 'life', 'information', 'way']
['year', 'end', 'place', 'party']
['government', 'fact', 'day', 'end']
['party', 'information', 'man', 'end']
['place', 'work', 'company', 'way']
['school', 'group', 'company', 'life']
['way', 'course', 'school', 'government']
['world', 'school', 'group', 'course']
['system', 'world', 'fact', 'man']
['system', 'day', 'information', 'year']
['place', 'man', 'end', 'government']
['school', 'world', 'group', 'house']
['system', 'year', 'school', 'way']
['information', 'group', 'work', 'course']
['man', 'group', 'system', 'information']
['system', 'place', 'house', 'fact']
['government', 'world', 'end', 'school']
['case', 'group', 'man', 'work']
['system', 'house', 'government', 'world']
['way', 'house', 'company', 'part']
['man', 'case', 'place', 'school']
['party', 'information', 'place', 'man']
['fact', 'man', 'day', 'place']
['house', 'company', 'group', 'life']
['work', 'group', 'system', 'government']
['part', 'way', 'day', 'life']
['school', 'group', 'part', 'system']
['information', 'world', 'place', 'group']
['work', 'party', 'house', 'company']
['way', 'company', 'case', 'day']
['information', 'end', 'course', 'fact']
['fact', 'year', 'life', 'course']
['fact', 'work', 'part', 'party']
['day', 'place', 'group', 'house']
['work', 'place', 'group', 'party']
['place', 'part', 'course', 'case']
