['school', 'fact', 'part', 'house']
['day', 'house', 'course', 'company']
['case', 'day', 'group', 'part']
['life', 'information', 'year', 'school']
['system', 'fact', 'party', 'course']
['case', 'fact', 'day', 'course']
['year', 'part', 'school', 'place']
['information', 'house', 'course', 'company']
['man', 'world', 'work', 'school']
['man', 'end', 'group', 'life']
['part', 'work', 'group', 'place']
['case', 'day', 'group', 'course']
['company', 'school', 'way', 'case']
['information', 'fact', 'end', 'year']
['fact', 'case', 'group', 'man']
['life', 'place', 'case', 'man']
['party', 'man', 'group', 'school']
['part', 'case', 'work', 'school']
['man', 'party', 'fact', 'day']
['company', 'school', 'year', 'fact']
['school', 'end', 'party', 'group']
['world', 'company', 'life', 'course']
['information', 'end', 'work', 'day']
['fact', 'company', 'information', 'year']
['man', 'company', 'year', 'system']
['world', 'case', 'way', 'end']
['year', 'fact', 'school', 'place']
['part', 'company', 'work', 'fact']
['house', 'part', 'company', 'life']
['life', 'house', 'government', 'group']
['government', 'course', 'work', 'case']
['information', 'house', 'company', 'work']
['fact', 'information', 'work', 'year']
['system', 'part', 'party', 'life']
['party', 'end', 'group', 'way']
['work', 'system', 'house', 'way']
['system', 'house', 'school', 'fact']
['part', 'fact', 'system', 'day']
['world', 'part', 'group', 'fact']
['course', 'end', 'company', 'man']
['work', 'course', 'place', 'life']
['case', 'group', 'house', 'way']
['end', 'school', 'way', 'case']
['day', 'part', 'course', 'work']
['course', 'world', 'government', 'day']
['company', 'work', 'part', 'way']
['group', 'house', 'information', 'day']
['life', 'man', 'school', 'case']
['man', 'party', 'system', 'year']
['course', 'life', 'group', 'world']
['year', 'company', 'work', 'school']
['system', 'government', 'case', 'house']
['system', 'end', 'course', 'case']
['system', 'life', 'world', 'day']
['course', 'information', 'part', 'company']
['man', 'fact', 'house', 'company']
['house', 'information', 'system', 'case']
['world', 'government', 'system', 'way']
['system', 'house', 'day', 'man']
['part', 'system', 'life', 'work']
['work', 'way', 'man', 'world']
['end', 'man', 'school', 'life']
['company', 'place', 'party', 'end']
['case', 'man', 'way', 'life']
['part', 'day', 'world', 'system']
['company', 'day', 'house', 'course']
['end', 'part', 'party', 'information']
['house', 'year', 'life', 'school']
['course', 'information', 'way', 'end']
['part', 'system', 'house', 'group']
['fact', 'world', 'year', 'case']
['course', 'end', 'life', 'place']
['end', 'company', 'place', 'part']
['information', 'case', 'world', 'fact']
['year', 'life', 'case', 'course']
['way', 'man', 'part', 'house']
['life', 'fact', 'way', 'year']
['work', 'system', 'way', 'party']
['place', 'government', 'world', 'party']
['world', 'government', 'work', 'day']
['way', 'case', 'work', 'world']
['case', 'end', 'way', 'party']
['house', 'life', 'end', 'party']
['year', 'way', 'end', 'school']
['life', 'world', 'work', 'house']
['information', 'course', 'company', 'end']
['school', 'company', 'day', 'information']
['part', 'group', 'year', 'government']
['end', 'way', 'place', 'world']
['man', 'place', 'information', 'party']
['way', 'year', 'information', 'system']
['part', 'year', 'school', 'work']
['end', 'government', 'place', 'day']
['world', 'work', 'school', 'course']
['government', 'way', 'year', 'party']
['party', 'information', 'work', 'world']
['end', 'government', 'school', 'life']
['end', 'system', 'day', 'company']
['system', 'school', 'house', 'man']
['man', 'case', 'day', 'system']
