['part', 'life', 'fact', 'way']
['part', 'course', 'system', 'case']
['part', 'case', 'way', 'man']
['system', 'day', 'place', 'party']
['course', 'information', 'day', 'school']
['house', 'course', 'case', 'fact']
['house', 'system', 'information', 'day']
['end', 'course', 'government', 'case']
['life', 'man', 'party', 'work']
['house', 'school', 'information', 'party']
['system', 'group', 'work', 'house']
['world', 'life', 'year', 'case']
['year', 'world', 'party', 'way']
['world', 'year', 'fact', 'end']
['system', 'life', 'information', 'house']
['place', 'case', 'world', 'group']
['system', 'case', 'fact', 'world']
['system', 'government', 'course', 'way']
['group', 'life', 'company', 'information']
['man', 'way', 'house', 'day']
['company', 'course', 'man', 'group']
['end', 'company', 'part', 'group']
['work', 'information', 'group', 'end']
['group', 'system', 'information', 'part']
['government', 'fact', 'case', 'year']
['government', 'group', 'company', 'house']
['school', 'government', 'life', 'day']
['place', 'life', 'case', 'system']
['group', 'year', 'government', 'fact']
['company', 'end', 'part', 'way']
['case', 'party', 'fact', 'world']
['case', 'group', 'part', 'house']
['fact', 'end', 'information', 'way']
['group', 'place', 'system', 'part']
['group', 'life', 'school', 'course']
['way', 'year', 'house', 'day']
['work', 'end', 'company', 'house']
['group', 'man', 'system', 'fact']
['way', 'school', 'house', 'place']
['part', 'world', 'fact', 'way']
['work', 'company', 'information', 'school']
['man', 'way', 'course', 'place']
['work', 'information', 'house', 'case']
['place', 'fact', 'information', 'party']
['company', 'day', 'group', 'party']
['world', 'system', 'party', 'case']
['place', 'company', 'case', 'day']
['school', 'party', 'way', 'world']
['information', 'end', 'school', 'course']
['day', 'company', 'party', 'part']
['work', 'place', 'company', 'year']
['party', 'government', 'company', 'system']
['life', 'government', 'man', 'party']
['party', 'group', 'way', 'world']
['part', 'information', 'end', 'government']
['course', 'day', 'government', 'information']
['company', 'course', 'school', 'place']
['school', 'man', 'part', 'place']
['fact', 'government', 'year', 'information']
['course', 'place', 'system', 'case']
['case', 'work', 'way', 'course']
['year', 'way', 'information', 'government']
['course', 'end', 'government', 'case']
['world', 'man', 'school', 'way']
['world', 'house', 'year', 'course']
['work', 'information', 'day', 'government']
['year', 'case', 'man', 'government']
['case', 'end', 'part', 'system']
['house', 'end', 'course', 'information']
['part', 'company', 'fact', 'case']
['part', 'end', 'company', 'fact']
['school', 'year', 'day', 'world']
['school', 'system', 'case', 'day']
['way', 'group', 'party', 'day']
['work', 'government', 'party', 'company']
['day', 'party', 'government', 'company']
['work', 'system', 'year', 'day']
['man', 'place', 'year', 'fact']
['information', 'government', 'school', 'course']
['life', 'government', 'end', 'case']
['course', 'fact', 'work', 'place']
['government', 'place', 'company', 'house']
['group', 'information', 'case', 'life']
['party', 'day', 'year', 'man']
['man', 'group', 'part', 'house']
['fact', 'day', 'end', 'work']
['school', 'house', 'case', 'way']
['life', 'group', 'course', 'work']
['world', 'group', 'system', 'company']
['world', 'work', 'group', 'end']
['case', 'course', 'life', 'world']
['way', 'system', 'course', 'day']
['part', 'group', 'fact', 'way']
['party', 'group', 'life', 'place']
['information', 'case', 'world', 'part']
['world', 'company', 'house', 'man']
['group', 'government', 'man', 'case']
['part', 'year', 'course', 'man']
['school', 'fact', 'way', 'year']
