['school', 'day', 'company', 'group']
['place', 'part', 'fact', 'work']
['course', 'fact', 'way', 'day']
['part', 'party', 'house', 'man']
['case', 'year', 'place', 'life']
['company', 'government', 'house', 'information']
['company', 'life', 'system', 'day']
['way', 'man', 'year', 'fact']
['school', 'case', 'work', 'government']
['system', 'year', 'case', 'end']
['way', 'year', 'world', 'work']
['group', 'case', 'party', 'information']
['case', 'man', 'fact', 'information']
['school', 'information', 'life', 'end']
['group', 'life', 'day', 'system']
['government', 'fact', 'life', 'day']
['information', 'house', 'way', 'government']
['way', 'course', 'part', 'year']
['house', 'company', 'place', 'day']
['world', 'fact', 'case', 'house']
['part', 'information', 'life', 'group']
['work', 'year', 'fact', 'life']
['fact', 'work', 'government', 'information']
['house', 'group', 'school', 'government']
['course', 'information', 'day', 'case']
['man', 'part', 'year', 'system']
['part', 'group', 'life', 'way']
['place', 'case', 'man', 'year']
['group', 'party', 'year', 'end']
['part', 'company', 'fact', 'end']
['system', 'world', 'school', 'case']
['group', 'place', 'fact', 'part']
['end', 'information', 'life', 'company']
['fact', 'group', 'life', 'year']
['part', 'place', 'world', 'school']
['part', 'government', 'place', 'work']
['day', 'fact', 'system', 'place']
['life', 'work', 'way', 'part']
['work', 'year', 'course', 'part']
['place', 'way', 'year', 'end']
['place', 'end', 'part', 'school']
['end', 'party', 'school', 'man']
['life', 'world', 'part', 'year']
['man', 'place', 'way', 'system']
['part', 'house', 'world', 'party']
['world', 'system', 'house', 'end']
['man', 'government', 'world', 'place']
['party', 'case', 'house', 'company']
['man', 'part', 'work', 'year']
['party', 'day', 'group', 'system']
['day', 'party', 'information', 'way']
['case', 'place', 'year', 'end']
['information', 'life', 'school', 'group']
['system', 'party', 'day', 'end']
['world', 'year', 'man', 'house']
['life', 'end', 'case', 'system']
['work', 'end', 'world', 'life']
['place', 'man', 'company', 'government']
['world', 'day', 'place', 'company']
['world', 'year', 'government', 'place']
['information', 'year', 'company', 'house']
['house', 'information', 'company', 'part']
['party', 'house', 'place', 'day']
['house', 'world', 'company', 'school']
['information', 'case', 'fact', 'end']
['part', 'way', 'year', 'course']
['course', 'day', 'year', 'life']
['party', 'day', 'way', 'year']
['end', 'house', 'place', 'school']
['company', 'year', 'government', 'information']
['place', 'case', 'work', 'course']
['course', 'case', 'house', 'group']
['case', 'group', 'day', 'company']
['school', 'system', 'year', 'end']
['part', 'party', 'house', 'end']
['work', 'year', 'day', 'world']
['group', 'government', 'world', 'day']
['way', 'information', 'company', 'place']
['fact', 'part', 'course', 'school']
['end', 'place', 'case', 'man']
['life', 'world', 'end', 'system']
['case', 'party', 'information', 'work']
['fact', 'way', 'company', 'part']
['work', 'party', 'day', 'world']
['group', 'government', 'work', 'part']
['house', 'government', 'way', 'school']
['life', 'house', 'part', 'world']
['course', 'place', 'party', 'part']
['world', 'fact', 'information', 'man']
['part', 'system', 'work', 'day']
['work', 'information', 'day', 'place']
['party', 'company', 'house', 'end']
['life', 'year', 'day', 'end']
['part', 'work', 'way', 'course']
['system', 'life', 'way', 'course']
['part', 'school', 'way', 'day']
['information', 'fact', 'end', 'course']
['government', 'world', 'year', 'system']
['work', 'case', 'way', 'group']
['group', 'year', 'case', 'information']
