['man', 'work', 'school', 'life']
['course', 'case', 'day', 'government']
['house', 'end', 'part', 'day']
['government', 'world', 'end', 'fact']
['school', 'work', 'fact', 'man']
['government', 'information', 'case', 'group']
['year', 'end', 'man', 'fact']
['day', 'system', 'information', 'course']
['case', 'information', 'day', 'world']
['man', 'government', 'fact', 'place']
['government', 'case', 'house', 'information']
['part', 'system', 'world', 'year']
['man', 'school', 'part', 'day']
['work', 'case', 'house', 'year']
['place', 'party', 'world', 'part']
['school', 'information', 'day', 'case']
['system', 'party', 'fact', 'government']
['government', 'way', 'life', 'man']
['party', 'world', 'day', 'system']
['company', 'way', 'system', 'government']
['course', 'day', 'case', 'system']
['system', 'case', 'information', 'part']
['year', 'course', 'end', 'part']
['place', 'party', 'fact', 'part']
['year', 'work', 'man', 'house']
['way', 'day', 'group', 'year']
['government', 'man', 'course', 'day']
['work', 'government', 'party', 'end']
['fact', 'information', 'life', 'year']
['house', 'part', 'day', 'information']
['information', 'fact', 'world', 'case']
['information', 'way', 'system', 'company']
['year', 'part', 'fact', 'end']
['case', 'life', 'house', 'work']
['way', 'year', 'fact', 'place']
['party', 'system', 'man', 'year']
['man', 'government', 'year', 'house']
['work', 'man', 'party', 'end']
['information', 'part', 'place', 'world']
['government', 'company', 'party', 'course']
['school', 'company', 'day', 'year']
['year', 'work', 'party', 'house']
['case', 'place', 'life', 'day']
['government', 'place', 'information', 'school']
['year', 'group', 'fact', 'life']
['course', 'place', 'company', 'year']
['information', 'work', 'government', 'way']
['end', 'world', 'course', 'day']
['group', 'government', 'course', 'part']
['company', 'party', 'information', 'government']
['fact', 'party', 'information', 'day']
['way', 'world', 'part', 'school']
['way', 'life', 'case', 'system']
['case', 'way', 'day', 'system']
['day', 'government', 'house', 'end']
['end', 'course', 'day', 'group']
['company', 'world', 'man', 'government']
['case', 'year', 'house', 'company']
['year', 'place', 'man', 'group']
['government', 'work', 'group', 'day']
['day', 'school', 'fact', 'system']
['system', 'house', 'course', 'company']
['day', 'government', 'fact', 'course']
['man', 'company', 'party', 'fact']
['system', 'way', 'group', 'house']
['school', 'fact', 'case', 'information']
['school', 'work', 'system', 'case']
['house', 'year', 'end', 'life']
['government', 'man', 'part', 'group']
['house', 'end', 'man', 'way']
['house', 'party', 'world', 'work']
['course', 'school', 'party', 'information']
['day', 'company', 'information', 'world']
['company', 'party', 'course', 'house']
['day', 'government', 'part', 'house']
['information', 'party', 'part', 'life']
['life', 'way', 'system', 'world']
['system', 'world', 'party', 'company']
['way', 'company', 'work', 'life']
['life', 'place', 'man', 'world']
['man', 'party', 'course', 'world']
['way', 'course', 'part', 'case']
['day', 'fact', 'course', 'party']
['government', 'world', 'place', 'party']
['party', 'life', 'world', 'year']
['work', 'house', 'system', 'life']
['way', 'place', 'year', 'school']
['life', 'man', 'place', 'company']
['work', 'case', 'world', 'year']
['year', 'work', 'school', 'system']
['fact', 'end', 'year', 'house']
['year', 'party', 'part', 'way']
['day', 'world', 'school', 'place']
['company', 'life', 'year', 'world']
['company', 'school', 'system', 'government']
['day', 'world', 'group', 'work']
['party', 'world', 'government', 'year']
['end', 'work', 'system', 'company']
['year', 'man', 'company', 'school']
