['case', 'company', 'part', 'party']
['house', 'life', 'part', 'government']
['case', 'school', 'day', 'place']
['school', 'way', 'fact', 'man']
['part', 'system', 'case', 'man']
['school', 'case', 'man', 'life']
['part', 'place', 'group', 'case']
['system', 'man', 'government', 'company']
['year', 'day', 'party', 'world']
['world', 'course', 'government', 'work']
['work', 'man', 'case', 'year']
['way', 'work', 'man', 'day']
['school', 'company', 'year', 'man']
['course', 'year', 'party', 'place']
['man', 'place', 'way', 'life']
['system', 'government', 'case', 'part']
['case', 'course', 'fact', 'day']
['system', 'end', 'case', 'school']
['group', 'end', 'house', 'government']
['case', 'man', 'government', 'information']
['course', 'case', 'company', 'school']
['place', 'fact', 'group', 'case']
['life', 'work', 'end', 'information']
['system', 'fact', 'part', 'information']
['life', 'government', 'part', 'way']
['place', 'case', 'group', 'way']
['course', 'information', 'day', 'party']
['day', 'company', 'way', 'school']
['man', 'end', 'party', 'course']
['day', 'way', 'house', 'end']
['man', 'company', 'world', 'information']
['group', 'world', 'life', 'system']
['party', 'year', 'information', 'place']
['work', 'part', 'course', 'party']
['course', 'world', 'school', 'group']
['year', 'end', 'company', 'case']
['party', 'system', 'company', 'place']
['house', 'course', 'party', 'system']
['information', 'house', 'part', 'man']
['fact', 'information', 'part', 'government']
['case', 'way', 'group', 'party']
['case', 'school', 'information', 'year']
['system', 'house', 'group', 'way']
['part', 'system', 'day', 'group']
['school', 'case', 'life', 'party']
['end', 'house', 'company', 'part']
['system', 'year', 'end', 'party']
['place', 'course', 'life', 'party']
['house', 'party', 'end', 'government']
['company', 'end', 'man', 'information']
['end', 'case', 'party', 'course']
['system', 'company', 'life', 'school']
['end', 'system', 'house', 'company']
['case', 'group', 'course', 'fact']
['information', 'end', 'place', 'world']
['world', 'school', 'system', 'place']
['house', 'work', 'place', 'course']
['way', 'year', 'end', 'part']
['house', 'man', 'group', 'case']
['world', 'case', 'fact', 'place']
['day', 'group', 'information', 'world']
['end', 'company', 'course', 'man']
['information', 'party', 'world', 'day']
['day', 'case', 'year', 'man']
['world', 'part', 'man', 'work']
['school', 'government', 'party', 'day']
['part', 'fact', 'system', 'school']
['work', 'life', 'case', 'way']
['year', 'company', 'work', 'school']
['work', 'man', 'information', 'course']
['part', 'system', 'world', 'man']
['government', 'work', 'life', 'group']
['company', 'case', 'life', 'information']
['information', 'government', 'work', 'party']
['government', 'place', 'course', 'party']
['government', 'course', 'group', 'party']
['place', 'man', 'information', 'system']
['party', 'group', 'system', 'school']
['day', 'party', 'system', 'world']
['work', 'information', 'party', 'system']
['world', 'part', 'case', 'system']
['party', 'place', 'work', 'end']
['day', 'man', 'school', 'group']
['house', 'group', 'work', 'part']
['world', 'way', 'life', 'government']
['house', 'school', 'end', 'group']
['party', 'house', 'man', 'part']
['world', 'group', 'system', 'party']
['world', 'course', 'government', 'way']
['group', 'place', 'day', 'case']
['day', 'case', 'company', 'world']
['fact', 'life', 'course', 'company']
['party', 'case', 'life', 'year']
['day', 'place', 'life', 'man']
['system', 'house', 'end', 'place']
['system', 'part', 'end', 'life']
['life', 'case', 'world', 'man']
['way', 'system', 'case', 'world']
['man', 'part', 'government', 'system']
['way', 'man', 'party', 'fact']
