['year', 'company', 'house', 'day']
['house', 'fact', 'group', 'way']
['school', 'information', 'case', 'world']
['part', 'day', 'fact', 'year']
['school', 'party', 'company', 'part']
['system', 'place', 'company', 'life']
['party', 'way', 'year', 'work']
['way', 'course', 'house', 'part']
['end', 'day', 'party', 'government']
['way', 'man', 'group', 'day']
['system', 'end', 'work', 'house']
['party', 'information', 'part', 'house']
['year', 'case', 'group', 'course']
['life', 'fact', 'year', 'part']
['information', 'end', 'government', 'fact']
['course', 'company', 'work', 'man']
['course', 'school', 'life', 'world']
['system', 'fact', 'case', 'man']
['group', 'life', 'party', 'course']
['work', 'fact', 'part', 'school']
['part', 'government', 'fact', 'house']
['place', 'fact', 'system', 'case']
['place', 'year', 'fact', 'party']
['group', 'way', 'system', 'life']
['party', 'company', 'course', 'year']
['fact', 'place', 'group', 'school']
['day', 'work', 'end', 'case']
['group', 'school', 'end', 'part']
['school', 'company', 'part', 'government']
['place', 'information', 'course', 'system']
['end', 'system', 'work', 'fact']
['group', 'course', 'system', 'place']
['man', 'group', 'company', 'end']
['case', 'party', 'government', 'end']
['course', 'way', 'group', 'man']
['part', 'course', 'work', 'information']
['party', 'end', 'part', 'way']
['man', 'group', 'house', 'year']
['company', 'way', 'man', 'day']
['case', 'school', 'way', 'group']
['day', 'year', 'part', 'way']
['work', 'case', 'way', 'information']
['system', 'man', 'place', 'company']
['fact', 'information', 'group', 'work']
['day', 'year', 'case', 'way']
['life', 'part', 'day', 'year']
['world', 'life', 'house', 'end']
['case', 'day', 'government', 'work']
['fact', 'government', 'company', 'house']
['school', 'fact', 'course', 'world']
['way', 'school', 'end', 'case']
['day', 'government', 'work', 'party']
['way', 'house', 'world', 'government']
['man', 'part', 'case', 'party']
['house', 'man', 'company', 'life']
['day', 'company', 'fact', 'system']
['place', 'case', 'government', 'way']
['course', 'part', 'life', 'man']
['group', 'way', 'government', 'party']
['course', 'school', 'fact', 'place']
['world', 'company', 'work', 'information']
['day', 'year', 'place', 'company']
['information', 'house', 'case', 'way']
['school', 'day', 'case', 'course']
['course', 'life', 'group', 'school']
['school', 'company', 'end', 'case']
['end', 'information', 'way', 'part']
['end', 'place', 'party', 'way']
['government', 'fact', 'information', 'world']
['world', 'course', 'school', 'party']
['information', 'government', 'place', 'part']
['life', 'work', 'world', 'part']
['party', 'way', 'work', 'group']
['work', 'group', 'day', 'way']
['course', 'house', 'year', 'work']
['system', 'life', 'man', 'world']
['place', 'way', 'life', 'system']
['government', 'system', 'company', 'life']
['part', 'course', 'government', 'place']
['party', 'life', 'end', 'way']
['information', 'work', 'way', 'system']
['way', 'fact', 'year', 'part']
['house', 'information', 'fact', 'company']
['end', 'information', 'world', 'party']
['work', 'place', 'government', 'case']
['world', 'man', 'system', 'part']
['way', 'year', 'house', 'part']
['world', 'life', 'part', 'place']
['government', 'world', 'day', 'house']
['course', 'case', 'party', 'school']
['party', 'life', 'place', 'case']
['place', 'case', 'work', 'way']
['case', 'work', 'part', 'life']
['life', 'school', 'case', 'year']
['case', 'group', 'information', 'place']
['government', 'group', 'house', 'part']
['world', 'party', 'fact', 'way']
['fact', 'government', 'party', 'way']
['part', 'work', 'information', 'house']
['place', 'house', 'man', 'school']
