['government', 'end', 'case', 'way']
['case', 'group', 'way', 'place']
['information', 'work', 'party', 'way']
['case', 'work', 'house', 'information']
['part', 'information', 'group', 'fact']
['place', 'life', 'group', 'case']
['fact', 'school', 'place', 'company']
['group', 'government', 'end', 'way']
['school', 'fact', 'party', 'man']
['year', 'way', 'company', 'world']
['place', 'work', 'system', 'course']
['group', 'place', 'life', 'way']
['year', 'end', 'school', 'day']
['school', 'end', 'information', 'party']
['day', 'information', 'end', 'world']
['course', 'man', 'fact', 'life']
['work', 'part', 'party', 'course']
['way', 'house', 'year', 'world']
['year', 'group', 'day', 'school']
['work', 'case', 'school', 'year']
['day', 'group', 'party', 'way']
['system', 'life', 'information', 'school']
['information', 'group', 'fact', 'work']
['system', 'case', 'group', 'life']
['end', 'world', 'man', 'company']
['end', 'way', 'work', 'man']
['end', 'man', 'case', 'course']
['company', 'day', 'group', 'fact']
['group', 'part', 'work', 'man']
['system', 'party', 'company', 'case']
['place', 'party', 'part', 'way']
['company', 'part', 'place', 'school']
['fact', 'world', 'group', 'part']
['day', 'world', 'life', 'work']
['house', 'group', 'case', 'company']
['year', 'day', 'case', 'course']
['course', 'part', 'man', 'work']
['course', 'case', 'information', 'year']
['company', 'man', 'end', 'information']
['place', 'case', 'school', 'way']
['work', 'information', 'place', 'part']
['company', 'school', 'work', 'end']
['life', 'course', 'fact', 'company']
['company', 'world', 'case', 'day']
['part', 'school', 'system', 'party']
['fact', 'day', 'life', 'world']
['school', 'place', 'man', 'work']
['world', 'fact', 'information', 'group']
['group', 'school', 'party', 'course']
['company', 'school', 'world', 'day']
['government', 'way', 'place', 'party']
['part', 'place', 'system', 'party']
['part', 'life', 'fact', 'course']
['day', 'school', 'man', 'system']
['part', 'world', 'course', 'place']
['information', 'life', 'government', 'company']
['group', 'fact', 'information', 'part']
['government', 'school', 'house', 'world']
['part', 'company', 'course', 'world']
['man', 'system', 'life', 'year']
['house', 'company', 'place', 'fact']
['information', 'house', 'course', 'party']
['day', 'man', 'place', 'house']
['school', 'company', 'case', 'party']
['company', 'fact', 'day', 'man']
['course', 'work', 'party', 'world']
['system', 'company', 'group', 'work']
['day', 'company', 'case', 'work']
['case', 'year', 'course', 'work']
['house', 'course', 'work', 'place']
['party', 'place', 'way', 'house']
['life', 'fact', 'work', 'system']
['fact', 'day', 'system', 'government']
['part', 'life', 'group', 'fact']
['company', 'work', 'case', 'part']
['year', 'house', 'fact', 'world']
['life', 'work', 'world', 'man']
['course', 'fact', 'house', 'party']
['course', 'company', 'case', 'information']
['system', 'group', 'end', 'man']
['world', 'day', 'man', 'work']
['company', 'way', 'group', 'party']
['end', 'world', 'group', 'course']
['system', 'house', 'school', 'government']
['company', 'day', 'government', 'system']
['group', 'life', 'year', 'course']
['life', 'man', 'place', 'fact']
['course', 'information', 'place', 'world']
['man', 'place', 'part', 'year']
['school', 'information', 'way', 'life']
['information', 'government', 'party', 'course']
['house', 'group', 'world', 'course']
['fact', 'system', 'life', 'group']
['course', 'work', 'life', 'school']
['company', 'system', 'part', 'work']
['part', 'group', 'system', 'day']
['house', 'world', 'case', 'man']
['life', 'party', 'government', 'place']
['case', 'end', 'government', 'way']
['life', 'government', 'course', 'place']
