['school', 'information', 'course', 'government']
['system', 'end', 'year', 'school']
['school', 'fact', 'course', 'world']
['government', 'life', 'school', 'man']
['party', 'year', 'information', 'life']
['place', 'work', 'system', 'day']
['world', 'company', 'school', 'system']
['government', 'man', 'end', 'party']
['house', 'end', 'system', 'work']
['school', 'end', 'fact', 'house']
['man', 'company', 'place', 'information']
['party', 'year', 'place', 'government']
['company', 'end', 'case', 'part']
['life', 'system', 'man', 'year']
['year', 'day', 'world', 'place']
['case', 'year', 'work', 'company']
['life', 'party', 'group', 'case']
['case', 'school', 'year', 'house']
['work', 'case', 'life', 'man']
['fact', 'man', 'group', 'year']
['company', 'fact', 'government', 'course']
['work', 'life', 'world', 'end']
['year', 'company', 'way', 'work']
['work', 'company', 'system', 'year']
['part', 'work', 'day', 'company']
['year', 'world', 'case', 'fact']
['group', 'fact', 'information', 'way']
['school', 'life', 'way', 'work']
['fact', 'end', 'course', 'world']
['course', 'information', 'party', 'fact']
['part', 'course', 'case', 'place']
['day', 'life', 'system', 'information']
['year', 'course', 'fact', 'work']
['group', 'government', 'world', 'course']
['house', 'world', 'life', 'end']
['world', 'school', 'work', 'house']
['party', 'school', 'house', 'work']
['information', 'world', 'life', 'system']
['school', 'part', 'end', 'group']
['course', 'company', 'party', 'end']
['work', 'information', 'case', 'course']
['work', 'school', 'life', 'place']
['party', 'work', 'school', 'information']
['company', 'end', 'party', 'course']
['information', 'case', 'course', 'world']
['house', 'school', 'fact', 'system']
['place', 'man', 'end', 'year']
['world', 'fact', 'end', 'party']
['man', 'life', 'day', 'house']
['system', 'way', 'group', 'work']
['place', 'work', 'school', 'course']
['place', 'party', 'part', 'course']
['way', 'place', 'world', 'work']
['way', 'house', 'work', 'place']
['house', 'world', 'life', 'course']
['company', 'life', 'year', 'government']
['end', 'party', 'part', 'case']
['school', 'world', 'man', 'group']
['information', 'case', 'end', 'school']
['information', 'house', 'place', 'group']
['place', 'party', 'course', 'part']
['life', 'way', 'year', 'work']
['day', 'life', 'case', 'information']
['day', 'work', 'government', 'company']
['government', 'place', 'fact', 'work']
['year', 'school', 'part', 'place']
['year', 'end', 'fact', 'group']
['part', 'case', 'school', 'day']
['year', 'work', 'government', 'end']
['way', 'man', 'work', 'place']
['house', 'work', 'fact', 'course']
['fact', 'day', 'system', 'world']
['fact', 'life', 'government', 'year']
['school', 'government', 'group', 'work']
['system', 'government', 'end', 'house']
['day', 'system', 'way', 'information']
['man', 'system', 'way', 'school']
['case', 'school', 'work', 'world']
['fact', 'case', 'company', 'place']
['world', 'place', 'work', 'course']
['house', 'world', 'day', 'place']
['way', 'case', 'information', 'year']
['house', 'place', 'day', 'government']
['way', 'course', 'company', 'work']
['man', 'government', 'world', 'case']
['day', 'course', 'work', 'system']
['information', 'world', 'fact', 'life']
['day', 'house', 'information', 'life']
['group', 'man', 'part', 'case']
['way', 'part', 'group', 'information']
['group', 'man', 'day', 'school']
['school', 'information', 'world', 'house']
['case', 'government', 'work', 'house']
['course', 'day', 'life', 'group']
['information', 'house', 'school', 'way']
['way', 'school', 'end', 'life']
['school', 'life', 'group', 'work']
['world', 'place', 'fact', 'school']
