['group', 'system', 'case', 'part']
['place', 'fact', 'man', 'day']
['year', 'system', 'way', 'case']
['way', 'system', 'house', 'government']
['place', 'life', 'school', 'work']
['day', 'government', 'work', 'school']
['system', 'man', 'world', 'government']
['work', 'system', 'part', 'company']
['house', 'day', 'government', 'work']
['group', 'man', 'school', 'company']
['party', 'company', 'man', 'life']
['group', 'case', 'day', 'school']
['school', 'end', 'case', 'life']
['party', 'man', 'school', 'fact']
['system', 'party', 'man', 'fact']
['group', 'school', 'case', 'information']
['life', 'way', 'company', 'world']
['school', 'government', 'work', 'information']
['fact', 'course', 'end', 'party']
['world', 'place', 'system', 'government']
['group', 'world', 'school', 'year']
['government', 'place', 'work', 'world']
['house', 'fact', 'end', 'company']
['company', 'work', 'information', 'party']
['school', 'government', 'information', 'company']
['fact', 'life', 'day', 'school']
['school', 'life', 'fact', 'company']
['year', 'government', 'day', 'part']
['work', 'house', 'place', 'group']
['world', 'system', 'company', 'information']
['day', 'place', 'way', 'school']
['government', 'information', 'world', 'school']
['party', 'work', 'man', 'day']
['day', 'party', 'case', 'year']
['course', 'way', 'system', 'party']
['group', 'place', 'information', 'part']
['school', 'government', 'party', 'work']
['way', 'life', 'system', 'end']
['day', 'case', 'way', 'end']
['government', 'school', 'end', 'house']
['house', 'place', 'world', 'way']
['year', 'place', 'work', 'world']
['group', 'course', 'government', 'company']
['house', 'party', 'day', 'end']
['company', 'man', 'year', 'end']
['case', 'course', 'house', 'man']
['government', 'company', 'house', 'place']
['world', 'school', 'course', 'man']
['course', 'fact', 'part', 'life']
['case', 'end', 'part', 'company']
['part', 'house', 'life', 'case']
['system', 'school', 'house', 'work']
['way', 'system', 'year', 'world']
['party', 'year', 'school', 'end']
['life', 'part', 'work', 'case']
['man', 'day', 'course', 'government']
['fact', 'work', 'way', 'day']
['fact', 'government', 'way', 'end']
['way', 'life', 'world', 'case']
['party', 'way', 'part', 'year']
['company', 'world', 'work', 'group']
['end', 'house', 'company', 'day']
['way', 'government', 'group', 'fact']
['group', 'life', 'year', 'government']
['place', 'world', 'end', 'life']
['day', 'school', 'course', 'fact']
['man', 'house', 'information', 'case']
['year', 'government', 'course', 'life']
['case', 'day', 'house', 'school']
['company', 'school', 'fact', 'system']
['way', 'government', 'case', 'group']
['course', 'company', 'life', 'year']
['system', 'information', 'world', 'case']
['part', 'company', 'year', 'party']
['part', 'fact', 'life', 'work']
['fact', 'day', 'group', 'place']
['school', 'world', 'course', 'end']
['fact', 'man', 'day', 'way']
['party', 'man', 'fact', 'information']
['case', 'life', 'end', 'company']
['work', 'day', 'world', 'house']
['work', 'course', 'end', 'school']
['system', 'house', 'man', 'year']
['group', 'government', 'part', 'day']
['case', 'man', 'school', 'government']
['fact', 'system', 'man', 'year']
['party', 'group', 'house', 'course']
['day', 'system', 'world', 'man']
['life', 'school', 'way', 'party']
['course', 'company', 'way', 'part']
['year', 'man', 'case', 'end']
['course', 'place', 'system', 'man']
['information', 'company', 'end', 'system']
['system', 'group', 'day', 'way']
['company', 'government', 'party', 'year']
['company', 'course', 'group', 'day']
['day', 'house', 'system', 'work']
['life', 'day', 'place', 'world']
['man', 'year', 'life', 'day']
['man', 'year', 'case', 'place']
