['course', 'place', 'school', 'day']
['work', 'end', 'world', 'place']
['day', 'man', 'place', 'year']
['fact', 'year', 'way', 'house']
['day', 'government', 'group', 'party']
['way', 'work', 'party', 'year']
['house', 'case', 'day', 'company']
['school', 'system', 'group', 'place']
['end', 'year', 'government', 'school']
['party', 'government', 'course', 'house']
['day', 'work', 'government', 'course']
['house', 'fact', 'school', 'part']
['part', 'fact', 'house', 'government']
['case', 'year', 'party', 'work']
['fact', 'party', 'course', 'life']
['world', 'system', 'year', 'way']
['place', 'day', 'house', 'company']
['end', 'information', 'fact', 'world']
['end', 'house', 'group', 'way']
['case', 'information', 'day', 'work']
['world', 'school', 'government', 'company']
['school', 'fact', 'year', 'world']
['world', 'fact', 'government', 'system']
['house', 'company', 'end', 'course']
['school', 'world', 'government', 'work']
['man', 'system', 'work', 'group']
['group', 'house', 'fact', 'party']
['man', 'house', 'course', 'world']
['house', 'fact', 'party', 'group']
['system', 'group', 'year', 'school']
['life', 'party', 'way', 'work']
['man', 'fact', 'case', 'day']
['group', 'system', 'work', 'man']
['fact', 'year', 'information', 'company']
['fact', 'life', 'case', 'work']
['system', 'fact', 'company', 'man']
['company', 'part', 'fact', 'world']
['work', 'part', 'man', 'party']
['company', 'life', 'place', 'house']
['place', 'end', 'life', 'case']
['school', 'end', 'fact', 'house']
['government', 'information', 'day', 'year']
['life', 'work', 'place', 'way']
['end', 'day', 'man', 'place']
['way', 'year', 'information', 'system']
['man', 'year', 'information', 'part']
['end', 'case', 'information', 'man']
['party', 'system', 'fact', 'school']
['information', 'house', 'work', 'school']
['house', 'work', 'group', 'course']
['system', 'way', 'course', 'place']
['end', 'case', 'work', 'course']
['world', 'way', 'system', 'fact']
['information', 'company', 'work', 'place']
['party', 'fact', 'course', 'government']
['house', 'group', 'course', 'place']
['work', 'case', 'system', 'company']
['way', 'system', 'work', 'day']
['course', 'case', 'system', 'place']
['world', 'life', 'group', 'course']
['company', 'system', 'world', 'man']
['part', 'world', 'place', 'party']
['group', 'course', 'world', 'government']
['government', 'school', 'man', 'part']
['house', 'course', 'man', 'day']
['fact', 'party', 'way', 'school']
['way', 'party', 'system', 'company']
['year', 'end', 'world', 'system']
['life', 'part', 'fact', 'end']
['man', 'government', 'group', 'house']
['end', 'course', 'party', 'school']
['course', 'year', 'work', 'man']
['work', 'system', 'day', 'way']
['school', 'course', 'government', 'fact']
['course', 'place', 'house', 'end']
['year', 'part', 'house', 'company']
['school', 'course', 'company', 'government']
['house', 'part', 'course', 'man']
['place', 'end', 'course', 'system']
['company', 'course', 'day', 'year']
['end', 'party', 'man', 'place']
['year', 'house', 'part', 'way']
['party', 'life', 'day', 'system']
['fact', 'government', 'place', 'world']
['company', 'course', 'case', 'life']
['information', 'life', 'way', 'fact']
['government', 'day', 'way', 'man']
['life', 'way', 'part', 'fact']
['course', 'case', 'man', 'party']
['house', 'way', 'part', 'work']
['man', 'course', 'part', 'fact']
['place', 'group', 'world', 'man']
['way', 'place', 'world', 'group']
['house', 'day', 'party', 'fact']
['place', 'course', 'end', 'way']
['house', 'part', 'fact', 'day']
