['man', 'information', 'system', 'way']
['way', 'case', 'course', 'life']
['life', 'house', 'government', 'course']
['year', 'government', 'place', 'way']
['end', 'fact', 'government', 'group']
['school', 'year', 'group', 'company']
['fact', 'year', 'company', 'case']
['man', 'course', 'year', 'way']
['party', 'end', 'company', 'life']
['case', 'company', 'end', 'part']
['part', 'company', 'government', 'world']
['group', 'company', 'government', 'life']
['company', 'year', 'part', 'man']
['party', 'company', 'life', 'place']
['party', 'part', 'world', 'government']
['part', 'information', 'way', 'house']
['part', 'life', 'year', 'place']
['group', 'course', 'case', 'year']
['year', 'world', 'day', 'government']
['company', 'case', 'man', 'fact']
['life', 'group', 'part', 'day']
['part', 'system', 'company', 'year']
['world', 'party', 'part', 'year']
['world', 'fact', 'end', 'course']
['party', 'work', 'place', 'system']
['year', 'day', 'work', 'information']
['company', 'school', 'group', 'man']
['case', 'information', 'man', 'group']
['end', 'school', 'man', 'place']
['year', 'day', 'end', 'house']
['case', 'year', 'man', 'work']
['man', 'information', 'system', 'day']
['information', 'government', 'company', 'school']
['system', 'house', 'day', 'course']
['fact', 'man', 'system', 'way']
['house', 'place', 'course', 'fact']
['system', 'life', 'man', 'fact']
['group', 'fact', 'company', 'government']
['day', 'end', 'work', 'house']
['information', 'fact', 'system', 'house']
['place', 'way', 'government', 'man']
['information', 'fact', 'school', 'year']
['company', 'man', 'information', 'year']
['way', 'end', 'part', 'government']
['case', 'year', 'group', 'man']
['company', 'year', 'place', 'system']
['party', 'course', 'fact', 'information']
['day', 'place', 'end', 'school']
['year', 'case', 'day', 'way']
['life', 'year', 'course', 'government']
['year', 'case', 'government', 'life']
['school', 'part', 'end', 'course']
['place', 'man', 'school', 'company']
['world', 'company', 'life', 'party']
['case', 'place', 'house', 'life']
['work', 'course', 'life', 'fact']
['government', 'part', 'course', 'case']
['work', 'part', 'house', 'day']
['company', 'school', 'man', 'house']
['world', 'life', 'government', 'man']
['company', 'house', 'government', 'world']
['life', 'year', 'group', 'fact']
['end', 'course', 'year', 'fact']
['group', 'fact', 'way', 'government']
['life', 'fact', 'school', 'house']
['group', 'case', 'part', 'life']
['company', 'case', 'fact', 'end']
['school', 'government', 'company', 'party']
['work', 'course', 'party', 'place']
['end', 'school', 'work', 'way']
['house', 'system', 'case', 'world']
['life', 'system', 'information', 'house']
['world', 'company', 'government', 'case']
['end', 'day', 'party', 'world']
['case', 'year', 'party', 'day']
['course', 'case', 'man', 'system']
['school', 'government', 'case', 'group']
['fact', 'information', 'man', 'life']
['way', 'group', 'course', 'government']
['part', 'end', 'place', 'fact']
['day', 'year', 'end', 'course']
['world', 'work', 'company', 'government']
['year', 'day', 'way', 'man']
['part', 'fact', 'company', 'day']
['house', 'course', 'information', 'day']
['company', 'system', 'school', 'man']
['party', 'school', 'course', 'year']
['system', 'life', 'man', 'end']
['way', 'information', 'part', 'man']
['part', 'group', 'end', 'man']
['group', 'party', 'end', 'place']
['life', 'course', 'school', 'man']
['house', 'school', 'course', 'work']
['place', 'year', 'government', 'part']
['company', 'day', 'information', 'government']
['part', 'end', 'year', 'work']
['government', 'place', 'world', 'party']
['course', 'case', 'party', 'fact']
['place', 'man', 'system', 'group']
['group', 'way', 'company', 'life']
