['day', 'case', 'system', 'group']
['school', 'course', 'part', 'place']
['fact', 'company', 'system', 'world']
['party', 'information', 'day', 'government']
['information', 'part', 'world', 'life']
['school', 'fact', 'system', 'information']
['school', 'man', 'end', 'group']
['information', 'fact', 'day', 'group']
['system', 'world', 'group', 'party']
['government', 'man', 'day', 'fact']
['system', 'government', 'party', 'part']
['life', 'year', 'house', 'world']
['house', 'information', 'course', 'place']
['information', 'world', 'work', 'day']
['life', 'part', 'case', 'man']
['information', 'party', 'house', 'system']
['school', 'information', 'system', 'way']
['end', 'fact', 'party', 'system']
['government', 'system', 'end', 'party']
['day', 'part', 'man', 'school']
['company', 'end', 'part', 'information']
['man', 'place', 'house', 'work']
['school', 'case', 'house', 'place']
['case', 'group', 'party', 'company']
['company', 'part', 'information', 'course']
['course', 'world', 'life', 'end']
['group', 'work', 'company', 'year']
['life', 'company', 'man', 'year']
['part', 'course', 'life', 'government']
['party', 'end', 'group', 'part']
['life', 'company', 'man', 'fact']
['course', 'group', 'company', 'day']
['course', 'information', 'part', 'system']
['way', 'life', 'part', 'group']
['life', 'company', 'case', 'work']
['year', 'way', 'group', 'system']
['party', 'year', 'government', 'group']
['part', 'place', 'man', 'system']
['end', 'party', 'man', 'way']
['work', 'house', 'case', 'information']
['life', 'case', 'day', 'world']
['case', 'government', 'way', 'world']
['world', 'party', 'system', 'end']
['government', 'world', 'school', 'party']
['course', 'party', 'fact', 'end']
['work', 'house', 'school', 'company']
['company', 'part', 'house', 'party']
['course', 'government', 'place', 'party']
['school', 'life', 'place', 'group']
['year', 'course', 'work', 'day']
['way', 'course', 'group', 'life']
['course', 'case', 'part', 'way']
['government', 'part', 'information', 'house']
['government', 'place', 'end', 'year']
['course', 'school', 'group', 'life']
['year', 'group', 'party', 'government']
['year', 'fact', 'end', 'day']
['day', 'way', 'end', 'information']
['world', 'fact', 'party', 'work']
['school', 'case', 'government', 'fact']
['man', 'school', 'case', 'day']
['way', 'man', 'year', 'system']
['course', 'way', 'house', 'government']
['part', 'course', 'end', 'company']
['party', 'year', 'government', 'school']
['life', 'house', 'man', 'course']
['place', 'life', 'school', 'year']
['work', 'house', 'life', 'school']
['life', 'course', 'work', 'world']
['year', 'way', 'man', 'party']
['government', 'course', 'case', 'way']
['house', 'day', 'system', 'information']
['party', 'government', 'part', 'world']
['year', 'end', 'house', 'government']
['part', 'company', 'course', 'day']
['system', 'year', 'life', 'fact']
['end', 'place', 'fact', 'work']
['world', 'government', 'fact', 'group']
['party', 'life', 'part', 'course']
['place', 'end', 'information', 'life']
['company', 'work', 'way', 'fact']
['house', 'company', 'work', 'year']
['part', 'school', 'information', 'life']
['fact', 'party', 'government', 'world']
['company', 'way', 'case', 'year']
['course', 'part', 'work', 'year']
['way', 'place', 'day', 'government']
['information', 'day', 'fact', 'world']
['information', 'day', 'world', 'way']
['part', 'world', 'year', 'day']
['party', 'man', 'world', 'system']
['system', 'world', 'work', 'house']
['day', 'work', 'end', 'way']
['group', 'year', 'party', 'fact']
['system', 'house', 'day', 'party']
['government', 'case', 'place', 'school']
['course', 'part', 'house', 'work']
['fact', 'end', 'information', 'case']
['end', 'world', 'life', 'work']
['company', 'part', 'government', 'case']
