['school', 'group', 'government', 'year']
['way', 'house', 'work', 'case']
['house', 'day', 'case', 'information']
['man', 'fact', 'part', 'information']
['house', 'way', 'place', 'fact']
['work', 'life', 'way', 'case']
['house', 'world', 'end', 'information']
['system', 'way', 'world', 'year']
['end', 'man', 'day', 'system']
['company', 'work', 'group', 'part']
['party', 'group', 'world', 'man']
['house', 'case', 'information', 'world']
['system', 'man', 'place', 'way']
['company', 'house', 'day', 'fact']
['way', 'fact', 'place', 'life']
['group', 'case', 'school', 'world']
['end', 'year', 'case', 'man']
['system', 'part', 'company', 'house']
['government', 'year', 'system', 'place']
['government', 'man', 'end', 'party']
['life', 'group', 'place', 'end']
['government', 'life', 'course', 'place']
['year', 'course', 'information', 'group']
['system', 'party', 'man', 'end']
['fact', 'life', 'end', 'group']
['man', 'group', 'end', 'course']
['world', 'system', 'way', 'fact']
['day', 'group', 'part', 'course']
['end', 'group', 'year', 'case']
['work', 'school', 'government', 'information']
['system', 'party', 'end', 'group']
['house', 'group', 'information', 'day']
['year', 'world', 'government', 'case']
['house', 'year', 'work', 'school']
['way', 'case', 'fact', 'part']
['life', 'fact', 'case', 'party']
['day', 'end', 'school', 'information']
['end', 'group', 'course', 'life']
['case', 'work', 'group', 'world']
['part', 'house', 'company', 'information']
['case', 'day', 'fact', 'house']
['life', 'part', 'work', 'course']
['company', 'world', 'information', 'way']
['information', 'fact', 'course', 'year']
['school', 'day', 'system', 'course']
['work', 'group', 'place', 'part']
['course', 'party', 'school', 'fact']
['life', 'year', 'work', 'world']
['year', 'school', 'system', 'life']
['house', 'fact', 'case', 'man']
['end', 'way', 'company', 'school']
['world', 'man', 'year', 'day']
['man', 'world', 'party', 'school']
['year', 'case', 'part', 'end']
['way', 'course', 'man', 'party']
['company', 'place', 'year', 'part']
['end', 'life', 'school', 'man']
['part', 'way', 'group', 'work']
['school', 'man', 'work', 'end']
['government', 'day', 'information', 'party']
['system', 'day', 'group', 'man']
['house', 'school', 'place', 'end']
['government', 'system', 'part', 'day']
['way', 'work', 'party', 'fact']
['life', 'fact', 'course', 'company']
['place', 'party', 'year', 'house']
['course', 'company', 'group', 'man']
['fact', 'part', 'way', 'information']
['information', 'day', 'house', 'place']
['school', 'end', 'year', 'world']
['work', 'school', 'part', 'year']
['day', 'way', 'system', 'government']
['part', 'year', 'system', 'end']
['course', 'government', 'work', 'world']
['system', 'course', 'world', 'school']
['man', 'school', 'end', 'course']
['information', 'fact', 'house', 'year']
['group', 'way', 'house', 'part']
['world', 'life', 'year', 'house']
['year', 'work', 'case', 'part']
['government', 'world', 'system', 'place']
['course', 'government', 'part', 'case']
['day', 'group', 'end', 'party']
['man', 'course', 'party', 'system']
['life', 'case', 'end', 'world']
['school', 'work', 'party', 'case']
['case', 'work', 'house', 'fact']
['way', 'end', 'year', 'party']
['place', 'man', 'fact', 'group']
['work', 'way', 'life', 'man']
['system', 'case', 'fact', 'end']
['information', 'government', 'man', 'group']
['government', 'party', 'day', 'part']
['work', 'year', 'company', 'life']
['school', 'way', 'fact', 'system']
['party', 'man', 'day', 'way']
['school', 'man', 'course', 'way']
['house', 'course', 'case', 'man']
['place', 'school', 'party', 'company']
['place', 'life', 'part', 'man']
