['fact', 'company', 'place', 'school']
['way', 'government', 'party', 'work']
['year', 'course', 'world', 'way']
['system', 'man', 'work', 'end']
['world', 'company', 'case', 'end']
['work', 'course', 'party', 'government']
['year', 'case', 'man', 'work']
['world', 'information', 'man', 'party']
['information', 'life', 'man', 'system']
['place', 'case', 'work', 'part']
['end', 'place', 'course', 'man']
['company', 'case', 'place', 'way']
['world', 'company', 'fact', 'case']
['place', 'system', 'world', 'work']
['day', 'work', 'fact', 'government']
['party', 'work', 'man', 'house']
['part', 'information', 'course', 'group']
['end', 'group', 'government', 'information']
['way', 'government', 'information', 'place']
['part', 'school', 'system', 'case']
['government', 'system', 'way', 'life']
['end', 'group', 'party', 'system']
['course', 'government', 'way', 'work']
['end', 'information', 'course', 'part']
['system', 'case', 'end', 'information']
['party', 'end', 'life', 'system']
['school', 'man', 'party', 'work']
['information', 'day', 'system', 'course']
['part', 'course', 'day', 'way']
['way', 'fact', 'part', 'end']
['work', 'school', 'part', 'day']
['way', 'end', 'place', 'day']
['company', 'work', 'world', 'school']
['way', 'year', 'day', 'place']
['fact', 'house', 'company', 'world']
['world', 'course', 'year', 'life']
['part', 'course', 'man', 'work']
['house', 'information', 'company', 'work']
['group', 'company', 'school', 'fact']
['case', 'part', 'information', 'course']
['end', 'year', 'system', 'way']
['work', 'case', 'way', 'information']
['man', 'government', 'end', 'part']
['school', 'world', 'case', 'end']
['company', 'system', 'fact', 'case']
['year', 'house', 'part', 'end']
['day', 'party', 'government', 'life']
['group', 'year', 'day', 'fact']
['way', 'fact', 'year', 'world']
['information', 'man', 'place', 'year']
['group', 'system', 'course', 'party']
['place', 'information', 'work', 'man']
['work', 'day', 'world', 'company']
['part', 'case', 'day', 'government']
['year', 'party', 'world', 'way']
['way', 'case', 'course', 'information']
['year', 'school', 'work', 'course']
['system', 'information', 'company', 'year']
['day', 'house', 'man', 'course']
['group', 'place', 'information', 'way']
['way', 'end', 'part', 'fact']
['government', 'school', 'year', 'fact']
['life', 'part', 'work', 'day']
['company', 'man', 'case', 'fact']
['course', 'information', 'house', 'company']
['world', 'part', 'way', 'fact']
['information', 'way', 'government', 'school']
['end', 'year', 'way', 'group']
['place', 'part', 'end', 'system']
['way', 'fact', 'man', 'case']
['school', 'way', 'man', 'government']
['end', 'school', 'day', 'party']
['school', 'company', 'group', 'fact']
['work', 'system', 'case', 'world']
['man', 'school', 'way', 'work']
['school', 'course', 'man', 'world']
['way', 'course', 'day', 'man']
['end', 'school', 'work', 'government']
['company', 'world', 'fact', 'place']
['work', 'house', 'way', 'group']
['day', 'work', 'party', 'school']
['year', 'work', 'party', 'course']
['school', 'group', 'day', 'fact']
['group', 'school', 'case', 'information']
['end', 'world', 'course', 'fact']
['system', 'company', 'place', 'day']
['company', 'group', 'fact', 'information']
['information', 'fact', 'system', 'course']
['company', 'end', 'group', 'year']
['part', 'company', 'group', 'case']
['course', 'place', 'case', 'government']
['day', 'course', 'government', 'case']
['man', 'end', 'part', 'case']
['case', 'year', 'way', 'end']
['group', 'man', 'government', 'company']
['course', 'party', 'house', 'day']
['end', 'information', 'world', 'man']
['course', 'fact', 'part', 'way']
['day', 'way', 'life', 'fact']
['work', 'information', 'man', 'house']
