['case', 'government', 'house', 'school']
['life', 'case', 'fact', 'government']
['system', 'house', 'place', 'end']
['information', 'work', 'place', 'company']
['government', 'group', 'case', 'part']
['place', 'fact', 'information', 'government']
['company', 'fact', 'life', 'group']
['way', 'work', 'government', 'man']
['part', 'day', 'government', 'case']
['place', 'house', 'government', 'company']
['fact', 'day', 'school', 'part']
['case', 'system', 'part', 'year']
['system', 'fact', 'group', 'life']
['information', 'system', 'fact', 'work']
['work', 'life', 'system', 'part']
['place', 'life', 'work', 'school']
['school', 'group', 'case', 'fact']
['life', 'course', 'world', 'place']
['part', 'world', 'group', 'life']
['case', 'company', 'fact', 'life']
['house', 'group', 'place', 'work']
['party', 'company', 'life', 'day']
['party', 'course', 'information', 'place']
['work', 'way', 'place', 'fact']
['part', 'work', 'party', 'end']
['year', 'place', 'way', 'case']
['company', 'place', 'fact', 'year']
['way', 'life', 'part', 'year']
['man', 'place', 'course', 'way']
['system', 'fact', 'end', 'school']
['house', 'work', 'group', 'company']
['case', 'party', 'system', 'group']
['work', 'life', 'house', 'part']
['government', 'group', 'man', 'information']
['course', 'company', 'government', 'life']
['government', 'year', 'group', 'case']
['party', 'school', 'year', 'case']
['part', 'end', 'house', 'work']
['fact', 'case', 'government', 'place']
['house', 'place', 'group', 'day']
['work', 'part', 'group', 'company']
['day', 'part', 'end', 'work']
['system', 'day', 'course', 'group']
['company', 'place', 'work', 'house']
['part', 'way', 'party', 'system']
['course', 'government', 'life', 'fact']
['year', 'life', 'course', 'fact']
['fact', 'company', 'case', 'year']
['place', 'way', 'world', 'life']
['system', 'way', 'course', 'group']
['end', 'group', 'school', 'place']
['party', 'end', 'day', 'work']
['world', 'case', 'school', 'end']
['place', 'world', 'way', 'government']
['day', 'government', 'place', 'house']
['world', 'information', 'group', 'company']
['place', 'day', 'company', 'school']
['day', 'government', 'work', 'year']
['man', 'world', 'end', 'house']
['information', 'man', 'way', 'place']
['information', 'government', 'part', 'man']
['year', 'world', 'school', 'life']
['group', 'place', 'day', 'house']
['system', 'course', 'company', 'work']
['world', 'system', 'man', 'part']
['end', 'system', 'case', 'way']
['life', 'way', 'group', 'party']
['school', 'group', 'government', 'system']
['work', 'way', 'part', 'system']
['government', 'life', 'place', 'work']
['place', 'school', 'house', 'end']
['house', 'day', 'work', 'man']
['work', 'case', 'house', 'school']
['house', 'group', 'day', 'life']
['way', 'life', 'day', 'system']
['group', 'world', 'end', 'year']
['world', 'life', 'work', 'place']
['world', 'life', 'work', 'case']
['year', 'place', 'part', 'case']
['party', 'place', 'school', 'group']
['part', 'system', 'fact', 'information']
['work', 'year', 'place', 'information']
['part', 'day', 'life', 'way']
['man', 'group', 'way', 'world']
['case', 'place', 'world', 'company']
['place', 'company', 'life', 'work']
['part', 'man', 'way', 'life']
['day', 'group', 'information', 'system']
['party', 'year', 'part', 'company']
