['fact', 'man', 'party', 'case']
['way', 'life', 'day', 'fact']
['company', 'information', 'place', 'case']
['world', 'company', 'life', 'part']
['way', 'information', 'work', 'world']
['way', 'fact', 'case', 'year']
['man', 'case', 'group', 'course']
['course', 'government', 'place', 'part']
['information', 'life', 'government', 'man']
['case', 'year', 'end', 'system']
['company', 'information', 'fact', 'case']
['case', 'government', 'school', 'course']
['school', 'day', 'work', 'part']
['man', 'company', 'part', 'year']
['group', 'part', 'fact', 'way']
['work', 'life', 'year', 'information']
['man', 'school', 'government', 'party']
['work', 'end', 'year', 'day']
['world', 'life', 'party', 'school']
['system', 'group', 'case', 'government']
['information', 'end', 'house', 'system']
['party', 'year', 'day', 'place']
['man', 'fact', 'part', 'school']
['place', 'party', 'school', 'way']
['man', 'group', 'government', 'party']
['world', 'life', 'information', 'day']
['case', 'government', 'work', 'house']
['case', 'fact', 'party', 'system']
['man', 'place', 'information', 'world']
['part', 'case', 'fact', 'work']
['end', 'house', 'life', 'school']
['man', 'case', 'course', 'party']
['way', 'school', 'world', 'government']
['school', 'group', 'end', 'case']
['end', 'government', 'way', 'day']
['life', 'school', 'part', 'place']
['day', 'case', 'company', 'part']
['information', 'company', 'end', 'part']
['man', 'house', 'way', 'day']
['way', 'party', 'case', 'world']
['system', 'government', 'part', 'place']
['way', 'school', 'work', 'man']
['party', 'day', 'place', 'way']
['information', 'work', 'year', 'school']
['course', 'system', 'life', 'school']
['year', 'case', 'government', 'life']
['day', 'company', 'year', 'place']
['life', 'year', 'man', 'part']
['place', 'case', 'house', 'information']
['house', 'place', 'party', 'government']
['course', 'work', 'party', 'end']
['day', 'way', 'end', 'school']
['government', 'group', 'part', 'end']
['group', 'system', 'end', 'case']
['fact', 'world', 'part', 'house']
['information', 'way', 'world', 'fact']
['company', 'case', 'work', 'course']
['house', 'case', 'part', 'way']
['work', 'man', 'party', 'system']
['system', 'company', 'information', 'house']
['government', 'work', 'end', 'day']
['man', 'place', 'world', 'year']
['company', 'government', 'party', 'system']
['system', 'way', 'world', 'information']
['man', 'end', 'government', 'day']
['party', 'information', 'group', 'house']
['place', 'party', 'house', 'group']
['work', 'way', 'school', 'end']
['way', 'course', 'party', 'group']
['way', 'work', 'system', 'school']
['house', 'life', 'world', 'man']
['day', 'company', 'government', 'way']
['place', 'company', 'system', 'fact']
['course', 'group', 'day', 'life']
['day', 'information', 'part', 'system']
['day', 'information', 'world', 'end']
['group', 'year', 'end', 'man']
['government', 'place', 'way', 'year']
['information', 'fact', 'life', 'government']
['party', 'house', 'work', 'system']
['information', 'house', 'world', 'year']
['end', 'fact', 'day', 'party']
['way', 'man', 'place', 'part']
['party', 'man', 'place', 'world']
['information', 'school', 'day', 'year']
['group', 'company', 'information', 'party']
['way', 'course', 'party', 'group']
['year', 'house', 'case', 'place']
['government', 'work', 'life', 'group']
['way', 'world', 'government', 'work']
['part', 'work', 'course', 'man']
['life', 'party', 'government', 'group']
['party', 'information', 'way', 'system']
['company', 'way', 'day', 'government']
['end', 'year', 'company', 'fact']
['party', 'system', 'place', 'company']
['way', 'place', 'party', 'end']
['case', 'house', 'course', 'way']
['system', 'place', 'house', 'life']
['party', 'place', 'man', 'government']
