['place', 'case', 'fact', 'man']
['day', 'way', 'school', 'information']
['party', 'system', 'man', 'year']
['school', 'government', 'party', 'company']
['end', 'information', 'group', 'school']
['end', 'fact', 'party', 'place']
['man', 'world', 'government', 'fact']
['party', 'school', 'case', 'end']
['fact', 'work', 'course', 'man']
['man', 'case', 'life', 'company']
['party', 'man', 'end', 'house']
['year', 'group', 'information', 'world']
['part', 'fact', 'day', 'government']
['school', 'fact', 'government', 'world']
['day', 'system', 'work', 'world']
['place', 'government', 'group', 'way']
['place', 'life', 'end', 'day']
['company', 'school', 'place', 'case']
['life', 'group', 'government', 'place']
['way', 'part', 'school', 'life']
['life', 'government', 'information', 'year']
['house', 'information', 'world', 'life']
['world', 'case', 'school', 'system']
['party', 'life', 'system', 'year']
['work', 'part', 'government', 'school']
['party', 'place', 'system', 'group']
['life', 'system', 'world', 'work']
['company', 'place', 'party', 'day']
['house', 'place', 'man', 'group']
['life', 'work', 'group', 'world']
['party', 'course', 'place', 'case']
['party', 'work', 'case', 'day']
['place', 'course', 'case', 'company']
['house', 'course', 'system', 'place']
['place', 'fact', 'man', 'house']
['year', 'place', 'house', 'party']
['school', 'day', 'government', 'information']
['place', 'group', 'house', 'world']
['way', 'year', 'school', 'system']
['man', 'system', 'company', 'world']
['house', 'man', 'information', 'world']
['way', 'part', 'place', 'work']
['school', 'man', 'case', 'way']
['day', 'group', 'year', 'world']
['school', 'company', 'course', 'party']
['way', 'course', 'party', 'end']
['way', 'year', 'work', 'day']
['year', 'world', 'man', 'house']
['party', 'group', 'information', 'way']
['way', 'group', 'part', 'information']
['way', 'life', 'company', 'house']
['work', 'place', 'life', 'party']
['government', 'place', 'information', 'company']
['school', 'end', 'information', 'man']
['way', 'year', 'house', 'place']
['work', 'man', 'life', 'party']
['fact', 'system', 'course', 'government']
['case', 'end', 'course', 'house']
['house', 'life', 'world', 'end']
['day', 'course', 'case', 'work']
['man', 'world', 'company', 'system']
['school', 'system', 'day', 'world']
['party', 'man', 'house', 'day']
['world', 'end', 'party', 'year']
['system', 'course', 'way', 'house']
['government', 'work', 'school', 'place']
['course', 'school', 'work', 'system']
['year', 'life', 'work', 'government']
['school', 'party', 'information', 'course']
['group', 'course', 'year', 'way']
['course', 'work', 'world', 'government']
['course', 'man', 'life', 'school']
['party', 'day', 'case', 'system']
['government', 'information', 'part', 'school']
['company', 'course', 'fact', 'case']
['case', 'life', 'house', 'system']
['case', 'work', 'course', 'world']
['fact', 'system', 'company', 'day']
['end', 'way', 'system', 'school']
['end', 'man', 'information', 'government']
['end', 'place', 'course', 'case']
['part', 'place', 'way', 'course']
['company', 'system', 'life', 'end']
['day', 'government', 'fact', 'case']
['information', 'house', 'government', 'end']
['party', 'company', 'fact', 'world']
['system', 'part', 'life', 'work']
['man', 'house', 'case', 'part']
['course', 'part', 'party', 'man']
['case', 'part', 'system', 'information']
['party', 'company', 'group', 'place']
['company', 'school', 'case', 'fact']
['work', 'world', 'house', 'day']
['system', 'man', 'place', 'world']
['world', 'work', 'course', 'company']
['man', 'course', 'day', 'way']
['government', 'school', 'work', 'life']
['fact', 'case', 'system', 'course']
['part', 'life', 'fact', 'school']
['end', 'company', 'case', 'place']
