['work', 'place', 'school', 'information']
['man', 'year', 'group', 'fact']
['fact', 'world', 'work', 'system']
['place', 'year', 'world', 'case']
['government', 'information', 'school', 'way']
['part', 'life', 'company', 'house']
['school', 'world', 'course', 'house']
['part', 'world', 'way', 'house']
['year', 'party', 'fact', 'school']
['group', 'house', 'work', 'day']
['place', 'life', 'house', 'system']
['company', 'school', 'group', 'way']
['case', 'day', 'party', 'house']
['part', 'man', 'system', 'information']
['group', 'world', 'company', 'party']
['information', 'party', 'end', 'life']
['information', 'course', 'man', 'government']
['case', 'day', 'school', 'world']
['house', 'work', 'man', 'way']
['group', 'system', 'way', 'world']
['way', 'government', 'fact', 'school']
['work', 'information', 'party', 'way']
['house', 'fact', 'group', 'company']
['school', 'way', 'group', 'man']
['course', 'part', 'information', 'fact']
['end', 'house', 'world', 'group']
['party', 'fact', 'day', 'group']
['house', 'life', 'day', 'party']
['house', 'case', 'end', 'school']
['school', 'government', 'day', 'end']
['work', 'information', 'group', 'way']
['system', 'party', 'case', 'way']
['life', 'man', 'world', 'way']
['school', 'course', 'company', 'man']
['information', 'party', 'part', 'end']
['case', 'work', 'party', 'government']
['world', 'man', 'school', 'group']
['government', 'course', 'day', 'system']
['life', 'year', 'house', 'information']
['government', 'life', 'system', 'man']
['fact', 'school', 'company', 'government']
['work', 'man', 'way', 'fact']
['case', 'course', 'man', 'company']
['course', 'party', 'way', 'part']
['group', 'course', 'information', 'fact']
['end', 'place', 'school', 'day']
['course', 'way', 'work', 'group']
['world', 'information', 'company', 'school']
['way', 'place', 'case', 'year']
['way', 'company', 'course', 'end']
['course', 'world', 'system', 'house']
['case', 'part', 'year', 'man']
['party', 'world', 'way', 'government']
['company', 'world', 'place', 'man']
['information', 'way', 'system', 'end']
['fact', 'place', 'day', 'house']
['way', 'fact', 'day', 'year']
['course', 'part', 'case', 'life']
['government', 'part', 'work', 'man']
['party', 'life', 'work', 'information']
['work', 'course', 'house', 'day']
['party', 'system', 'government', 'information']
['course', 'party', 'world', 'group']
['end', 'government', 'group', 'information']
['party', 'information', 'way', 'work']
['company', 'system', 'work', 'case']
['year', 'world', 'life', 'end']
['system', 'case', 'world', 'party']
['group', 'party', 'house', 'government']
['government', 'life', 'information', 'party']
['information', 'year', 'way', 'school']
['group', 'company', 'government', 'day']
['man', 'course', 'year', 'house']
['world', 'place', 'fact', 'man']
['course', 'government', 'information', 'work']
['place', 'course', 'life', 'house']
['course', 'system', 'world', 'case']
['company', 'man', 'end', 'day']
['life', 'information', 'man', 'government']
['house', 'place', 'group', 'school']
['way', 'course', 'end', 'group']
['fact', 'group', 'company', 'world']
['company', 'year', 'case', 'government']
['end', 'year', 'world', 'place']
['group', 'party', 'year', 'life']
['fact', 'life', 'part', 'work']
['day', 'company', 'information', 'part']
['government', 'group', 'party', 'fact']
['group', 'way', 'place', 'company']
['fact', 'place', 'information', 'life']
['fact', 'place', 'end', 'house']
['end', 'government', 'party', 'house']
['government', 'way', 'end', 'school']
['day', 'part', 'life', 'group']
['school', 'end', 'system', 'work']
['part', 'work', 'year', 'case']
['day', 'place', 'man', 'course']
['information', 'government', 'company', 'world']
['company', 'year', 'system', 'end']
['place', 'course', 'group', 'case']
