['case', 'house', 'man', 'world']
['party', 'world', 'course', 'work']
['end', 'work', 'company', 'life']
['information', 'part', 'group', 'place']
['place', 'world', 'year', 'course']
['company', 'school', 'case', 'house']
['world', 'government', 'place', 'house']
['place', 'world', 'man', 'life']
['information', 'house', 'part', 'life']
['company', 'party', 'government', 'fact']
['government', 'man', 'fact', 'party']
['life', 'year', 'work', 'day']
['way', 'part', 'party', 'course']
['course', 'year', 'work', 'party']
['end', 'way', 'year', 'party']
['place', 'party', 'fact', 'house']
['place', 'course', 'system', 'case']
['house', 'end', 'case', 'day']
['company', 'government', 'year', 'group']
['world', 'fact', 'case', 'man']
['man', 'government', 'system', 'way']
['company', 'man', 'way', 'system']
['world', 'year', 'party', 'house']
['life', 'place', 'course', 'day']
['man', 'life', 'case', 'part']
['government', 'life', 'way', 'school']
['house', 'case', 'life', 'world']
['day', 'fact', 'company', 'house']
['system', 'end', 'house', 'world']
['man', 'party', 'school', 'year']
['course', 'case', 'end', 'house']
['life', 'government', 'man', 'case']
['group', 'company', 'man', 'year']
['world', 'party', 'day', 'system']
['world', 'life', 'company', 'school']
['life', 'party', 'end', 'information']
['world', 'information', 'case', 'day']
['company', 'day', 'way', 'work']
['place', 'part', 'company', 'system']
['fact', 'way', 'year', 'man']
['way', 'case', 'government', 'school']
['end', 'life', 'year', 'system']
['government', 'fact', 'part', 'end']
['fact', 'case', 'course', 'year']
['fact', 'way', 'life', 'world']
['school', 'world', 'house', 'fact']
['school', 'way', 'company', 'party']
['government', 'information', 'end', 'group']
['day', 'part', 'end', 'house']
['case', 'course', 'system', 'work']
['place', 'government', 'group', 'course']
['house', 'part', 'day', 'place']
['party', 'information', 'government', 'system']
['government', 'part', 'work', 'group']
['year', 'information', 'fact', 'man']
['company', 'life', 'year', 'party']
['government', 'house', 'way', 'group']
['group', 'man', 'fact', 'day']
['group', 'life', 'world', 'government']
['information', 'system', 'school', 'house']
['way', 'information', 'fact', 'system']
['day', 'group', 'place', 'man']
['life', 'man', 'course', 'way']
['government', 'fact', 'information', 'world']
['course', 'end', 'party', 'day']
['day', 'work', 'place', 'part']
['work', 'school', 'house', 'group']
['course', 'world', 'system', 'company']
['life', 'work', 'case', 'world']
['information', 'man', 'fact', 'course']
['case', 'group', 'system', 'information']
['house', 'life', 'world', 'man']
['school', 'fact', 'life', 'course']
['man', 'life', 'year', 'system']
['life', 'party', 'government', 'house']
['place', 'year', 'world', 'way']
['year', 'work', 'company', 'life']
['system', 'school', 'group', 'day']
['fact', 'man', 'case', 'company']
['fact', 'life', 'work', 'end']
['world', 'life', 'part', 'company']
['party', 'case', 'day', 'company']
['year', 'place', 'information', 'part']
['work', 'house', 'course', 'government']
['part', 'life', 'end', 'work']
['part', 'case', 'man', 'end']
['government', 'information', 'day', 'work']
['company', 'government', 'man', 'party']
['group', 'world', 'case', 'part']
['work', 'system', 'end', 'house']
['man', 'life', 'part', 'work']
['group', 'life', 'day', 'information']
['school', 'place', 'man', 'system']
['end', 'government', 'group', 'company']
['way', 'place', 'information', 'man']
['day', 'work', 'information', 'end']
['course', 'company', 'information', 'life']
['year', 'information', 'day', 'case']
['world', 'house', 'end', 'party']
['information', 'company', 'end', 'work']
