['world', 'system', 'way', 'information']
['group', 'course', 'life', 'year']
['man', 'life', 'day', 'work']
['information', 'year', 'case', 'day']
['world', 'government', 'place', 'house']
['work', 'way', 'group', 'case']
['world', 'way', 'day', 'part']
['place', 'year', 'house', 'information']
['end', 'company', 'fact', 'man']
['end', 'group', 'system', 'house']
['information', 'fact', 'party', 'case']
['course', 'company', 'world', 'system']
['part', 'course', 'company', 'end']
['day', 'world', 'work', 'information']
['way', 'end', 'group', 'government']
['part', 'information', 'world', 'group']
['year', 'school', 'house', 'place']
['group', 'company', 'day', 'year']
['case', 'part', 'government', 'way']
['group', 'system', 'government', 'fact']
['place', 'party', 'work', 'man']
['day', 'house', 'year', 'company']
['house', 'work', 'day', 'life']
['school', 'life', 'government', 'system']
['school', 'company', 'day', 'way']
['fact', 'group', 'course', 'place']
['man', 'life', 'company', 'world']
['house', 'world', 'group', 'place']
['case', 'group', 'part', 'life']
['school', 'course', 'man', 'part']
['end', 'party', 'place', 'course']
['fact', 'end', 'place', 'life']
['system', 'case', 'way', 'group']
['year', 'fact', 'work', 'system']
['system', 'end', 'work', 'government']
['life', 'work', 'way', 'part']
['party', 'government', 'place', 'way']
['life', 'party', 'end', 'school']
['day', 'group', 'fact', 'end']
['world', 'case', 'group', 'way']
['school', 'man', 'end', 'place']
['government', 'party', 'information', 'end']
['party', 'company', 'case', 'information']
['year', 'government', 'case', 'information']
['course', 'place', 'government', 'day']
['system', 'house', 'place', 'government']
['government', 'year', 'day', 'party']
['system', 'man', 'day', 'course']
['life', 'place', 'group', 'government']
['information', 'man', 'world', 'party']
['part', 'work', 'school', 'course']
['year', 'place', 'group', 'company']
['work', 'end', 'party', 'system']
['part', 'government', 'man', 'year']
['work', 'school', 'company', 'information']
['end', 'party', 'life', 'house']
['way', 'part', 'case', 'day']
['case', 'party', 'information', 'house']
['information', 'day', 'school', 'end']
['place', 'way', 'school', 'man']
['place', 'work', 'day', 'life']
['world', 'life', 'school', 'company']
['course', 'company', 'part', 'group']
['end', 'school', 'course', 'fact']
['life', 'year', 'school', 'way']
['course', 'party', 'day', 'group']
['group', 'government', 'case', 'way']
['school', 'work', 'end', 'way']
['school', 'case', 'man', 'company']
['information', 'party', 'company', 'work']
['course', 'fact', 'life', 'information']
['house', 'system', 'man', 'course']
['place', 'party', 'course', 'house']
['company', 'party', 'school', 'information']
['government', 'company', 'fact', 'place']
['house', 'way', 'fact', 'case']
['company', 'party', 'school', 'group']
['work', 'part', 'end', 'place']
['school', 'company', 'course', 'end']
['government', 'work', 'place', 'school']
['work', 'fact', 'end', 'man']
['information', 'part', 'school', 'way']
['system', 'course', 'company', 'party']
['end', 'fact', 'way', 'day']
['year', 'man', 'group', 'end']
['course', 'government', 'part', 'fact']
['system', 'fact', 'course', 'information']
['case', 'man', 'school', 'work']
['government', 'company', 'case', 'fact']
['man', 'end', 'work', 'group']
['fact', 'world', 'part', 'place']
['way', 'system', 'man', 'government']
['life', 'place', 'part', 'school']
['part', 'case', 'system', 'party']
