['government', 'life', 'course']
['world', 'course', 'day']
['group', 'information', 'fact']
['case', 'fact', 'house']
['part', 'case', 'life']
['world', 'man', 'work']
['place', 'government', 'life']
['case', 'government', 'group']
['fact', 'work', 'end']
['fact', 'life', 'school']
['case', 'course', 'work']
['group', 'course', 'year']
['day', 'fact', 'end']
['end', 'system', 'part']
['information', 'way', 'work']
['way', 'man', 'day']
['information', 'group', 'system']
['case', 'system', 'house']
['information', 'company', 'year']
['house', 'man', 'work']
['end', 'information', 'man']
['house', 'end', 'course']
['system', 'information', 'school']
['information', 'group', 'place']
['case', 'way', 'man']
['government', 'school', 'information']
['world', 'way', 'day']
['place', 'course', 'house']
['house', 'system', 'end']
['work', 'fact', 'part']
['life', 'man', 'part']
['work', 'part', 'year']
['course', 'part', 'information']
['day', 'world', 'man']
['place', 'school', 'company']
['system', 'end', 'place']
['party', 'work', 'end']
['party', 'end', 'part']
['company', 'day', 'man']
['information', 'year', 'school']
['work', 'course', 'group']
['group', 'man', 'life']
['case', 'course', 'party']
['system', 'case', 'company']
['house', 'party', 'world']
['information', 'world', 'man']
['world', 'system', 'house']
['course', 'house', 'man']
['life', 'company', 'year']
['day', 'company', 'fact']
['system', 'government', 'year']
['information', 'school', 'group']
['world', 'party', 'work']
['case', 'system', 'way']
['year', 'man', 'information']
['day', 'house', 'system']
['way', 'case', 'part']
['system', 'man', 'information']
['company', 'group', 'fact']
['world', 'information', 'course']
['house', 'place', 'fact']
['day', 'way', 'course']
['house', 'man', 'work']
['case', 'system', 'world']
['part', 'place', 'group']
['house', 'end', 'work']
['fact', 'place', 'company']
['information', 'year', 'end']
['place', 'party', 'world']
['man', 'course', 'part']
['life', 'company', 'way']
['world', 'place', 'day']
['work', 'life', 'course']
['day', 'end', 'group']
['company', 'end', 'house']
['party', 'information', 'end']
['man', 'place', 'case']
['man', 'case', 'year']
['way', 'group', 'life']
['world', 'company', 'information']
['part', 'work', 'life']
['day', 'year', 'company']
['man', 'course', 'part']
['man', 'place', 'system']
['company', 'man', 'part']
['government', 'way', 'year']
['company', 'government', 'system']
['life', 'part', 'system']
['place', 'information', 'life']
['group', 'way', 'work']
['government', 'way', 'place']
['way', 'government', 'information']
['party', 'year', 'government']
['fact', 'year', 'house']
['house', 'fact', 'school']
['company', 'man', 'year']
['party', 'man', 'work']
['fact', 'group', 'year']
['life', 'school', 'course']
