['information', 'government', 'house']
['end', 'information', 'party']
['school', 'fact', 'government']
['party', 'way', 'government']
['day', 'life', 'school']
['year', 'life', 'party']
['system', 'house', 'part']
['life', 'work', 'company']
['man', 'party', 'fact']
['fact', 'group', 'school']
['school', 'information', 'part']
['way', 'life', 'part']
['fact', 'school', 'case']
['work', 'case', 'part']
['company', 'information', 'group']
['case', 'company', 'system']
['world', 'case', 'house']
['life', 'government', 'course']
['end', 'life', 'course']
['course', 'information', 'fact']
['day', 'man', 'part']
['government', 'man', 'information']
['way', 'case', 'house']
['case', 'man', 'government']
['fact', 'man', 'house']
['course', 'life', 'man']
['world', 'company', 'end']
['world', 'life', 'government']
['end', 'party', 'group']
['part', 'system', 'government']
['party', 'work', 'house']
['day', 'life', 'school']
['life', 'case', 'fact']
['day', 'way', 'part']
['end', 'life', 'world']
['place', 'part', 'information']
['end', 'school', 'course']
['world', 'part', 'fact']
['company', 'place', 'year']
['group', 'place', 'year']
['information', 'group', 'work']
['year', 'house', 'world']
['party', 'group', 'place']
['life', 'man', 'school']
['case', 'fact', 'year']
['man', 'party', 'work']
['place', 'work', 'life']
['fact', 'way', 'end']
['end', 'party', 'school']
['end', 'part', 'case']
['world', 'company', 'information']
['fact', 'group', 'world']
['case', 'fact', 'world']
['company', 'end', 'man']
['life', 'party', 'work']
['house', 'work', 'school']
['company', 'year', 'part']
['fact', 'government', 'information']
['way', 'course', 'information']
['company', 'case', 'government']
['information', 'course', 'house']
['party', 'system', 'information']
['school', 'course', 'man']
['life', 'year', 'information']
['course', 'man', 'school']
['fact', 'part', 'government']
['house', 'end', 'government']
['way', 'day', 'system']
['company', 'world', 'school']
['information', 'house', 'day']
['end', 'party', 'way']
['life', 'case', 'information']
['system', 'house', 'life']
['work', 'fact', 'part']
['year', 'school', 'government']
['group', 'work', 'part']
['government', 'system', 'world']
['house', 'fact', 'man']
['course', 'fact', 'company']
['information', 'world', 'group']
['work', 'system', 'information']
['company', 'fact', 'information']
['case', 'part', 'group']
['fact', 'house', 'information']
['group', 'course', 'government']
['party', 'company', 'man']
['course', 'system', 'work']
['part', 'world', 'man']
['man', 'school', 'year']
['year', 'case', 'school']
['man', 'house', 'world']
['way', 'course', 'day']
['group', 'school', 'house']
['house', 'school', 'case']
['work', 'world', 'information']
['part', 'world', 'year']
['world', 'government', 'house']
['school', 'work', 'government']
