['year', 'fact', 'man']
['fact', 'party', 'course']
['end', 'company', 'part']
['system', 'house', 'year']
['group', 'life', 'information']
['end', 'company', 'house']
['man', 'world', 'system']
['party', 'day', 'school']
['house', 'course', 'information']
['part', 'case', 'day']
['party', 'course', 'place']
['case', 'information', 'life']
['government', 'work', 'fact']
['man', 'world', 'government']
['information', 'school', 'party']
['company', 'place', 'house']
['company', 'house', 'life']
['work', 'place', 'day']
['company', 'life', 'case']
['party', 'course', 'work']
['man', 'group', 'work']
['course', 'part', 'man']
['man', 'world', 'company']
['man', 'case', 'year']
['school', 'system', 'world']
['party', 'year', 'information']
['fact', 'life', 'school']
['group', 'party', 'place']
['life', 'fact', 'information']
['fact', 'world', 'government']
['work', 'party', 'case']
['government', 'way', 'year']
['government', 'work', 'world']
['life', 'place', 'group']
['place', 'man', 'end']
['way', 'group', 'part']
['fact', 'day', 'end']
['place', 'year', 'case']
['end', 'government', 'world']
['place', 'course', 'work']
['government', 'school', 'work']
['course', 'part', 'house']
['end', 'fact', 'party']
['way', 'work', 'life']
['fact', 'year', 'end']
['work', 'way', 'government']
['work', 'world', 'way']
['world', 'system', 'way']
['course', 'system', 'information']
['work', 'way', 'part']
['group', 'information', 'man']
['part', 'government', 'fact']
['party', 'government', 'life']
['system', 'house', 'place']
['system', 'government', 'group']
['life', 'information', 'government']
['life', 'information', 'way']
['company', 'work', 'group']
['fact', 'way', 'part']
['year', 'way', 'information']
['place', 'company', 'school']
['way', 'information', 'fact']
['end', 'life', 'system']
['group', 'way', 'end']
['day', 'group', 'party']
['man', 'fact', 'place']
['life', 'way', 'company']
['day', 'year', 'place']
['day', 'way', 'end']
['life', 'world', 'end']
['end', 'government', 'group']
['man', 'part', 'way']
['way', 'fact', 'house']
['house', 'part', 'school']
['man', 'school', 'way']
['work', 'company', 'school']
['fact', 'school', 'government']
['man', 'house', 'life']
['school', 'year', 'life']
['year', 'way', 'case']
['group', 'place', 'company']
['life', 'house', 'day']
['house', 'end', 'work']
['world', 'man', 'year']
['course', 'work', 'group']
['fact', 'part', 'place']
['information', 'end', 'group']
['house', 'fact', 'case']
['year', 'place', 'life']
['man', 'fact', 'party']
['school', 'way', 'group']
['end', 'information', 'system']
['way', 'system', 'course']
['school', 'company', 'group']
['year', 'party', 'way']
['day', 'house', 'man']
['government', 'company', 'house']
['party', 'part', 'course']
['year', 'house', 'end']
['day', 'case', 'part']
