['work', 'place', 'life']
['government', 'house', 'information']
['part', 'place', 'way']
['part', 'company', 'way']
['way', 'fact', 'system']
['house', 'group', 'course']
['group', 'house', 'man']
['company', 'house', 'fact']
['day', 'school', 'party']
['system', 'part', 'world']
['part', 'end', 'company']
['government', 'way', 'party']
['school', 'information', 'group']
['world', 'school', 'life']
['party', 'house', 'school']
['life', 'day', 'school']
['house', 'company', 'information']
['house', 'school', 'party']
['group', 'work', 'end']
['house', 'day', 'school']
['part', 'year', 'government']
['case', 'house', 'government']
['way', 'fact', 'world']
['end', 'day', 'party']
['part', 'place', 'man']
['group', 'life', 'party']
['company', 'group', 'school']
['world', 'work', 'course']
['company', 'case', 'party']
['party', 'school', 'year']
['company', 'school', 'information']
['world', 'system', 'group']
['party', 'man', 'company']
['day', 'life', 'world']
['place', 'work', 'system']
['course', 'case', 'work']
['world', 'life', 'system']
['work', 'school', 'end']
['information', 'company', 'way']
['government', 'way', 'information']
['way', 'day', 'man']
['fact', 'house', 'school']
['course', 'case', 'year']
['case', 'course', 'school']
['man', 'place', 'government']
['school', 'government', 'man']
['place', 'world', 'company']
['man', 'part', 'world']
['information', 'case', 'system']
['information', 'company', 'group']
['day', 'system', 'life']
['company', 'group', 'end']
['year', 'fact', 'work']
['company', 'course', 'information']
['place', 'way', 'man']
['house', 'company', 'government']
['government', 'fact', 'man']
['government', 'year', 'life']
['fact', 'end', 'day']
['work', 'end', 'place']
['school', 'company', 'government']
['information', 'group', 'work']
['course', 'school', 'system']
['place', 'end', 'school']
['place', 'school', 'company']
['fact', 'year', 'end']
['world', 'year', 'house']
['case', 'house', 'man']
['case', 'world', 'year']
['year', 'information', 'day']
['part', 'life', 'world']
['house', 'company', 'party']
['man', 'world', 'place']
['system', 'year', 'part']
['part', 'information', 'house']
['party', 'fact', 'life']
['day', 'part', 'end']
['course', 'man', 'fact']
['company', 'party', 'year']
['part', 'information', 'house']
['government', 'school', 'group']
['party', 'way', 'system']
['life', 'man', 'end']
['system', 'end', 'fact']
['government', 'life', 'party']
['man', 'course', 'party']
['place', 'group', 'life']
['place', 'fact', 'day']
['course', 'life', 'work']
['work', 'information', 'company']
['government', 'place', 'case']
['school', 'year', 'work']
['day', 'school', 'way']
['life', 'part', 'school']
['part', 'place', 'end']
['information', 'life', 'house']
['company', 'party', 'information']
['group', 'world', 'company']
['part', 'man', 'course']
