['house', 'system', 'group']
['man', 'fact', 'day']
['case', 'house', 'group']
['part', 'group', 'place']
['man', 'party', 'system']
['part', 'end', 'place']
['year', 'life', 'house']
['way', 'company', 'life']
['life', 'end', 'part']
['man', 'house', 'year']
['system', 'fact', 'world']
['government', 'end', 'party']
['system', 'place', 'course']
['government', 'information', 'life']
['life', 'world', 'government']
['way', 'house', 'work']
['place', 'year', 'course']
['work', 'man', 'group']
['group', 'world', 'year']
['house', 'school', 'man']
['party', 'part', 'system']
['work', 'company', 'case']
['way', 'year', 'system']
['way', 'information', 'world']
['party', 'system', 'man']
['school', 'work', 'year']
['place', 'school', 'work']
['case', 'end', 'system']
['course', 'life', 'government']
['school', 'system', 'company']
['case', 'work', 'year']
['day', 'case', 'course']
['place', 'end', 'life']
['place', 'work', 'government']
['group', 'work', 'end']
['work', 'group', 'life']
['world', 'work', 'party']
['man', 'day', 'world']
['course', 'year', 'way']
['group', 'house', 'year']
['world', 'place', 'part']
['system', 'house', 'information']
['party', 'system', 'course']
['part', 'work', 'man']
['group', 'fact', 'case']
['information', 'man', 'life']
['way', 'house', 'group']
['man', 'system', 'government']
['government', 'world', 'place']
['government', 'world', 'place']
['world', 'day', 'end']
['life', 'case', 'day']
['company', 'information', 'way']
['world', 'year', 'part']
['information', 'man', 'work']
['case', 'day', 'life']
['house', 'system', 'way']
['man', 'system', 'case']
['fact', 'way', 'place']
['school', 'man', 'information']
['school', 'work', 'place']
['day', 'fact', 'end']
['information', 'man', 'year']
['life', 'house', 'case']
['government', 'system', 'course']
['way', 'man', 'case']
['house', 'information', 'day']
['place', 'year', 'life']
['world', 'end', 'part']
['school', 'information', 'part']
['government', 'company', 'year']
['life', 'system', 'year']
['day', 'school', 'work']
['house', 'day', 'information']
['part', 'man', 'work']
['school', 'party', 'system']
['party', 'system', 'company']
['life', 'day', 'party']
['day', 'course', 'life']
['man', 'year', 'end']
['fact', 'day', 'system']
['fact', 'information', 'company']
['group', 'house', 'course']
['company', 'end', 'group']
['part', 'party', 'work']
['man', 'day', 'information']
['man', 'fact', 'part']
['world', 'way', 'man']
['course', 'house', 'case']
['school', 'fact', 'information']
['year', 'place', 'world']
['government', 'party', 'work']
['life', 'government', 'place']
['work', 'man', 'case']
['fact', 'world', 'group']
['place', 'government', 'life']
['world', 'day', 'system']
['case', 'place', 'party']
['year', 'house', 'government']
['life', 'work', 'man']
