['government', 'end', 'system']
['group', 'party', 'case']
['information', 'system', 'way']
['work', 'case', 'government']
['information', 'course', 'group']
['place', 'life', 'end']
['fact', 'company', 'day']
['government', 'way', 'school']
['man', 'world', 'fact']
['government', 'world', 'company']
['place', 'way', 'system']
['life', 'course', 'group']
['government', 'day', 'school']
['end', 'government', 'party']
['government', 'day', 'information']
['case', 'man', 'course']
['work', 'course', 'way']
['year', 'day', 'house']
['part', 'school', 'group']
['information', 'case', 'school']
['house', 'day', 'way']
['day', 'system', 'information']
['day', 'work', 'fact']
['part', 'case', 'group']
['system', 'man', 'end']
['end', 'man', 'government']
['end', 'way', 'case']
['party', 'group', 'fact']
['man', 'year', 'group']
['case', 'day', 'system']
['way', 'end', 'party']
['place', 'work', 'part']
['group', 'government', 'fact']
['world', 'system', 'life']
['house', 'party', 'case']
['place', 'day', 'case']
['group', 'course', 'man']
['case', 'fact', 'course']
['company', 'information', 'party']
['course', 'way', 'case']
['part', 'information', 'company']
['part', 'company', 'work']
['course', 'party', 'fact']
['party', 'company', 'case']
['group', 'school', 'part']
['school', 'day', 'fact']
['course', 'place', 'school']
['fact', 'way', 'world']
['group', 'course', 'information']
['man', 'company', 'world']
['group', 'party', 'government']
['course', 'party', 'place']
['course', 'part', 'company']
['life', 'man', 'school']
['end', 'course', 'place']
['end', 'company', 'information']
['day', 'fact', 'part']
['world', 'government', 'fact']
['group', 'part', 'world']
['life', 'year', 'world']
['place', 'part', 'company']
['information', 'place', 'party']
['work', 'man', 'place']
['company', 'case', 'year']
['place', 'man', 'company']
['party', 'man', 'course']
['company', 'work', 'day']
['case', 'fact', 'work']
['course', 'company', 'case']
['place', 'work', 'company']
['information', 'place', 'party']
['fact', 'work', 'course']
['year', 'government', 'day']
['school', 'group', 'life']
['work', 'house', 'case']
['way', 'year', 'house']
['government', 'man', 'world']
['course', 'party', 'world']
['case', 'party', 'course']
['system', 'man', 'house']
['house', 'man', 'day']
['party', 'way', 'end']
['life', 'world', 'group']
['school', 'information', 'system']
['day', 'government', 'man']
['course', 'part', 'year']
['way', 'fact', 'place']
['course', 'place', 'school']
['system', 'part', 'year']
['way', 'party', 'life']
['party', 'year', 'information']
['course', 'work', 'house']
['work', 'system', 'fact']
['work', 'government', 'life']
['course', 'work', 'part']
['day', 'system', 'fact']
['world', 'work', 'man']
['end', 'place', 'party']
['end', 'part', 'case']
['government', 'house', 'life']
