['end', 'information', 'school']
['way', 'system', 'school']
['end', 'course', 'school']
['fact', 'government', 'life']
['information', 'end', 'life']
['day', 'school', 'work']
['system', 'government', 'world']
['man', 'school', 'government']
['work', 'system', 'school']
['school', 'end', 'case']
['place', 'man', 'course']
['case', 'year', 'government']
['case', 'place', 'part']
['system', 'world', 'life']
['world', 'government', 'day']
['case', 'company', 'world']
['life', 'party', 'course']
['information', 'house', 'year']
['part', 'life', 'case']
['group', 'year', 'day']
['course', 'fact', 'information']
['system', 'world', 'life']
['school', 'company', 'work']
['end', 'system', 'year']
['part', 'work', 'course']
['day', 'case', 'fact']
['school', 'fact', 'group']
['way', 'school', 'end']
['fact', 'end', 'man']
['fact', 'company', 'party']
['day', 'place', 'part']
['day', 'information', 'company']
['house', 'work', 'fact']
['government', 'school', 'course']
['school', 'end', 'world']
['house', 'world', 'fact']
['year', 'work', 'school']
['information', 'year', 'world']
['part', 'end', 'place']
['course', 'party', 'world']
['party', 'case', 'information']
['work', 'life', 'way']
['party', 'work', 'house']
['party', 'course', 'man']
['work', 'world', 'information']
['system', 'house', 'government']
['man', 'end', 'group']
['party', 'world', 'man']
['house', 'government', 'day']
['information', 'work', 'system']
['work', 'school', 'world']
['place', 'information', 'part']
['company', 'work', 'way']
['end', 'place', 'work']
['life', 'world', 'place']
['life', 'fact', 'government']
['party', 'government', 'part']
['world', 'government', 'school']
['end', 'man', 'case']
['place', 'house', 'course']
['way', 'place', 'course']
['life', 'way', 'part']
['information', 'case', 'group']
['part', 'work', 'government']
['work', 'place', 'house']
['part', 'school', 'fact']
['group', 'government', 'fact']
['place', 'school', 'day']
['work', 'end', 'school']
['house', 'place', 'work']
['course', 'work', 'world']
['fact', 'day', 'way']
['fact', 'year', 'case']
['group', 'course', 'government']
['world', 'house', 'government']
['company', 'system', 'information']
['party', 'way', 'system']
['work', 'school', 'day']
['fact', 'company', 'work']
['place', 'school', 'work']
['world', 'party', 'house']
['information', 'case', 'course']
['house', 'government', 'part']
['work', 'course', 'group']
['end', 'world', 'case']
['house', 'day', 'work']
['government', 'fact', 'world']
['life', 'place', 'day']
['part', 'world', 'man']
['part', 'school', 'way']
['man', 'course', 'school']
['world', 'work', 'information']
['government', 'case', 'fact']
['day', 'world', 'life']
['school', 'house', 'government']
['life', 'school', 'case']
['life', 'case', 'group']
['school', 'group', 'place']
