['part', 'system', 'group']
['man', 'place', 'fact']
['case', 'way', 'system']
['way', 'house', 'system']
['place', 'school', 'life']
['work', 'school', 'day']
['man', 'government', 'system']
['work', 'system', 'part']
['government', 'day', 'house']
['school', 'man', 'group']
['company', 'life', 'party']
['school', 'group', 'day']
['life', 'school', 'end']
['man', 'fact', 'party']
['party', 'fact', 'system']
['group', 'school', 'case']
['way', 'life', 'company']
['work', 'school', 'government']
['course', 'end', 'party']
['world', 'government', 'place']
['school', 'world', 'year']
['place', 'government', 'work']
['end', 'house', 'fact']
['work', 'party', 'information']
['information', 'school', 'company']
['life', 'day', 'school']
['life', 'fact', 'school']
['day', 'year', 'part']
['work', 'house', 'place']
['information', 'world', 'system']
['way', 'day', 'place']
['world', 'government', 'school']
['day', 'man', 'work']
['day', 'party', 'case']
['party', 'course', 'way']
['part', 'group', 'place']
['government', 'party', 'work']
['end', 'system', 'life']
['way', 'end', 'case']
['government', 'end', 'school']
['place', 'house', 'world']
['year', 'work', 'place']
['course', 'government', 'group']
['party', 'end', 'house']
['year', 'end', 'man']
['man', 'house', 'case']
['house', 'place', 'government']
['school', 'course', 'man']
['life', 'part', 'course']
['part', 'company', 'case']
['case', 'part', 'life']
['work', 'school', 'system']
['system', 'year', 'way']
['year', 'school', 'party']
['work', 'part', 'case']
['course', 'government', 'day']
['way', 'day', 'work']
['way', 'fact', 'government']
['world', 'life', 'way']
['part', 'year', 'party']
['work', 'company', 'world']
['company', 'day', 'end']
['way', 'government', 'group']
['life', 'year', 'group']
['world', 'place', 'life']
['fact', 'day', 'school']
['house', 'information', 'case']
['year', 'course', 'government']
['house', 'day', 'case']
['fact', 'school', 'company']
['case', 'government', 'group']
['year', 'company', 'life']
['information', 'case', 'system']
['company', 'year', 'party']
['life', 'part', 'work']
['day', 'place', 'group']
['course', 'school', 'end']
['day', 'way', 'fact']
['information', 'man', 'party']
['company', 'end', 'life']
['house', 'day', 'world']
['course', 'work', 'school']
['house', 'year', 'system']
['group', 'part', 'government']
['man', 'case', 'government']
['fact', 'year', 'man']
['course', 'party', 'group']
['day', 'world', 'system']
['life', 'way', 'party']
['course', 'part', 'company']
['man', 'year', 'case']
['course', 'system', 'place']
['company', 'information', 'end']
['group', 'system', 'way']
['party', 'company', 'government']
['course', 'day', 'group']
['day', 'work', 'system']
['place', 'life', 'day']
['day', 'life', 'year']
['year', 'man', 'place']
