['life', 'world', 'end', 'place', 'school']
['fact', 'information', 'man', 'house', 'year']
['school', 'group', 'place', 'year', 'case']
['course', 'life', 'part', 'day', 'house']
['day', 'year', 'way', 'system', 'work']
['place', 'world', 'life', 'end', 'information']
['house', 'course', 'information', 'world', 'man']
['part', 'world', 'house', 'case', 'information']
['man', 'system', 'house', 'information', 'course']
['government', 'system', 'man', 'day', 'work']
['house', 'end', 'day', 'case', 'fact']
['information', 'man', 'house', 'school', 'part']
['course', 'house', 'information', 'way', 'place']
['end', 'world', 'way', 'day', 'group']
['end', 'fact', 'system', 'course', 'day']
['government', 'place', 'system', 'life', 'end']
['end', 'work', 'government', 'system', 'information']
['company', 'day', 'house', 'man', 'way']
['information', 'life', 'place', 'fact', 'part']
['house', 'way', 'place', 'world', 'life']
['man', 'school', 'government', 'way', 'year']
['information', 'way', 'man', 'school', 'day']
['way', 'course', 'life', 'end', 'government']
['place', 'life', 'year', 'group', 'company']
['day', 'school', 'course', 'end', 'fact']
['system', 'life', 'school', 'house', 'course']
['case', 'life', 'system', 'course', 'fact']
['place', 'system', 'work', 'way', 'company']
['course', 'way', 'day', 'system', 'fact']
['case', 'company', 'information', 'fact', 'group']
['fact', 'government', 'company', 'life', 'course']
['course', 'part', 'fact', 'way', 'house']
['party', 'course', 'year', 'way', 'end']
['part', 'man', 'party', 'government', 'company']
['case', 'end', 'group', 'life', 'government']
['government', 'case', 'information', 'day', 'work']
['course', 'work', 'day', 'end', 'house']
['house', 'day', 'course', 'case', 'work']
['system', 'information', 'way', 'place', 'part']
['place', 'party', 'year', 'case', 'part']
['fact', 'case', 'house', 'information', 'year']
['case', 'way', 'group', 'house', 'place']
['end', 'group', 'day', 'case', 'place']
['case', 'group', 'day', 'company', 'life']
['house', 'way', 'information', 'world', 'course']
['fact', 'work', 'school', 'part', 'life']
['part', 'world', 'work', 'end', 'way']
['course', 'party', 'fact', 'group', 'company']
['work', 'information', 'school', 'part', 'world']
['end', 'school', 'day', 'fact', 'man']
['part', 'system', 'world', 'day', 'group']
['government', 'day', 'party', 'information', 'system']
['day', 'year', 'information', 'world', 'system']
['information', 'government', 'school', 'year', 'way']
['information', 'company', 'system', 'group', 'part']
['group', 'party', 'man', 'company', 'way']
['group', 'work', 'company', 'day', 'man']
['course', 'man', 'company', 'case', 'world']
['group', 'information', 'government', 'place', 'case']
['company', 'group', 'system', 'work', 'year']
['work', 'information', 'life', 'case', 'end']
['world', 'man', 'place', 'house', 'school']
['world', 'party', 'way', 'system', 'part']
['work', 'party', 'part', 'house', 'school']
['place', 'information', 'work', 'course', 'day']
['system', 'house', 'school', 'course', 'party']
['government', 'world', 'course', 'work', 'information']
['group', 'work', 'case', 'man', 'course']
['part', 'school', 'case', 'day', 'way']
['information', 'year', 'group', 'world', 'part']
['end', 'information', 'year', 'day', 'part']
['government', 'man', 'case', 'place', 'school']
['day', 'party', 'part', 'system', 'house']
['company', 'way', 'man', 'system', 'work']
['place', 'fact', 'group', 'house', 'information']
['fact', 'school', 'place', 'group', 'information']
['man', 'party', 'system', 'company', 'year']
['day', 'group', 'year', 'end', 'work']
['school', 'company', 'party', 'end', 'part']
['government', 'system', 'house', 'year', 'course']
['work', 'information', 'part', 'way', 'case']
['course', 'way', 'school', 'case', 'man']
['part', 'life', 'world', 'course', 'system']
['year', 'house', 'government', 'group', 'school']
['way', 'government', 'group', 'place', 'case']
['work', 'house', 'world', 'information', 'way']
['system', 'company', 'way', 'end', 'work']
['world', 'house', 'part', 'place', 'fact']
['party', 'world', 'course', 'case', 'government']
['year', 'information', 'place', 'world', 'system']
['case', 'year', 'system', 'company', 'government']
['system', 'case', 'world', 'group', 'place']
['year', 'party', 'end', 'system', 'place']
['course', 'end', 'school', 'day', 'life']
['party', 'work', 'group', 'house', 'school']
['life', 'man', 'world', 'case', 'party']
['group', 'course', 'company', 'way', 'system']
['day', 'year', 'life', 'man', 'way']
['day', 'life', 'school', 'company', 'case']
['school', 'world', 'end', 'party', 'work']
