['fact', 'work', 'part', 'man', 'world']
['course', 'day', 'end', 'man', 'information']
['school', 'course', 'place', 'house', 'man']
['government', 'place', 'work', 'fact', 'case']
['group', 'information', 'work', 'world', 'fact']
['day', 'party', 'work', 'case', 'end']
['group', 'life', 'year', 'school', 'house']
['place', 'company', 'house', 'part', 'course']
['way', 'day', 'information', 'end', 'case']
['information', 'day', 'end', 'house', 'world']
['fact', 'house', 'man', 'course', 'part']
['company', 'life', 'work', 'group', 'world']
['information', 'work', 'year', 'fact', 'system']
['year', 'way', 'company', 'government', 'place']
['end', 'course', 'case', 'way', 'information']
['school', 'party', 'system', 'case', 'part']
['system', 'man', 'end', 'place', 'information']
['end', 'school', 'work', 'man', 'life']
['work', 'place', 'school', 'case', 'course']
['day', 'information', 'school', 'part', 'life']
['day', 'information', 'system', 'school', 'life']
['course', 'fact', 'school', 'life', 'man']
['company', 'year', 'party', 'way', 'system']
['place', 'end', 'house', 'day', 'school']
['party', 'system', 'information', 'world', 'end']
['place', 'day', 'course', 'man', 'group']
['work', 'house', 'government', 'end', 'system']
['way', 'year', 'work', 'party', 'fact']
['company', 'system', 'part', 'course', 'party']
['part', 'government', 'end', 'work', 'fact']
['house', 'party', 'school', 'end', 'company']
['year', 'day', 'system', 'fact', 'life']
['group', 'house', 'work', 'end', 'party']
['fact', 'man', 'school', 'group', 'end']
['company', 'system', 'case', 'government', 'work']
['day', 'year', 'system', 'course', 'way']
['work', 'world', 'life', 'system', 'government']
['information', 'work', 'end', 'fact', 'year']
['way', 'end', 'house', 'life', 'fact']
['group', 'government', 'course', 'man', 'end']
['company', 'end', 'party', 'work', 'government']
['work', 'fact', 'house', 'course', 'part']
['man', 'information', 'world', 'day', 'company']
['way', 'part', 'work', 'life', 'system']
['part', 'government', 'day', 'fact', 'life']
['course', 'way', 'government', 'man', 'case']
['day', 'part', 'party', 'work', 'end']
['world', 'group', 'part', 'information', 'company']
['place', 'group', 'life', 'fact', 'end']
['part', 'place', 'government', 'man', 'end']
['course', 'group', 'school', 'life', 'world']
['way', 'government', 'information', 'group', 'fact']
['work', 'case', 'man', 'party', 'school']
['course', 'day', 'government', 'group', 'man']
['party', 'work', 'year', 'information', 'group']
['party', 'school', 'man', 'way', 'government']
['world', 'work', 'company', 'information', 'day']
['group', 'work', 'end', 'year', 'place']
['year', 'course', 'day', 'group', 'government']
['party', 'life', 'course', 'case', 'house']
['party', 'system', 'end', 'fact', 'part']
['company', 'man', 'year', 'world', 'fact']
['way', 'life', 'work', 'world', 'government']
['company', 'system', 'day', 'government', 'end']
['end', 'way', 'world', 'course', 'work']
['year', 'end', 'system', 'party', 'course']
['fact', 'work', 'house', 'year', 'case']
['information', 'group', 'year', 'school', 'part']
['company', 'work', 'information', 'part', 'life']
['information', 'company', 'year', 'house', 'place']
['school', 'group', 'government', 'life', 'case']
['course', 'place', 'school', 'life', 'case']
['place', 'man', 'information', 'life', 'group']
['group', 'world', 'school', 'course', 'man']
['part', 'world', 'government', 'course', 'life']
['course', 'party', 'end', 'man', 'part']
['world', 'life', 'government', 'information', 'year']
['end', 'house', 'school', 'life', 'case']
['house', 'party', 'life', 'world', 'day']
['work', 'world', 'house', 'government', 'day']
['end', 'life', 'course', 'house', 'case']
['place', 'man', 'case', 'world', 'house']
['case', 'place', 'day', 'information', 'way']
['group', 'system', 'house', 'world', 'part']
['way', 'work', 'fact', 'day', 'house']
['way', 'school', 'year', 'course', 'work']
['school', 'fact', 'man', 'year', 'course']
['case', 'place', 'course', 'man', 'government']
['day', 'way', 'group', 'company', 'course']
['day', 'company', 'party', 'fact', 'government']
['company', 'government', 'case', 'information', 'work']
['information', 'world', 'course', 'year', 'life']
['information', 'place', 'work', 'course', 'house']
['school', 'case', 'fact', 'year', 'information']
['day', 'information', 'place', 'school', 'work']
['course', 'house', 'fact', 'school', 'end']
['information', 'system', 'group', 'end', 'year']
['year', 'work', 'course', 'company', 'man']
['government', 'year', 'man', 'group', 'fact']
