['life', 'government', 'case', 'house', 'information']
['end', 'world', 'part', 'government', 'system']
['case', 'work', 'day', 'house', 'company']
['work', 'world', 'fact', 'party', 'company']
['end', 'course', 'world', 'day', 'year']
['world', 'place', 'group', 'year', 'information']
['party', 'case', 'end', 'fact', 'information']
['system', 'life', 'man', 'party', 'group']
['government', 'school', 'party', 'case', 'fact']
['information', 'world', 'government', 'group', 'life']
['fact', 'company', 'work', 'system', 'house']
['school', 'man', 'life', 'case', 'work']
['man', 'place', 'company', 'fact', 'way']
['fact', 'life', 'government', 'information', 'end']
['system', 'year', 'company', 'man', 'place']
['system', 'world', 'man', 'part', 'case']
['system', 'party', 'world', 'company', 'work']
['company', 'day', 'case', 'place', 'fact']
['man', 'work', 'group', 'year', 'system']
['course', 'case', 'group', 'day', 'party']
['case', 'school', 'system', 'place', 'information']
['end', 'way', 'place', 'group', 'company']
['group', 'year', 'information', 'school', 'course']
['government', 'company', 'way', 'man', 'fact']
['house', 'work', 'school', 'case', 'information']
['information', 'way', 'end', 'system', 'year']
['world', 'day', 'company', 'way', 'information']
['work', 'information', 'day', 'year', 'end']
['system', 'government', 'work', 'place', 'end']
['course', 'fact', 'year', 'system', 'party']
['fact', 'work', 'year', 'part', 'government']
['house', 'school', 'way', 'party', 'company']
['life', 'work', 'group', 'place', 'part']
['company', 'party', 'course', 'life', 'day']
['party', 'work', 'fact', 'place', 'school']
['man', 'day', 'party', 'world', 'year']
['way', 'man', 'year', 'school', 'life']
['fact', 'year', 'company', 'world', 'part']
['day', 'group', 'school', 'year', 'man']
['company', 'house', 'man', 'life', 'way']
['information', 'year', 'school', 'world', 'work']
['party', 'end', 'year', 'work', 'world']
['work', 'party', 'man', 'part', 'group']
['course', 'part', 'man', 'government', 'day']
['school', 'party', 'day', 'information', 'man']
['company', 'information', 'life', 'year', 'group']
['day', 'school', 'world', 'house', 'life']
['part', 'house', 'fact', 'information', 'place']
['way', 'school', 'work', 'party', 'government']
['house', 'part', 'work', 'information', 'place']
['group', 'end', 'company', 'day', 'party']
['group', 'life', 'government', 'house', 'course']
['work', 'government', 'school', 'world', 'group']
['party', 'house', 'school', 'end', 'course']
['government', 'group', 'party', 'man', 'work']
['case', 'house', 'work', 'group', 'fact']
['year', 'world', 'group', 'way', 'part']
['information', 'place', 'school', 'group', 'world']
['group', 'information', 'school', 'part', 'party']
['world', 'day', 'government', 'year', 'end']
['case', 'place', 'year', 'company', 'group']
['house', 'place', 'system', 'government', 'fact']
['day', 'school', 'work', 'house', 'party']
['fact', 'world', 'course', 'way', 'man']
['part', 'course', 'system', 'case', 'school']
['man', 'work', 'information', 'way', 'part']
['company', 'part', 'year', 'case', 'work']
['information', 'party', 'group', 'system', 'life']
['party', 'year', 'world', 'day', 'group']
['part', 'group', 'life', 'house', 'man']
['place', 'year', 'information', 'course', 'work']
['house', 'part', 'school', 'group', 'party']
['government', 'end', 'information', 'man', 'work']
['party', 'end', 'course', 'way', 'place']
['way', 'course', 'place', 'end', 'fact']
['place', 'day', 'way', 'year', 'world']
['government', 'system', 'end', 'world', 'party']
['work', 'government', 'end', 'part', 'man']
['group', 'place', 'life', 'work', 'year']
['work', 'place', 'man', 'course', 'way']
['fact', 'world', 'life', 'case', 'government']
['government', 'party', 'fact', 'work', 'system']
['way', 'life', 'system', 'course', 'man']
['information', 'company', 'government', 'school', 'life']
['day', 'party', 'company', 'course', 'information']
['party', 'company', 'fact', 'work', 'case']
['day', 'work', 'group', 'house', 'case']
['day', 'house', 'course', 'man', 'way']
['course', 'year', 'fact', 'work', 'information']
['system', 'government', 'work', 'party', 'day']
['world', 'school', 'case', 'part', 'course']
['world', 'end', 'life', 'company', 'party']
['year', 'work', 'part', 'case', 'school']
['man', 'system', 'fact', 'life', 'day']
['place', 'system', 'information', 'fact', 'work']
['end', 'information', 'work', 'part', 'school']
['house', 'group', 'party', 'man', 'way']
['information', 'company', 'house', 'work', 'way']
['party', 'company', 'end', 'system', 'day']
['company', 'year', 'house', 'information', 'life']
