['government', 'case', 'year', 'man', 'place']
['group', 'man', 'house', 'school', 'way']
['man', 'house', 'group', 'day', 'part']
['work', 'information', 'man', 'case', 'government']
['house', 'end', 'company', 'fact', 'group']
['group', 'end', 'work', 'information', 'way']
['fact', 'end', 'party', 'course', 'world']
['way', 'life', 'information', 'system', 'party']
['year', 'course', 'end', 'part', 'day']
['fact', 'case', 'place', 'company', 'work']
['party', 'year', 'group', 'part', 'system']
['system', 'end', 'information', 'case', 'year']
['house', 'man', 'end', 'system', 'government']
['house', 'company', 'world', 'system', 'part']
['part', 'life', 'company', 'end', 'fact']
['house', 'work', 'government', 'case', 'world']
['work', 'world', 'man', 'year', 'place']
['information', 'place', 'house', 'school', 'company']
['year', 'end', 'government', 'work', 'world']
['government', 'year', 'party', 'group', 'fact']
['case', 'day', 'life', 'place', 'government']
['place', 'system', 'life', 'house', 'year']
['course', 'place', 'life', 'information', 'way']
['house', 'day', 'place', 'party', 'end']
['house', 'group', 'world', 'government', 'life']
['end', 'day', 'man', 'case', 'world']
['course', 'government', 'system', 'way', 'place']
['company', 'course', 'day', 'house', 'fact']
['way', 'case', 'year', 'government', 'life']
['course', 'information', 'government', 'part', 'group']
['group', 'system', 'world', 'place', 'company']
['case', 'way', 'group', 'course', 'information']
['world', 'life', 'government', 'house', 'party']
['part', 'party', 'year', 'way', 'house']
['place', 'day', 'man', 'case', 'part']
['end', 'life', 'house', 'work', 'case']
['fact', 'day', 'way', 'year', 'information']
['group', 'fact', 'house', 'world', 'life']
['work', 'part', 'information', 'way', 'group']
['work', 'house', 'information', 'school', 'fact']
['man', 'government', 'case', 'house', 'group']
['course', 'system', 'man', 'life', 'world']
['part', 'group', 'company', 'way', 'party']
['school', 'fact', 'system', 'course', 'world']
['system', 'fact', 'year', 'day', 'company']
['part', 'case', 'government', 'group', 'school']
['case', 'information', 'group', 'party', 'school']
['work', 'year', 'course', 'house', 'part']
['life', 'course', 'house', 'world', 'system']
['part', 'year', 'work', 'house', 'man']
['system', 'fact', 'company', 'school', 'world']
['life', 'man', 'year', 'group', 'information']
['party', 'work', 'day', 'world', 'system']
['government', 'place', 'year', 'case', 'school']
['work', 'course', 'case', 'way', 'house']
['part', 'life', 'place', 'world', 'house']
['school', 'way', 'government', 'man', 'course']
['system', 'way', 'company', 'course', 'group']
['government', 'end', 'house', 'man', 'system']
['case', 'day', 'fact', 'information', 'world']
['man', 'way', 'system', 'company', 'course']
['group', 'school', 'house', 'government', 'system']
['part', 'work', 'company', 'government', 'case']
['year', 'fact', 'house', 'party', 'company']
['part', 'man', 'party', 'life', 'company']
['world', 'school', 'place', 'group', 'house']
['work', 'case', 'man', 'house', 'company']
['man', 'school', 'year', 'way', 'information']
['place', 'house', 'government', 'year', 'part']
['system', 'end', 'party', 'school', 'man']
['life', 'day', 'year', 'school', 'party']
['work', 'system', 'party', 'case', 'way']
['course', 'information', 'system', 'end', 'day']
['case', 'way', 'work', 'year', 'world']
['world', 'school', 'end', 'year', 'day']
['case', 'course', 'man', 'day', 'house']
['house', 'system', 'world', 'course', 'information']
['case', 'part', 'day', 'group', 'company']
['house', 'man', 'year', 'government', 'system']
['year', 'place', 'house', 'government', 'case']
['system', 'information', 'place', 'day', 'man']
['information', 'part', 'company', 'case', 'place']
['end', 'fact', 'information', 'part', 'day']
['party', 'course', 'end', 'government', 'way']
['part', 'man', 'end', 'way', 'case']
['school', 'group', 'end', 'information', 'case']
['fact', 'part', 'system', 'house', 'day']
['year', 'party', 'fact', 'day', 'system']
['year', 'part', 'group', 'life', 'fact']
['work', 'company', 'place', 'fact', 'man']
['part', 'group', 'case', 'government', 'end']
['year', 'party', 'case', 'information', 'government']
['group', 'party', 'part', 'fact', 'course']
['school', 'work', 'part', 'year', 'man']
['end', 'system', 'school', 'information', 'year']
['fact', 'information', 'man', 'way', 'government']
['man', 'work', 'school', 'party', 'life']
['government', 'course', 'part', 'fact', 'case']
['group', 'school', 'company', 'information', 'end']
['case', 'place', 'man', 'year', 'house']
