['end', 'day', 'place', 'school', 'company']
['government', 'party', 'course', 'way', 'end']
['world', 'life', 'company', 'course', 'year']
['man', 'day', 'work', 'information', 'end']
['life', 'school', 'case', 'world', 'end']
['part', 'work', 'end', 'course', 'government']
['man', 'work', 'world', 'year', 'day']
['system', 'party', 'world', 'information', 'year']
['man', 'system', 'fact', 'party', 'information']
['part', 'case', 'course', 'system', 'place']
['day', 'place', 'world', 'course', 'man']
['school', 'case', 'place', 'way', 'system']
['case', 'school', 'work', 'fact', 'company']
['place', 'world', 'school', 'year', 'work']
['part', 'day', 'work', 'fact', 'information']
['information', 'work', 'group', 'house', 'man']
['group', 'course', 'information', 'day', 'way']
['company', 'group', 'government', 'work', 'end']
['way', 'place', 'school', 'system', 'government']
['end', 'case', 'system', 'place', 'part']
['group', 'year', 'system', 'way', 'life']
['party', 'way', 'life', 'end', 'group']
['way', 'government', 'company', 'course', 'school']
['end', 'part', 'course', 'party', 'world']
['way', 'system', 'case', 'work', 'end']
['life', 'end', 'way', 'world', 'party']
['school', 'party', 'case', 'system', 'man']
['day', 'information', 'part', 'case', 'system']
['information', 'way', 'day', 'course', 'year']
['place', 'end', 'part', 'way', 'work']
['case', 'end', 'part', 'work', 'school']
['fact', 'day', 'company', 'end', 'place']
['man', 'part', 'school', 'company', 'world']
['place', 'course', 'way', 'case', 'year']
['fact', 'company', 'course', 'day', 'world']
['party', 'group', 'world', 'life', 'course']
['school', 'government', 'work', 'part', 'man']
['course', 'end', 'house', 'information', 'work']
['house', 'group', 'company', 'year', 'school']
['party', 'case', 'course', 'information', 'group']
['end', 'system', 'year', 'work', 'company']
['way', 'school', 'world', 'information', 'work']
['man', 'way', 'government', 'information', 'end']
['course', 'case', 'end', 'world', 'man']
['fact', 'group', 'place', 'company', 'case']
['house', 'group', 'life', 'end', 'part']
['place', 'year', 'day', 'government', 'life']
['fact', 'work', 'group', 'year', 'course']
['work', 'year', 'way', 'fact', 'government']
['place', 'life', 'way', 'man', 'year']
['group', 'party', 'world', 'life', 'course']
['part', 'place', 'man', 'work', 'group']
['work', 'party', 'man', 'company', 'world']
['work', 'case', 'government', 'day', 'course']
['world', 'year', 'house', 'fact', 'way']
['year', 'information', 'course', 'case', 'place']
['school', 'year', 'course', 'end', 'place']
['system', 'year', 'man', 'company', 'life']
['year', 'course', 'work', 'house', 'man']
['man', 'way', 'information', 'place', 'year']
['end', 'part', 'school', 'way', 'case']
['fact', 'school', 'way', 'government', 'place']
['fact', 'part', 'life', 'place', 'work']
['life', 'company', 'case', 'fact', 'day']
['government', 'course', 'information', 'work', 'house']
['world', 'fact', 'house', 'place', 'way']
['government', 'fact', 'world', 'school', 'way']
['year', 'group', 'way', 'work', 'man']
['case', 'place', 'year', 'system', 'part']
['fact', 'case', 'way', 'system', 'party']
['school', 'year', 'group', 'government', 'way']
['end', 'day', 'house', 'school', 'part']
['course', 'company', 'school', 'life', 'group']
['information', 'part', 'world', 'system', 'work']
['information', 'year', 'way', 'work', 'man']
['man', 'school', 'house', 'world', 'company']
['world', 'day', 'course', 'man', 'fact']
['day', 'work', 'end', 'case', 'school']
['place', 'case', 'part', 'fact', 'company']
['company', 'work', 'way', 'house', 'part']
['day', 'government', 'fact', 'work', 'school']
['information', 'party', 'year', 'work', 'life']
['fact', 'group', 'day', 'end', 'man']
['year', 'information', 'school', 'case', 'day']
['party', 'fact', 'world', 'end', 'work']
['day', 'course', 'system', 'place', 'government']
['school', 'information', 'work', 'group', 'fact']
['system', 'information', 'work', 'house', 'course']
['life', 'system', 'year', 'group', 'company']
['company', 'year', 'case', 'part', 'man']
['system', 'life', 'case', 'course', 'place']
['house', 'year', 'case', 'day', 'course']
['information', 'end', 'government', 'man', 'part']
['day', 'party', 'case', 'year', 'way']
['world', 'man', 'group', 'system', 'government']
['party', 'government', 'course', 'house', 'life']
['information', 'group', 'world', 'man', 'work']
['government', 'course', 'man', 'way', 'part']
['work', 'school', 'way', 'life', 'fact']
['group', 'information', 'house', 'end', 'man']
