['house', 'school', 'group', 'part', 'case']
['case', 'part', 'life', 'work', 'government']
['end', 'place', 'man', 'house', 'party']
['place', 'case', 'information', 'year', 'work']
['place', 'case', 'part', 'group', 'man']
['way', 'fact', 'place', 'information', 'world']
['world', 'group', 'company', 'information', 'life']
['way', 'work', 'government', 'case', 'fact']
['case', 'house', 'government', 'part', 'world']
['government', 'place', 'information', 'year', 'house']
['school', 'group', 'world', 'fact', 'part']
['year', 'day', 'case', 'fact', 'system']
['life', 'group', 'fact', 'school', 'man']
['course', 'school', 'fact', 'system', 'information']
['part', 'information', 'case', 'life', 'work']
['end', 'place', 'school', 'fact', 'life']
['case', 'house', 'group', 'fact', 'year']
['world', 'place', 'way', 'year', 'course']
['group', 'company', 'party', 'part', 'world']
['house', 'part', 'company', 'life', 'fact']
['work', 'place', 'life', 'group', 'fact']
['party', 'company', 'information', 'case', 'day']
['party', 'place', 'government', 'course', 'world']
['house', 'fact', 'work', 'government', 'place']
['end', 'work', 'life', 'year', 'party']
['government', 'way', 'place', 'system', 'case']
['system', 'place', 'party', 'year', 'company']
['life', 'world', 'party', 'year', 'way']
['way', 'course', 'place', 'day', 'house']
['school', 'end', 'year', 'system', 'work']
['house', 'group', 'system', 'work', 'case']
['way', 'group', 'case', 'part', 'system']
['day', 'world', 'life', 'work', 'house']
['life', 'fact', 'government', 'information', 'man']
['house', 'life', 'course', 'company', 'group']
['life', 'company', 'case', 'year', 'group']
['party', 'day', 'school', 'year', 'part']
['work', 'world', 'end', 'house', 'way']
['place', 'fact', 'government', 'school', 'course']
['day', 'life', 'year', 'house', 'group']
['company', 'place', 'system', 'work', 'part']
['case', 'work', 'fact', 'end', 'part']
['school', 'day', 'system', 'information', 'group']
['company', 'place', 'work', 'life', 'case']
['party', 'part', 'year', 'way', 'case']
['government', 'life', 'school', 'company', 'fact']
['year', 'system', 'life', 'course', 'case']
['case', 'year', 'school', 'company', 'government']
['life', 'world', 'way', 'government', 'group']
['system', 'way', 'house', 'group', 'school']
['company', 'course', 'place', 'end', 'group']
['day', 'party', 'house', 'information', 'work']
['life', 'party', 'end', 'school', 'case']
['place', 'system', 'work', 'way', 'government']
['life', 'government', 'work', 'day', 'place']
['life', 'company', 'school', 'group', 'world']
['place', 'day', 'school', 'case', 'end']
['day', 'life', 'case', 'government', 'work']
['world', 'end', 'case', 'house', 'course']
['course', 'way', 'place', 'house', 'information']
['course', 'work', 'government', 'information', 'man']
['life', 'company', 'man', 'school', 'year']
['day', 'group', 'information', 'house', 'school']
['fact', 'company', 'place', 'course', 'system']
['system', 'day', 'part', 'group', 'world']
['course', 'way', 'place', 'system', 'case']
['way', 'year', 'party', 'life', 'world']
['school', 'government', 'group', 'fact', 'man']
['way', 'part', 'work', 'life', 'man']
['place', 'government', 'world', 'life', 'course']
['house', 'place', 'end', 'party', 'group']
['group', 'man', 'day', 'house', 'case']
['course', 'school', 'work', 'house', 'part']
['house', 'day', 'group', 'part', 'course']
['life', 'system', 'party', 'case', 'day']
['world', 'year', 'information', 'group', 'part']
['party', 'school', 'place', 'life', 'world']
['way', 'life', 'case', 'party', 'work']
['year', 'system', 'life', 'place', 'case']
['end', 'man', 'party', 'school', 'group']
['case', 'part', 'system', 'life', 'fact']
['work', 'government', 'year', 'life', 'place']
['life', 'day', 'government', 'way', 'world']
['school', 'man', 'group', 'world', 'company']
['information', 'case', 'day', 'world', 'place']
['place', 'information', 'school', 'company', 'life']
['way', 'man', 'life', 'school', 'course']
['information', 'day', 'year', 'fact', 'system']
['part', 'party', 'company', 'government', 'house']
