['school', 'place', 'life', 'world', 'information', 'house', 'company', 'group']
['year', 'government', 'case', 'school', 'place', 'party', 'house', 'work']
['work', 'group', 'year', 'world', 'day', 'government', 'end', 'system']
['way', 'government', 'case', 'day', 'year', 'school', 'information', 'end']
['government', 'case', 'part', 'life', 'man', 'course', 'company', 'place']
['world', 'life', 'end', 'course', 'man', 'system', 'school', 'part']
['company', 'place', 'system', 'life', 'house', 'end', 'day', 'government']
['world', 'end', 'work', 'information', 'fact', 'school', 'life', 'system']
['fact', 'end', 'course', 'group', 'work', 'school', 'way', 'party']
['fact', 'work', 'government', 'course', 'company', 'place', 'day', 'part']
['part', 'school', 'party', 'man', 'work', 'place', 'course', 'government']
['way', 'man', 'fact', 'company', 'year', 'part', 'world', 'information']
['fact', 'party', 'course', 'information', 'way', 'end', 'world', 'man']
['work', 'school', 'fact', 'way', 'government', 'party', 'world', 'system']
['case', 'work', 'information', 'company', 'system', 'end', 'government', 'life']
['group', 'part', 'party', 'place', 'school', 'government', 'system', 'case']
['house', 'group', 'information', 'way', 'end', 'fact', 'year', 'case']
['system', 'information', 'way', 'case', 'group', 'fact', 'world', 'part']
['year', 'work', 'end', 'group', 'house', 'government', 'part', 'place']
['year', 'man', 'fact', 'information', 'life', 'end', 'house', 'course']
['work', 'fact', 'school', 'man', 'party', 'group', 'world', 'course']
['government', 'house', 'way', 'end', 'school', 'fact', 'work', 'group']
['work', 'life', 'way', 'information', 'place', 'year', 'case', 'government']
['group', 'information', 'government', 'course', 'system', 'fact', 'year', 'case']
['way', 'school', 'life', 'year', 'world', 'house', 'place', 'course']
['house', 'year', 'place', 'party', 'course', 'part', 'end', 'government']
['system', 'school', 'way', 'day', 'man', 'fact', 'world', 'party']
['day', 'end', 'way', 'world', 'group', 'place', 'year', 'school']
['school', 'system', 'part', 'work', 'way', 'course', 'year', 'house']
['way', 'party', 'man', 'government', 'year', 'group', 'life', 'day']
['year', 'case', 'group', 'work', 'system', 'government', 'information', 'day']
['group', 'government', 'fact', 'year', 'world', 'place', 'house', 'company']
['fact', 'year', 'place', 'end', 'life', 'party', 'company', 'day']
['year', 'information', 'company', 'house', 'work', 'government', 'world', 'life']
['company', 'party', 'fact', 'year', 'work', 'man', 'system', 'school']
['year', 'group', 'course', 'way', 'case', 'world', 'house', 'information']
['way', 'life', 'end', 'man', 'course', 'party', 'world', 'school']
['world', 'life', 'case', 'work', 'system', 'fact', 'way', 'course']
['case', 'party', 'place', 'company', 'year', 'end', 'fact', 'information']
['year', 'school', 'place', 'government', 'life', 'company', 'information', 'man']
['case', 'life', 'day', 'year', 'work', 'house', 'company', 'fact']
['day', 'world', 'life', 'government', 'house', 'information', 'case', 'system']
['world', 'group', 'government', 'system', 'life', 'house', 'information', 'course']
['place', 'company', 'life', 'end', 'government', 'house', 'day', 'system']
['case', 'place', 'government', 'fact', 'work', 'part', 'information', 'way']
['house', 'party', 'company', 'day', 'course', 'fact', 'world', 'part']
['government', 'part', 'group', 'course', 'case', 'world', 'man', 'information']
['company', 'school', 'world', 'fact', 'system', 'house', 'way', 'government']
['end', 'world', 'man', 'life', 'part', 'work', 'fact', 'system']
['world', 'fact', 'information', 'man', 'year', 'day', 'part', 'way']
['system', 'information', 'house', 'man', 'fact', 'group', 'life', 'case']
['information', 'fact', 'place', 'company', 'system', 'group', 'course', 'part']
['man', 'way', 'life', 'information', 'fact', 'world', 'system', 'place']
['place', 'world', 'information', 'house', 'school', 'work', 'company', 'day']
['life', 'system', 'party', 'case', 'place', 'day', 'way', 'year']
['case', 'end', 'place', 'life', 'man', 'work', 'party', 'house']
['fact', 'way', 'place', 'school', 'government', 'information', 'system', 'party']
['party', 'company', 'day', 'group', 'place', 'system', 'school', 'end']
['house', 'year', 'part', 'world', 'company', 'group', 'case', 'end']
['man', 'work', 'part', 'group', 'world', 'way', 'case', 'fact']
['life', 'course', 'school', 'year', 'way', 'company', 'group', 'house']
['work', 'school', 'part', 'day', 'party', 'fact', 'house', 'way']
['group', 'case', 'life', 'work', 'place', 'information', 'world', 'course']
['work', 'government', 'house', 'case', 'party', 'man', 'group', 'school']
['company', 'year', 'fact', 'case', 'system', 'life', 'group', 'world']
['course', 'world', 'year', 'way', 'company', 'man', 'school', 'government']
['man', 'fact', 'case', 'company', 'life', 'school', 'information', 'part']
['world', 'company', 'year', 'place', 'man', 'fact', 'system', 'case']
['life', 'company', 'case', 'work', 'man', 'house', 'place', 'system']
['case', 'information', 'group', 'world', 'party', 'end', 'life', 'day']
['end', 'party', 'part', 'group', 'work', 'way', 'system', 'company']
['group', 'information', 'place', 'end', 'man', 'case', 'part', 'fact']
['way', 'government', 'group', 'party', 'information', 'house', 'course', 'man']
['school', 'year', 'world', 'company', 'system', 'way', 'end', 'information']
['end', 'year', 'life', 'house', 'party', 'school', 'government', 'way']
['life', 'party', 'way', 'course', 'fact', 'system', 'case', 'school']
['government', 'information', 'part', 'world', 'place', 'company', 'fact', 'system']
['group', 'fact', 'party', 'case', 'man', 'house', 'system', 'information']
['work', 'man', 'part', 'end', 'course', 'party', 'world', 'system']
['year', 'way', 'man', 'end', 'government', 'world', 'information', 'life']
['life', 'company', 'way', 'school', 'part', 'place', 'course', 'group']
['work', 'case', 'course', 'man', 'world', 'house', 'system', 'information']
['party', 'group', 'fact', 'work', 'system', 'information', 'school', 'company']
['fact', 'government', 'school', 'part', 'year', 'day', 'information', 'course']
['end', 'part', 'fact', 'way', 'system', 'man', 'house', 'life']
['case', 'day', 'way', 'course', 'house', 'school', 'world', 'life']
['government', 'life', 'information', 'work', 'place', 'man', 'case', 'end']
['fact', 'government', 'way', 'system', 'work', 'world', 'school', 'party']
['company', 'world', 'course', 'place', 'way', 'party', 'year', 'case']
['school', 'day', 'case', 'information', 'year', 'end', 'fact', 'group']
['day', 'company', 'life', 'house', 'school', 'group', 'information', 'world']
['year', 'work', 'world', 'company', 'case', 'information', 'system', 'school']
['year', 'house', 'company', 'life', 'place', 'course', 'work', 'case']
['house', 'course', 'end', 'world', 'case', 'life', 'information', 'year']
['house', 'course', 'school', 'system', 'world', 'part', 'man', 'information']
['case', 'information', 'government', 'way', 'day', 'house', 'life', 'world']
['house', 'part', 'man', 'fact', 'school', 'information', 'group', 'year']
['party', 'world', 'work', 'life', 'end', 'school', 'fact', 'group']
['way', 'part', 'man', 'day', 'group', 'government', 'case', 'fact']
