['system', 'work', 'company', 'group', 'part', 'information', 'house', 'place']
['way', 'fact', 'government', 'company', 'part', 'work', 'man', 'place']
['company', 'group', 'place', 'life', 'year', 'government', 'course', 'world']
['place', 'life', 'information', 'company', 'case', 'way', 'end', 'year']
['part', 'information', 'fact', 'party', 'government', 'course', 'day', 'life']
['fact', 'information', 'company', 'year', 'way', 'school', 'government', 'part']
['man', 'way', 'party', 'information', 'life', 'group', 'case', 'year']
['way', 'house', 'fact', 'work', 'information', 'course', 'world', 'end']
['information', 'part', 'government', 'school', 'end', 'company', 'case', 'fact']
['day', 'school', 'way', 'man', 'fact', 'information', 'system', 'part']
['system', 'case', 'party', 'fact', 'company', 'part', 'world', 'life']
['year', 'government', 'end', 'company', 'work', 'course', 'day', 'school']
['year', 'place', 'man', 'part', 'party', 'information', 'end', 'school']
['fact', 'way', 'party', 'man', 'case', 'day', 'company', 'end']
['school', 'place', 'work', 'company', 'part', 'year', 'government', 'information']
['case', 'company', 'world', 'course', 'way', 'man', 'school', 'end']
['life', 'information', 'world', 'party', 'company', 'fact', 'group', 'year']
['end', 'fact', 'work', 'case', 'course', 'year', 'world', 'party']
['house', 'work', 'man', 'part', 'information', 'place', 'end', 'company']
['place', 'group', 'part', 'company', 'house', 'world', 'course', 'system']
['house', 'system', 'course', 'place', 'year', 'day', 'company', 'party']
['fact', 'life', 'school', 'part', 'party', 'way', 'end', 'group']
['way', 'part', 'school', 'place', 'party', 'company', 'information', 'day']
['man', 'house', 'course', 'end', 'world', 'day', 'part', 'system']
['year', 'place', 'life', 'house', 'school', 'man', 'group', 'end']
['case', 'day', 'way', 'course', 'school', 'information', 'company', 'system']
['man', 'system', 'place', 'year', 'way', 'party', 'day', 'fact']
['case', 'life', 'man', 'system', 'fact', 'part', 'day', 'end']
['part', 'life', 'information', 'school', 'course', 'party', 'year', 'house']
['day', 'school', 'life', 'man', 'company', 'system', 'course', 'place']
['course', 'company', 'day', 'man', 'group', 'year', 'fact', 'life']
['man', 'information', 'group', 'house', 'way', 'fact', 'place', 'work']
['government', 'world', 'part', 'information', 'man', 'school', 'work', 'course']
['information', 'way', 'part', 'end', 'day', 'party', 'system', 'work']
['house', 'part', 'school', 'system', 'party', 'end', 'information', 'government']
['place', 'group', 'case', 'way', 'government', 'school', 'world', 'life']
['fact', 'group', 'end', 'life', 'course', 'government', 'house', 'part']
['end', 'company', 'case', 'course', 'government', 'day', 'group', 'part']
['work', 'group', 'house', 'day', 'company', 'way', 'fact', 'part']
['way', 'place', 'life', 'work', 'year', 'school', 'fact', 'man']
['part', 'day', 'work', 'school', 'course', 'world', 'government', 'fact']
['end', 'case', 'company', 'house', 'party', 'government', 'place', 'group']
['year', 'system', 'end', 'party', 'part', 'case', 'place', 'course']
['place', 'house', 'end', 'fact', 'day', 'system', 'life', 'man']
['place', 'work', 'government', 'part', 'day', 'fact', 'company', 'man']
['day', 'government', 'course', 'place', 'group', 'work', 'case', 'company']
['work', 'part', 'place', 'world', 'school', 'group', 'company', 'government']
['life', 'system', 'course', 'fact', 'work', 'way', 'house', 'party']
['end', 'company', 'man', 'case', 'work', 'party', 'part', 'fact']
['fact', 'day', 'house', 'world', 'party', 'place', 'system', 'information']
['system', 'man', 'company', 'work', 'end', 'world', 'party', 'year']
['government', 'school', 'way', 'work', 'group', 'system', 'company', 'year']
['work', 'house', 'world', 'group', 'case', 'part', 'government', 'course']
['school', 'government', 'part', 'party', 'year', 'way', 'case', 'place']
