['world', 'party', 'house', 'end', 'place', 'information', 'year', 'system']
['group', 'way', 'end', 'government', 'school', 'course', 'man', 'company']
['world', 'fact', 'information', 'group', 'day', 'life', 'school', 'place']
['way', 'system', 'end', 'year', 'place', 'school', 'party', 'company']
['government', 'way', 'case', 'life', 'work', 'course', 'end', 'place']
['school', 'day', 'course', 'part', 'system', 'fact', 'world', 'house']
['year', 'house', 'information', 'way', 'end', 'work', 'world', 'system']
['year', 'place', 'fact', 'way', 'system', 'world', 'group', 'end']
['school', 'year', 'system', 'government', 'man', 'way', 'part', 'information']
['end', 'place', 'year', 'work', 'day', 'part', 'man', 'world']
['day', 'way', 'information', 'life', 'party', 'house', 'part', 'year']
['day', 'way', 'course', 'place', 'government', 'company', 'house', 'system']
['party', 'world', 'case', 'man', 'way', 'fact', 'place', 'group']
['company', 'part', 'end', 'information', 'course', 'house', 'case', 'way']
['part', 'man', 'party', 'group', 'place', 'fact', 'system', 'information']
['man', 'system', 'end', 'group', 'fact', 'company', 'world', 'information']
['company', 'life', 'place', 'end', 'work', 'house', 'government', 'information']
['government', 'company', 'place', 'fact', 'world', 'man', 'part', 'day']
['day', 'work', 'system', 'end', 'party', 'house', 'life', 'company']
['work', 'part', 'end', 'fact', 'system', 'course', 'year', 'world']
['man', 'system', 'company', 'house', 'world', 'government', 'fact', 'party']
['party', 'information', 'place', 'fact', 'end', 'school', 'company', 'life']
['system', 'group', 'company', 'party', 'information', 'course', 'place', 'government']
['work', 'group', 'fact', 'system', 'day', 'man', 'course', 'case']
['house', 'information', 'year', 'school', 'part', 'way', 'case', 'place']
['part', 'group', 'government', 'case', 'way', 'world', 'company', 'place']
['fact', 'company', 'system', 'end', 'information', 'work', 'year', 'party']
['information', 'group', 'school', 'party', 'work', 'house', 'system', 'part']
['house', 'work', 'world', 'day', 'place', 'case', 'man', 'way']
['end', 'case', 'life', 'fact', 'day', 'group', 'work', 'way']
['system', 'year', 'work', 'party', 'man', 'group', 'house', 'course']
['day', 'party', 'fact', 'part', 'place', 'world', 'case', 'work']
['information', 'work', 'day', 'course', 'way', 'world', 'party', 'school']
['group', 'case', 'party', 'course', 'part', 'life', 'system', 'company']
['government', 'system', 'school', 'case', 'work', 'day', 'party', 'end']
['year', 'work', 'course', 'man', 'life', 'party', 'world', 'day']
['party', 'government', 'information', 'case', 'school', 'company', 'group', 'house']
['work', 'year', 'man', 'government', 'way', 'school', 'company', 'system']
['house', 'course', 'end', 'government', 'work', 'man', 'information', 'case']
['part', 'fact', 'world', 'course', 'end', 'system', 'government', 'year']
['work', 'place', 'day', 'system', 'government', 'party', 'school', 'man']
['end', 'case', 'year', 'house', 'world', 'man', 'company', 'fact']
['end', 'part', 'case', 'world', 'life', 'party', 'course', 'group']
['part', 'life', 'way', 'group', 'government', 'school', 'information', 'company']
['man', 'place', 'system', 'group', 'world', 'school', 'case', 'information']
['work', 'company', 'end', 'place', 'information', 'course', 'year', 'case']
['way', 'part', 'information', 'work', 'system', 'life', 'day', 'year']
['school', 'end', 'place', 'way', 'party', 'case', 'world', 'man']
['world', 'part', 'government', 'case', 'way', 'group', 'fact', 'system']
['company', 'man', 'way', 'work', 'fact', 'case', 'year', 'party']
['group', 'house', 'government', 'day', 'party', 'life', 'world', 'fact']
['house', 'school', 'company', 'case', 'fact', 'end', 'part', 'world']
['company', 'life', 'way', 'world', 'case', 'year', 'school', 'man']
['house', 'school', 'world', 'work', 'place', 'party', 'group', 'information']
['government', 'year', 'way', 'school', 'information', 'work', 'place', 'world']
['man', 'party', 'way', 'day', 'government', 'place', 'year', 'company']
['course', 'work', 'school', 'party', 'world', 'fact', 'day', 'part']
['fact', 'system', 'man', 'company', 'course', 'place', 'end', 'part']
['part', 'day', 'world', 'man', 'system', 'house', 'fact', 'way']
['school', 'man', 'life', 'place', 'end', 'work', 'company', 'system']
['group', 'day', 'system', 'government', 'life', 'place', 'course', 'case']
['company', 'case', 'party', 'life', 'place', 'group', 'man', 'government']
['world', 'day', 'information', 'way', 'part', 'course', 'place', 'case']
['government', 'man', 'information', 'system', 'work', 'way', 'world', 'case']
['system', 'house', 'work', 'day', 'place', 'information', 'world', 'year']
['house', 'day', 'case', 'information', 'company', 'way', 'school', 'government']
['life', 'man', 'course', 'world', 'system', 'government', 'part', 'place']
['school', 'way', 'work', 'case', 'company', 'world', 'information', 'government']
['part', 'party', 'fact', 'government', 'day', 'case', 'company', 'system']
['day', 'way', 'information', 'course', 'group', 'system', 'party', 'world']
['way', 'work', 'day', 'government', 'information', 'end', 'house', 'course']
['day', 'information', 'man', 'house', 'life', 'group', 'course', 'system']
['school', 'life', 'house', 'government', 'way', 'year', 'system', 'company']
['group', 'end', 'way', 'fact', 'information', 'course', 'house', 'world']
['work', 'day', 'case', 'party', 'group', 'place', 'part', 'course']
['house', 'day', 'end', 'fact', 'course', 'case', 'part', 'party']
['school', 'year', 'company', 'government', 'world', 'information', 'case', 'house']
['work', 'man', 'place', 'life', 'case', 'day', 'fact', 'house']
['life', 'place', 'school', 'fact', 'party', 'day', 'information', 'house']
['course', 'system', 'government', 'school', 'information', 'house', 'man', 'life']
['world', 'way', 'government', 'case', 'fact', 'end', 'place', 'school']
['world', 'party', 'work', 'course', 'group', 'system', 'place', 'school']
['work', 'government', 'place', 'year', 'man', 'house', 'system', 'end']
['work', 'end', 'part', 'year', 'case', 'man', 'group', 'information']
['work', 'end', 'world', 'system', 'party', 'year', 'house', 'company']
['company', 'group', 'fact', 'work', 'information', 'day', 'man', 'place']
['party', 'school', 'fact', 'life', 'part', 'world', 'group', 'information']
['group', 'fact', 'part', 'system', 'man', 'school', 'information', 'end']
['part', 'government', 'day', 'life', 'place', 'way', 'year', 'world']
['system', 'house', 'party', 'case', 'school', 'part', 'place', 'life']
['place', 'day', 'life', 'party', 'school', 'world', 'work', 'house']
['system', 'party', 'life', 'house', 'school', 'part', 'year', 'way']
['place', 'course', 'group', 'world', 'government', 'fact', 'school', 'man']
['party', 'man', 'life', 'case', 'fact', 'place', 'company', 'group']
['information', 'company', 'year', 'place', 'end', 'case', 'part', 'school']
['party', 'man', 'end', 'system', 'information', 'part', 'case', 'company']
['party', 'part', 'system', 'man', 'case', 'work', 'information', 'day']
['end', 'course', 'government', 'fact', 'case', 'day', 'work', 'information']
['course', 'way', 'system', 'day', 'part', 'work', 'company', 'world']
['fact', 'information', 'work', 'case', 'group', 'system', 'end', 'year']
