['end', 'day', 'company', 'case', 'world', 'course', 'part', 'government']
['work', 'way', 'man', 'world', 'fact', 'end', 'house', 'part']
['house', 'year', 'government', 'case', 'group', 'company', 'part', 'way']
['information', 'life', 'school', 'world', 'way', 'end', 'group', 'company']
['year', 'case', 'company', 'man', 'group', 'day', 'party', 'part']
['place', 'information', 'course', 'party', 'world', 'case', 'house', 'company']
['world', 'year', 'course', 'house', 'system', 'government', 'man', 'day']
['case', 'year', 'end', 'house', 'fact', 'work', 'man', 'company']
['place', 'end', 'system', 'part', 'year', 'information', 'case', 'work']
['course', 'group', 'school', 'end', 'party', 'day', 'house', 'part']
['company', 'way', 'world', 'system', 'part', 'life', 'work', 'school']
['house', 'life', 'company', 'information', 'world', 'part', 'school', 'group']
['end', 'case', 'school', 'house', 'government', 'part', 'fact', 'course']
['man', 'way', 'day', 'system', 'year', 'party', 'course', 'part']
['course', 'man', 'fact', 'case', 'day', 'year', 'information', 'work']
['world', 'man', 'system', 'case', 'way', 'company', 'day', 'fact']
['way', 'school', 'man', 'day', 'house', 'year', 'information', 'world']
['party', 'life', 'school', 'year', 'course', 'information', 'government', 'work']
['way', 'fact', 'year', 'information', 'world', 'party', 'system', 'day']
['party', 'life', 'fact', 'man', 'end', 'company', 'way', 'year']
['end', 'school', 'course', 'year', 'man', 'life', 'party', 'world']
['system', 'place', 'school', 'house', 'part', 'party', 'man', 'fact']
['year', 'party', 'life', 'way', 'man', 'company', 'information', 'part']
['part', 'company', 'group', 'way', 'world', 'life', 'man', 'information']
['year', 'man', 'fact', 'course', 'world', 'group', 'information', 'life']
['party', 'company', 'life', 'fact', 'place', 'house', 'way', 'year']
['course', 'house', 'party', 'year', 'part', 'system', 'fact', 'group']
['group', 'company', 'information', 'year', 'party', 'part', 'day', 'world']
['group', 'way', 'fact', 'company', 'end', 'part', 'school', 'year']
['way', 'house', 'case', 'place', 'part', 'group', 'system', 'end']
['system', 'group', 'end', 'fact', 'company', 'case', 'year', 'world']
['work', 'school', 'fact', 'course', 'part', 'world', 'end', 'house']
['house', 'life', 'school', 'system', 'place', 'year', 'party', 'course']
['course', 'company', 'day', 'party', 'system', 'information', 'year', 'way']
['world', 'school', 'case', 'place', 'group', 'house', 'part', 'life']
['end', 'course', 'company', 'place', 'work', 'house', 'year', 'information']
['world', 'information', 'man', 'part', 'life', 'school', 'system', 'fact']
['way', 'day', 'end', 'work', 'case', 'life', 'house', 'information']
