['end', 'case', 'place', 'world', 'work', 'party', 'way', 'house']
['work', 'world', 'group', 'system', 'place', 'year', 'course', 'day']
['government', 'company', 'party', 'group', 'year', 'system', 'end', 'life']
['fact', 'party', 'way', 'part', 'place', 'information', 'house', 'company']
['course', 'way', 'company', 'system', 'fact', 'place', 'case', 'year']
['school', 'party', 'company', 'day', 'fact', 'part', 'house', 'man']
['place', 'company', 'work', 'world', 'house', 'party', 'case', 'system']
['work', 'group', 'man', 'company', 'fact', 'place', 'life', 'party']
['company', 'school', 'world', 'information', 'party', 'work', 'house', 'life']
['world', 'case', 'government', 'house', 'company', 'fact', 'group', 'work']
['man', 'course', 'case', 'way', 'world', 'party', 'government', 'house']
['group', 'work', 'school', 'case', 'day', 'information', 'way', 'life']
['group', 'system', 'part', 'party', 'case', 'world', 'course', 'company']
['end', 'work', 'part', 'case', 'year', 'fact', 'way', 'course']
['information', 'life', 'school', 'system', 'year', 'place', 'end', 'party']
['day', 'fact', 'course', 'place', 'end', 'system', 'house', 'part']
['information', 'company', 'way', 'system', 'school', 'case', 'place', 'party']
['fact', 'system', 'end', 'case', 'party', 'company', 'house', 'life']
['company', 'government', 'way', 'part', 'information', 'group', 'system', 'house']
['year', 'system', 'government', 'fact', 'case', 'school', 'world', 'place']
['end', 'way', 'place', 'part', 'system', 'government', 'school', 'course']
['information', 'man', 'way', 'end', 'fact', 'house', 'part', 'company']
['school', 'information', 'government', 'world', 'life', 'system', 'year', 'party']
['year', 'life', 'party', 'company', 'place', 'man', 'group', 'course']
['end', 'case', 'day', 'man', 'world', 'fact', 'life', 'house']
['end', 'life', 'way', 'government', 'part', 'information', 'world', 'system']
['course', 'world', 'house', 'way', 'fact', 'end', 'case', 'year']
['year', 'company', 'group', 'world', 'case', 'house', 'day', 'end']
['world', 'school', 'course', 'way', 'group', 'end', 'system', 'company']
['house', 'information', 'party', 'school', 'system', 'work', 'part', 'man']
['case', 'year', 'house', 'course', 'company', 'work', 'place', 'fact']
['fact', 'work', 'life', 'course', 'company', 'man', 'case', 'end']
['year', 'course', 'group', 'end', 'information', 'day', 'place', 'company']
['system', 'world', 'company', 'year', 'place', 'house', 'course', 'day']
['information', 'year', 'group', 'fact', 'end', 'life', 'school', 'world']
['case', 'end', 'information', 'house', 'company', 'life', 'group', 'government']
['fact', 'information', 'day', 'work', 'world', 'school', 'system', 'life']
['group', 'life', 'day', 'work', 'way', 'world', 'system', 'part']
['year', 'company', 'end', 'place', 'course', 'information', 'system', 'government']
['government', 'man', 'year', 'information', 'party', 'house', 'fact', 'case']
['government', 'party', 'system', 'end', 'school', 'day', 'life', 'case']
['day', 'way', 'group', 'system', 'government', 'year', 'school', 'life']
['life', 'work', 'end', 'school', 'part', 'party', 'government', 'case']
['way', 'system', 'year', 'course', 'world', 'group', 'end', 'fact']
['year', 'life', 'group', 'world', 'way', 'course', 'place', 'end']
['house', 'world', 'man', 'group', 'course', 'school', 'part', 'place']
['way', 'party', 'company', 'year', 'system', 'day', 'case', 'place']
['information', 'group', 'part', 'world', 'school', 'course', 'end', 'day']
['life', 'course', 'part', 'man', 'end', 'day', 'fact', 'world']
['case', 'end', 'government', 'work', 'fact', 'system', 'house', 'part']
['information', 'course', 'house', 'fact', 'end', 'group', 'day', 'place']
['government', 'place', 'party', 'year', 'world', 'part', 'day', 'end']
['party', 'year', 'house', 'system', 'government', 'world', 'company', 'fact']
['party', 'work', 'man', 'information', 'fact', 'life', 'group', 'part']
['place', 'party', 'life', 'information', 'way', 'year', 'man', 'school']
['life', 'case', 'year', 'information', 'company', 'end', 'house', 'school']
['government', 'course', 'house', 'way', 'day', 'fact', 'company', 'world']
['company', 'group', 'information', 'year', 'case', 'fact', 'man', 'part']
['world', 'fact', 'life', 'case', 'group', 'course', 'work', 'information']
['case', 'school', 'work', 'information', 'end', 'course', 'system', 'group']
['man', 'life', 'information', 'work', 'fact', 'course', 'government', 'system']
['course', 'day', 'part', 'year', 'end', 'man', 'life', 'place']
['course', 'company', 'day', 'party', 'man', 'life', 'place', 'year']
['system', 'school', 'fact', 'year', 'house', 'way', 'world', 'information']
['day', 'group', 'course', 'party', 'government', 'way', 'world', 'part']
['work', 'man', 'information', 'day', 'world', 'group', 'way', 'part']
['school', 'man', 'case', 'world', 'work', 'fact', 'government', 'house']
['way', 'company', 'world', 'system', 'school', 'fact', 'day', 'group']
['part', 'government', 'world', 'life', 'fact', 'system', 'work', 'company']
['day', 'information', 'school', 'party', 'place', 'course', 'house', 'fact']
['case', 'school', 'party', 'government', 'information', 'fact', 'group', 'world']
['work', 'house', 'group', 'school', 'man', 'case', 'fact', 'life']
['year', 'school', 'system', 'government', 'case', 'life', 'company', 'fact']
['fact', 'school', 'group', 'case', 'year', 'house', 'system', 'man']
['end', 'company', 'way', 'government', 'party', 'group', 'fact', 'life']
['end', 'place', 'world', 'part', 'company', 'information', 'year', 'system']
['way', 'house', 'end', 'company', 'year', 'man', 'work', 'course']
['school', 'day', 'government', 'place', 'group', 'company', 'way', 'end']
['information', 'place', 'house', 'man', 'work', 'party', 'case', 'company']
['end', 'system', 'house', 'life', 'year', 'fact', 'part', 'course']
['world', 'company', 'government', 'part', 'fact', 'way', 'course', 'system']
['case', 'year', 'place', 'man', 'way', 'end', 'company', 'day']
['party', 'house', 'fact', 'part', 'year', 'information', 'school', 'group']
['information', 'house', 'system', 'government', 'year', 'end', 'course', 'case']
['part', 'life', 'system', 'fact', 'work', 'man', 'school', 'case']
['man', 'case', 'group', 'government', 'place', 'life', 'company', 'end']
['end', 'government', 'day', 'company', 'work', 'fact', 'man', 'course']
['part', 'government', 'party', 'way', 'case', 'school', 'company', 'day']
['life', 'group', 'world', 'case', 'house', 'government', 'course', 'information']
['group', 'man', 'end', 'house', 'world', 'place', 'system', 'year']
['man', 'end', 'course', 'work', 'fact', 'information', 'part', 'school']
['part', 'case', 'life', 'information', 'world', 'fact', 'course', 'group']
['house', 'system', 'part', 'case', 'school', 'place', 'information', 'government']
['way', 'company', 'end', 'day', 'information', 'course', 'house', 'government']
['company', 'party', 'day', 'man', 'case', 'information', 'place', 'course']
['work', 'end', 'group', 'government', 'year', 'information', 'fact', 'man']
['information', 'way', 'group', 'end', 'man', 'fact', 'company', 'life']
['year', 'information', 'school', 'case', 'world', 'man', 'house', 'end']
['party', 'company', 'work', 'place', 'school', 'course', 'world', 'house']
['end', 'school', 'course', 'day', 'case', 'world', 'information', 'work']
