['work', 'house', 'party', 'case', 'world', 'man', 'system', 'information']
['group', 'life', 'place', 'information', 'house', 'school', 'course', 'man']
['work', 'man', 'company', 'place', 'part', 'information', 'government', 'day']
['work', 'year', 'information', 'company', 'world', 'day', 'man', 'party']
['world', 'group', 'house', 'company', 'year', 'government', 'fact', 'course']
['work', 'end', 'case', 'government', 'world', 'group', 'school', 'system']
['system', 'world', 'group', 'part', 'company', 'life', 'day', 'school']
['course', 'part', 'day', 'work', 'man', 'information', 'year', 'house']
['end', 'day', 'course', 'life', 'government', 'place', 'man', 'fact']
['house', 'place', 'party', 'fact', 'work', 'man', 'system', 'group']
['way', 'group', 'school', 'fact', 'case', 'part', 'party', 'day']
['place', 'course', 'government', 'fact', 'end', 'party', 'company', 'system']
['way', 'fact', 'end', 'house', 'man', 'work', 'course', 'part']
['case', 'way', 'information', 'world', 'fact', 'house', 'party', 'day']
['life', 'government', 'house', 'course', 'place', 'company', 'end', 'way']
['year', 'part', 'life', 'end', 'information', 'world', 'system', 'work']
['school', 'company', 'party', 'year', 'life', 'work', 'information', 'house']
['day', 'company', 'party', 'end', 'government', 'system', 'group', 'information']
['government', 'man', 'day', 'way', 'part', 'world', 'information', 'end']
['system', 'party', 'life', 'fact', 'government', 'place', 'company', 'part']
['school', 'work', 'part', 'system', 'world', 'life', 'place', 'party']
['year', 'company', 'day', 'fact', 'world', 'life', 'part', 'party']
['house', 'company', 'world', 'day', 'year', 'life', 'group', 'way']
['year', 'part', 'man', 'school', 'government', 'case', 'life', 'company']
['day', 'company', 'group', 'case', 'school', 'part', 'place', 'life']
['party', 'course', 'place', 'year', 'school', 'information', 'group', 'government']
['school', 'end', 'government', 'world', 'company', 'man', 'system', 'way']
['work', 'place', 'man', 'world', 'system', 'end', 'government', 'group']
['government', 'work', 'course', 'part', 'group', 'world', 'life', 'school']
['world', 'course', 'end', 'man', 'work', 'party', 'group', 'part']
['course', 'group', 'party', 'house', 'company', 'world', 'end', 'day']
['year', 'party', 'end', 'world', 'company', 'life', 'part', 'fact']
['party', 'case', 'way', 'group', 'work', 'part', 'life', 'world']
['end', 'company', 'world', 'work', 'life', 'system', 'course', 'fact']
['party', 'group', 'place', 'fact', 'government', 'system', 'work', 'part']
['government', 'part', 'life', 'work', 'house', 'party', 'system', 'day']
['group', 'end', 'system', 'party', 'day', 'government', 'work', 'place']
['group', 'life', 'school', 'party', 'year', 'way', 'information', 'company']
['work', 'information', 'man', 'system', 'group', 'day', 'company', 'fact']
['way', 'world', 'school', 'place', 'part', 'life', 'work', 'group']
['school', 'government', 'place', 'man', 'fact', 'day', 'company', 'group']
['end', 'school', 'party', 'case', 'part', 'system', 'man', 'information']
['life', 'man', 'information', 'company', 'world', 'case', 'house', 'course']
['information', 'group', 'company', 'system', 'government', 'man', 'way', 'year']
['system', 'company', 'fact', 'place', 'work', 'government', 'year', 'day']
['information', 'school', 'life', 'group', 'place', 'end', 'house', 'system']
['part', 'day', 'world', 'year', 'information', 'party', 'system', 'man']
['part', 'day', 'system', 'course', 'school', 'information', 'group', 'year']
['man', 'life', 'group', 'information', 'government', 'case', 'party', 'end']
['house', 'system', 'end', 'world', 'party', 'information', 'way', 'part']
['year', 'system', 'school', 'information', 'place', 'man', 'course', 'part']
['house', 'group', 'year', 'man', 'place', 'work', 'world', 'part']
['work', 'party', 'fact', 'world', 'day', 'system', 'house', 'place']
['information', 'place', 'man', 'house', 'year', 'part', 'life', 'way']
['end', 'party', 'part', 'school', 'company', 'work', 'system', 'way']
['information', 'party', 'house', 'group', 'school', 'end', 'way', 'government']
['case', 'world', 'way', 'day', 'man', 'life', 'house', 'government']
['day', 'case', 'work', 'house', 'party', 'company', 'life', 'end']
['group', 'party', 'information', 'end', 'place', 'government', 'school', 'man']
['company', 'case', 'man', 'way', 'part', 'place', 'life', 'house']
['life', 'man', 'world', 'company', 'day', 'work', 'party', 'year']
['system', 'house', 'company', 'course', 'place', 'school', 'year', 'world']
['work', 'course', 'house', 'company', 'group', 'way', 'case', 'party']
['course', 'part', 'end', 'year', 'house', 'company', 'system', 'fact']
['fact', 'year', 'way', 'government', 'place', 'life', 'company', 'information']
['system', 'party', 'case', 'part', 'course', 'house', 'government', 'group']
['company', 'government', 'life', 'case', 'way', 'fact', 'system', 'world']
['fact', 'school', 'man', 'work', 'government', 'way', 'place', 'group']
['life', 'way', 'case', 'system', 'day', 'school', 'year', 'man']
['place', 'life', 'group', 'fact', 'day', 'information', 'company', 'party']
['government', 'world', 'way', 'case', 'school', 'life', 'course', 'fact']
['man', 'course', 'party', 'day', 'system', 'place', 'government', 'group']
['part', 'course', 'place', 'group', 'house', 'company', 'day', 'system']
['end', 'company', 'place', 'course', 'government', 'party', 'information', 'man']
['system', 'world', 'fact', 'man', 'end', 'day', 'government', 'place']
['day', 'way', 'system', 'house', 'company', 'school', 'fact', 'party']
['party', 'life', 'year', 'case', 'house', 'place', 'school', 'company']
['party', 'fact', 'place', 'information', 'part', 'course', 'year', 'work']
['course', 'way', 'part', 'case', 'school', 'party', 'company', 'place']
['case', 'course', 'man', 'school', 'group', 'government', 'information', 'work']
['man', 'day', 'year', 'system', 'end', 'house', 'work', 'life']
['house', 'place', 'course', 'part', 'group', 'information', 'world', 'way']
