['place', 'course', 'house', 'government']
['day', 'course', 'information', 'system']
['information', 'house', 'group', 'end']
['end', 'part', 'house', 'fact']
['day', 'life', 'end', 'case']
['man', 'party', 'government', 'world']
['day', 'place', 'company', 'life']
['work', 'government', 'information', 'group']
['fact', 'work', 'day', 'company']
['day', 'life', 'case', 'school']
['work', 'course', 'part', 'man']
['group', 'day', 'work', 'year']
['day', 'end', 'system', 'life']
['system', 'course', 'part', 'way']
['year', 'information', 'way', 'system']
['man', 'day', 'part', 'company']
['group', 'fact', 'end', 'information']
['case', 'course', 'system', 'government']
['company', 'work', 'fact', 'year']
['way', 'part', 'man', 'work']
['house', 'information', 'company', 'end']
['end', 'work', 'course', 'group']
['information', 'place', 'house', 'system']
['information', 'world', 'end', 'place']
['way', 'part', 'case', 'work']
['company', 'school', 'government', 'year']
['day', 'way', 'system', 'year']
['group', 'house', 'life', 'place']
['government', 'system', 'end', 'course']
['fact', 'group', 'part', 'day']
['year', 'government', 'man', 'life']
['course', 'work', 'part', 'information']
['information', 'year', 'man', 'part']
['world', 'course', 'man', 'system']
['system', 'school', 'place', 'course']
['end', 'way', 'life', 'system']
['company', 'end', 'work', 'place']
['part', 'end', 'place', 'fact']
['company', 'man', 'end', 'party']
['year', 'group', 'course', 'information']
['work', 'course', 'man', 'day']
['life', 'group', 'work', 'part']
['year', 'course', 'case', 'world']
['place', 'end', 'company', 'case']
['party', 'world', 'way', 'life']
['course', 'fact', 'information', 'world']
['house', 'world', 'way', 'end']
['man', 'end', 'company', 'house']
['company', 'way', 'year', 'work']
['day', 'place', 'government', 'fact']
['system', 'year', 'life', 'company']
['man', 'school', 'information', 'government']
['work', 'end', 'party', 'government']
['case', 'place', 'way', 'fact']
['group', 'life', 'man', 'information']
['information', 'company', 'system', 'day']
['place', 'man', 'way', 'case']
['end', 'information', 'system', 'case']
['group', 'system', 'fact', 'case']
['group', 'information', 'world', 'man']
['house', 'school', 'fact', 'part']
['way', 'place', 'world', 'day']
['course', 'man', 'system', 'work']
['life', 'fact', 'world', 'system']
['company', 'part', 'work', 'group']
['place', 'end', 'government', 'work']
['fact', 'life', 'company', 'group']
['year', 'information', 'life', 'course']
['world', 'life', 'house', 'place']
['part', 'school', 'government', 'course']
['life', 'system', 'company', 'part']
['way', 'place', 'work', 'world']
['year', 'party', 'work', 'course']
['group', 'information', 'fact', 'day']
['end', 'information', 'place', 'house']
['party', 'end', 'place', 'course']
['place', 'school', 'world', 'case']
['case', 'part', 'year', 'way']
['fact', 'life', 'group', 'year']
['man', 'company', 'group', 'information']
['life', 'case', 'work', 'company']
['work', 'day', 'company', 'life']
['course', 'life', 'world', 'man']
['man', 'school', 'house', 'place']
['part', 'company', 'house', 'school']
['way', 'system', 'year', 'world']
['course', 'world', 'government', 'system']
['place', 'day', 'life', 'part']
['course', 'place', 'case', 'life']
['group', 'work', 'end', 'world']
['information', 'government', 'place', 'company']
['information', 'group', 'way', 'house']
['group', 'party', 'government', 'part']
['day', 'house', 'fact', 'man']
['fact', 'house', 'place', 'year']
['house', 'man', 'company', 'school']
['year', 'end', 'party', 'man']
['work', 'course', 'year', 'fact']
['group', 'system', 'course', 'life']
['case', 'party', 'system', 'year']
