['course', 'life', 'house', 'information']
['information', 'world', 'end', 'government']
['course', 'government', 'house', 'school']
['year', 'government', 'part', 'party']
['day', 'life', 'work', 'house']
['party', 'case', 'house', 'life']
['world', 'course', 'part', 'house']
['company', 'life', 'day', 'end']
['day', 'fact', 'company', 'man']
['information', 'fact', 'life', 'school']
['work', 'part', 'information', 'world']
['part', 'man', 'party', 'way']
['house', 'fact', 'school', 'way']
['year', 'case', 'house', 'part']
['group', 'man', 'end', 'information']
['work', 'case', 'party', 'company']
['government', 'case', 'world', 'way']
['house', 'government', 'school', 'life']
['course', 'house', 'life', 'way']
['end', 'information', 'course', 'day']
['part', 'school', 'day', 'house']
['man', 'government', 'group', 'fact']
['government', 'case', 'group', 'way']
['day', 'course', 'case', 'man']
['way', 'government', 'man', 'house']
['course', 'man', 'end', 'year']
['way', 'world', 'place', 'company']
['course', 'world', 'man', 'government']
['company', 'party', 'fact', 'end']
['party', 'year', 'government', 'system']
['party', 'course', 'life', 'house']
['case', 'life', 'world', 'day']
['information', 'case', 'fact', 'system']
['way', 'place', 'part', 'fact']
['house', 'world', 'life', 'school']
['place', 'life', 'part', 'fact']
['way', 'course', 'work', 'end']
['case', 'fact', 'school', 'part']
['course', 'way', 'place', 'year']
['life', 'year', 'place', 'man']
['information', 'government', 'man', 'work']
['world', 'information', 'year', 'government']
['day', 'year', 'party', 'place']
['man', 'case', 'place', 'school']
['day', 'fact', 'year', 'information']
['life', 'company', 'party', 'work']
['system', 'party', 'work', 'place']
['way', 'end', 'year', 'part']
['school', 'party', 'company', 'system']
['day', 'case', 'part', 'fact']
['party', 'world', 'company', 'work']
['fact', 'party', 'world', 'way']
['fact', 'end', 'day', 'case']
['way', 'part', 'man', 'company']
['party', 'place', 'work', 'day']
['life', 'school', 'company', 'work']
['house', 'company', 'part', 'school']
['house', 'government', 'information', 'man']
['way', 'course', 'system', 'company']
['company', 'fact', 'party', 'government']
['course', 'information', 'party', 'group']
['information', 'company', 'party', 'place']
['system', 'school', 'work', 'man']
['year', 'end', 'life', 'school']
['course', 'day', 'school', 'company']
['government', 'part', 'party', 'year']
['end', 'course', 'government', 'case']
['end', 'party', 'way', 'day']
['case', 'company', 'school', 'course']
['man', 'house', 'year', 'information']
['way', 'place', 'system', 'party']
['case', 'year', 'world', 'life']
['house', 'year', 'life', 'man']
['work', 'system', 'fact', 'world']
['year', 'world', 'school', 'life']
['group', 'man', 'information', 'work']
['day', 'system', 'government', 'work']
['house', 'place', 'fact', 'year']
['course', 'fact', 'part', 'world']
['company', 'group', 'information', 'house']
['information', 'end', 'group', 'work']
['school', 'company', 'information', 'house']
['work', 'case', 'group', 'day']
['information', 'government', 'group', 'house']
['case', 'course', 'house', 'group']
['man', 'party', 'case', 'system']
['end', 'work', 'group', 'system']
['information', 'man', 'world', 'day']
['information', 'year', 'man', 'group']
['year', 'group', 'case', 'party']
['way', 'world', 'man', 'case']
['party', 'life', 'day', 'way']
['group', 'house', 'government', 'place']
['case', 'information', 'party', 'school']
['world', 'way', 'information', 'system']
['world', 'house', 'year', 'course']
['man', 'life', 'government', 'world']
['fact', 'group', 'government', 'work']
['day', 'fact', 'school', 'part']
