['work', 'house', 'information', 'company']
['party', 'world', 'way', 'information']
['case', 'group', 'government', 'fact']
['system', 'life', 'party', 'government']
['group', 'information', 'way', 'life']
['way', 'information', 'part', 'group']
['company', 'house', 'man', 'government']
['case', 'group', 'world', 'system']
['group', 'day', 'way', 'end']
['company', 'group', 'part', 'year']
['world', 'group', 'work', 'party']
['information', 'end', 'case', 'way']
['part', 'system', 'case', 'way']
['house', 'day', 'place', 'system']
['system', 'course', 'part', 'case']
['party', 'man', 'fact', 'company']
['day', 'course', 'fact', 'way']
['way', 'case', 'life', 'company']
['day', 'year', 'world', 'school']
['fact', 'year', 'life', 'company']
['place', 'group', 'course', 'part']
['information', 'system', 'party', 'place']
['work', 'way', 'life', 'system']
['group', 'life', 'way', 'part']
['man', 'world', 'life', 'party']
['course', 'company', 'year', 'place']
['end', 'life', 'school', 'company']
['man', 'government', 'day', 'system']
['house', 'world', 'party', 'end']
['fact', 'man', 'course', 'government']
['day', 'course', 'school', 'year']
['house', 'year', 'system', 'group']
['government', 'day', 'school', 'world']
['part', 'case', 'group', 'world']
['information', 'part', 'work', 'world']
['house', 'work', 'company', 'day']
['day', 'work', 'world', 'life']
['school', 'house', 'company', 'fact']
['man', 'place', 'fact', 'school']
['group', 'man', 'year', 'house']
['world', 'information', 'part', 'house']
['case', 'end', 'information', 'year']
['work', 'group', 'government', 'course']
['group', 'day', 'house', 'way']
['company', 'school', 'work', 'information']
['life', 'work', 'case', 'fact']
['part', 'world', 'work', 'system']
['world', 'year', 'work', 'man']
['party', 'work', 'group', 'information']
['year', 'information', 'man', 'day']
['end', 'group', 'fact', 'school']
['work', 'life', 'part', 'information']
['world', 'fact', 'company', 'government']
['life', 'day', 'place', 'man']
['end', 'group', 'year', 'information']
['course', 'way', 'man', 'group']
['school', 'world', 'company', 'work']
['work', 'end', 'life', 'group']
['information', 'house', 'government', 'day']
['place', 'group', 'part', 'year']
['school', 'man', 'house', 'company']
['government', 'way', 'part', 'year']
['part', 'day', 'year', 'group']
['case', 'part', 'house', 'company']
['government', 'party', 'place', 'way']
['course', 'way', 'place', 'company']
['government', 'man', 'way', 'work']
['man', 'place', 'company', 'system']
['party', 'end', 'man', 'case']
['work', 'world', 'place', 'system']
['party', 'fact', 'world', 'man']
['day', 'group', 'school', 'company']
['system', 'man', 'company', 'fact']
['life', 'case', 'course', 'group']
['year', 'course', 'world', 'part']
['fact', 'company', 'life', 'school']
['part', 'end', 'year', 'day']
['day', 'man', 'part', 'house']
['way', 'year', 'house', 'group']
['year', 'way', 'end', 'company']
['government', 'party', 'way', 'course']
['life', 'part', 'system', 'place']
['school', 'course', 'company', 'life']
['life', 'information', 'party', 'world']
['end', 'work', 'day', 'year']
['work', 'case', 'information', 'place']
['house', 'place', 'case', 'world']
['party', 'information', 'way', 'end']
['man', 'day', 'information', 'group']
['party', 'system', 'part', 'end']
['way', 'information', 'house', 'group']
['group', 'year', 'party', 'government']
['school', 'place', 'work', 'information']
['party', 'case', 'course', 'life']
['part', 'year', 'government', 'day']
['government', 'house', 'year', 'way']
['school', 'system', 'man', 'way']
['case', 'group', 'life', 'fact']
['place', 'company', 'system', 'group']
['government', 'place', 'work', 'man']
