['government', 'man', 'house', 'school']
['work', 'day', 'end', 'life']
['information', 'fact', 'life', 'party']
['school', 'life', 'year', 'group']
['man', 'group', 'place', 'life']
['day', 'information', 'case', 'part']
['part', 'world', 'life', 'way']
['part', 'year', 'system', 'place']
['life', 'case', 'year', 'place']
['place', 'life', 'case', 'group']
['man', 'place', 'life', 'fact']
['system', 'information', 'house', 'day']
['way', 'day', 'place', 'year']
['course', 'case', 'house', 'group']
['place', 'company', 'information', 'year']
['end', 'house', 'party', 'group']
['case', 'place', 'life', 'part']
['course', 'day', 'government', 'information']
['world', 'company', 'party', 'government']
['fact', 'course', 'way', 'work']
['information', 'house', 'case', 'group']
['party', 'end', 'place', 'life']
['group', 'government', 'case', 'system']
['part', 'year', 'company', 'course']
['school', 'party', 'world', 'life']
['house', 'man', 'work', 'case']
['party', 'work', 'year', 'way']
['part', 'information', 'school', 'year']
['information', 'fact', 'way', 'school']
['group', 'way', 'information', 'case']
['end', 'way', 'group', 'part']
['way', 'work', 'end', 'party']
['life', 'way', 'world', 'course']
['way', 'fact', 'system', 'party']
['party', 'world', 'life', 'house']
['house', 'party', 'fact', 'information']
['school', 'place', 'day', 'man']
['system', 'place', 'world', 'house']
['year', 'part', 'day', 'man']
['world', 'day', 'house', 'man']
['government', 'place', 'house', 'work']
['day', 'part', 'course', 'information']
['place', 'life', 'world', 'system']
['year', 'government', 'group', 'part']
['information', 'work', 'part', 'group']
['part', 'work', 'year', 'fact']
['party', 'part', 'end', 'fact']
['group', 'work', 'house', 'information']
['school', 'company', 'end', 'way']
['end', 'life', 'fact', 'party']
['case', 'information', 'group', 'world']
['house', 'course', 'system', 'fact']
['course', 'case', 'group', 'party']
['work', 'part', 'party', 'end']
['course', 'information', 'year', 'system']
['party', 'information', 'way', 'day']
['work', 'life', 'house', 'company']
['company', 'group', 'man', 'information']
['part', 'year', 'company', 'information']
['information', 'way', 'day', 'case']
['way', 'party', 'man', 'fact']
['party', 'company', 'part', 'place']
['case', 'place', 'government', 'end']
['part', 'man', 'case', 'year']
['man', 'case', 'information', 'party']
['place', 'life', 'government', 'group']
['life', 'party', 'day', 'school']
['day', 'fact', 'government', 'place']
['group', 'work', 'information', 'place']
['place', 'case', 'end', 'course']
['case', 'party', 'fact', 'place']
['group', 'fact', 'way', 'information']
['fact', 'case', 'end', 'way']
['world', 'party', 'company', 'way']
['work', 'government', 'end', 'party']
['way', 'work', 'system', 'company']
['life', 'case', 'school', 'government']
['case', 'life', 'day', 'house']
['day', 'end', 'course', 'work']
['group', 'school', 'year', 'end']
['case', 'day', 'way', 'information']
['group', 'place', 'end', 'man']
['party', 'day', 'system', 'group']
['group', 'case', 'man', 'school']
['house', 'information', 'school', 'world']
['way', 'school', 'fact', 'system']
['part', 'end', 'course', 'house']
['life', 'end', 'house', 'part']
['school', 'year', 'party', 'world']
['system', 'life', 'place', 'government']
['life', 'year', 'course', 'party']
['case', 'day', 'end', 'life']
['house', 'fact', 'information', 'government']
['year', 'house', 'case', 'fact']
['house', 'government', 'man', 'way']
['part', 'school', 'place', 'fact']
['government', 'world', 'case', 'part']
['man', 'house', 'party', 'year']
['group', 'way', 'year', 'fact']
['company', 'house', 'day', 'fact']
