['part', 'man', 'information', 'course']
['school', 'group', 'course', 'place']
['system', 'course', 'world', 'group']
['school', 'place', 'day', 'company']
['end', 'fact', 'course', 'school']
['way', 'life', 'day', 'information']
['life', 'man', 'way', 'fact']
['way', 'course', 'world', 'system']
['company', 'house', 'year', 'life']
['school', 'world', 'group', 'government']
['system', 'course', 'house', 'part']
['year', 'company', 'end', 'part']
['government', 'work', 'life', 'case']
['case', 'place', 'year', 'way']
['company', 'man', 'system', 'government']
['man', 'place', 'information', 'party']
['end', 'man', 'world', 'school']
['information', 'place', 'school', 'day']
['party', 'world', 'life', 'company']
['school', 'way', 'party', 'end']
['company', 'man', 'house', 'case']
['house', 'way', 'company', 'government']
['government', 'case', 'information', 'work']
['house', 'way', 'work', 'system']
['party', 'system', 'life', 'man']
['company', 'house', 'system', 'case']
['life', 'end', 'system', 'place']
['way', 'fact', 'company', 'school']
['year', 'house', 'company', 'group']
['life', 'case', 'information', 'world']
['part', 'place', 'company', 'school']
['man', 'place', 'party', 'world']
['school', 'world', 'party', 'way']
['year', 'life', 'company', 'course']
['government', 'year', 'house', 'day']
['work', 'day', 'part', 'year']
['group', 'case', 'company', 'work']
['place', 'case', 'group', 'work']
['party', 'group', 'fact', 'case']
['man', 'world', 'information', 'company']
['year', 'case', 'work', 'house']
['year', 'party', 'day', 'work']
['end', 'way', 'case', 'school']
['group', 'way', 'information', 'course']
['information', 'year', 'day', 'case']
['group', 'system', 'course', 'fact']
['company', 'man', 'world', 'year']
['system', 'life', 'day', 'work']
['life', 'case', 'information', 'system']
['course', 'work', 'life', 'man']
['company', 'place', 'case', 'world']
['place', 'party', 'group', 'school']
['group', 'place', 'year', 'world']
['part', 'group', 'place', 'man']
['group', 'party', 'work', 'school']
['party', 'world', 'system', 'place']
['end', 'work', 'fact', 'life']
['school', 'fact', 'information', 'place']
['party', 'day', 'information', 'group']
['system', 'work', 'end', 'year']
['party', 'day', 'system', 'school']
['way', 'work', 'life', 'course']
['end', 'government', 'world', 'life']
['work', 'system', 'end', 'group']
['day', 'work', 'man', 'end']
['house', 'way', 'day', 'case']
['world', 'case', 'fact', 'year']
['information', 'way', 'fact', 'course']
['government', 'course', 'case', 'system']
['course', 'system', 'group', 'house']
['information', 'end', 'school', 'group']
['world', 'place', 'company', 'information']
['case', 'house', 'information', 'company']
['course', 'part', 'fact', 'company']
['fact', 'way', 'work', 'information']
['world', 'company', 'work', 'party']
['information', 'day', 'end', 'part']
['group', 'school', 'party', 'work']
['system', 'way', 'end', 'company']
['case', 'school', 'fact', 'party']
['fact', 'part', 'government', 'man']
['school', 'end', 'company', 'day']
['year', 'end', 'man', 'life']
['man', 'information', 'place', 'government']
['group', 'government', 'place', 'system']
['government', 'company', 'year', 'case']
['world', 'year', 'work', 'life']
['course', 'system', 'group', 'company']
['information', 'year', 'end', 'group']
['life', 'information', 'course', 'world']
['school', 'part', 'house', 'day']
['end', 'course', 'part', 'day']
['fact', 'place', 'information', 'way']
['way', 'fact', 'world', 'government']
['day', 'group', 'government', 'year']
['place', 'work', 'end', 'information']
['day', 'place', 'party', 'life']
['case', 'man', 'work', 'house']
['fact', 'year', 'end', 'course']
['fact', 'man', 'work', 'case']
