['course', 'school', 'information', 'case']
['part', 'year', 'system', 'company']
['world', 'government', 'system', 'group']
['life', 'group', 'end', 'school']
['day', 'man', 'case', 'part']
['way', 'group', 'course', 'fact']
['world', 'party', 'end', 'part']
['information', 'party', 'case', 'government']
['group', 'course', 'system', 'place']
['work', 'company', 'school', 'party']
['end', 'place', 'life', 'world']
['house', 'case', 'fact', 'government']
['way', 'company', 'government', 'part']
['party', 'course', 'system', 'day']
['place', 'work', 'man', 'school']
['man', 'place', 'group', 'work']
['case', 'fact', 'school', 'company']
['place', 'house', 'information', 'way']
['company', 'part', 'life', 'government']
['place', 'man', 'government', 'fact']
['group', 'course', 'fact', 'end']
['case', 'system', 'part', 'house']
['course', 'end', 'man', 'life']
['work', 'part', 'group', 'company']
['work', 'man', 'year', 'school']
['party', 'work', 'world', 'end']
['part', 'world', 'place', 'year']
['company', 'end', 'case', 'house']
['man', 'house', 'life', 'way']
['group', 'company', 'man', 'way']
['day', 'information', 'life', 'work']
['group', 'way', 'course', 'school']
['way', 'case', 'day', 'information']
['house', 'part', 'government', 'case']
['party', 'world', 'end', 'place']
['man', 'school', 'work', 'information']
['case', 'day', 'school', 'company']
['man', 'group', 'company', 'world']
['party', 'day', 'information', 'company']
['life', 'party', 'year', 'company']
['system', 'day', 'house', 'school']
['company', 'party', 'group', 'case']
['case', 'party', 'course', 'life']
['course', 'man', 'year', 'government']
['company', 'course', 'information', 'work']
['life', 'place', 'system', 'year']
['company', 'life', 'information', 'man']
['year', 'fact', 'day', 'work']
['case', 'day', 'company', 'party']
['life', 'year', 'world', 'school']
['fact', 'man', 'information', 'work']
['case', 'house', 'course', 'end']
['fact', 'way', 'world', 'day']
['school', 'year', 'place', 'company']
['case', 'way', 'company', 'house']
['place', 'life', 'world', 'information']
['course', 'man', 'school', 'life']
['world', 'government', 'life', 'man']
['place', 'part', 'work', 'company']
['world', 'man', 'work', 'place']
['house', 'way', 'government', 'school']
['way', 'end', 'life', 'group']
['group', 'company', 'system', 'school']
['year', 'place', 'fact', 'house']
['part', 'school', 'case', 'man']
['government', 'company', 'information', 'school']
['system', 'party', 'man', 'school']
['company', 'fact', 'end', 'system']
['man', 'way', 'place', 'house']
['group', 'fact', 'school', 'case']
['house', 'company', 'party', 'system']
['government', 'fact', 'year', 'group']
['end', 'government', 'system', 'party']
['end', 'life', 'year', 'way']
['work', 'system', 'information', 'fact']
['company', 'system', 'life', 'work']
['party', 'group', 'case', 'day']
['world', 'company', 'work', 'information']
['government', 'information', 'man', 'fact']
['year', 'school', 'life', 'information']
['place', 'way', 'work', 'part']
['information', 'fact', 'party', 'government']
['house', 'party', 'year', 'school']
['case', 'end', 'year', 'school']
['group', 'man', 'end', 'life']
['place', 'end', 'group', 'information']
['case', 'group', 'day', 'party']
['end', 'information', 'world', 'day']
['information', 'party', 'work', 'world']
['way', 'year', 'information', 'part']
['way', 'system', 'fact', 'day']
['fact', 'day', 'case', 'work']
['government', 'way', 'group', 'case']
['group', 'place', 'way', 'government']
['man', 'house', 'course', 'fact']
['day', 'part', 'life', 'world']
['place', 'party', 'way', 'fact']
['fact', 'day', 'case', 'group']
['system', 'part', 'case', 'company']
['way', 'party', 'man', 'part']
