['party', 'place', 'school', 'house']
['system', 'world', 'end', 'life']
['place', 'course', 'school', 'man']
['place', 'end', 'company', 'course']
['government', 'case', 'group', 'place']
['party', 'way', 'end', 'house']
['work', 'case', 'end', 'system']
['way', 'group', 'man', 'course']
['course', 'part', 'day', 'company']
['system', 'year', 'day', 'case']
['fact', 'school', 'work', 'course']
['school', 'end', 'course', 'fact']
['day', 'world', 'end', 'house']
['school', 'government', 'work', 'year']
['house', 'end', 'information', 'work']
['man', 'party', 'house', 'course']
['house', 'group', 'information', 'part']
['school', 'year', 'fact', 'work']
['case', 'life', 'group', 'way']
['house', 'work', 'party', 'life']
['house', 'day', 'system', 'life']
['work', 'place', 'year', 'end']
['part', 'man', 'way', 'work']
['course', 'company', 'day', 'way']
['day', 'house', 'part', 'year']
['government', 'way', 'life', 'company']
['day', 'school', 'system', 'part']
['course', 'case', 'house', 'information']
['man', 'fact', 'end', 'place']
['school', 'way', 'information', 'group']
['school', 'system', 'group', 'fact']
['world', 'party', 'day', 'course']
['course', 'world', 'company', 'life']
['party', 'place', 'day', 'company']
['case', 'part', 'house', 'course']
['case', 'party', 'work', 'system']
['part', 'way', 'day', 'year']
['information', 'world', 'day', 'company']
['system', 'world', 'end', 'school']
['government', 'year', 'part', 'day']
['place', 'fact', 'world', 'end']
['day', 'company', 'group', 'life']
['man', 'year', 'work', 'school']
['government', 'company', 'group', 'year']
['house', 'end', 'day', 'fact']
['fact', 'day', 'end', 'house']
['place', 'world', 'day', 'man']
['system', 'end', 'place', 'information']
['school', 'world', 'system', 'company']
['government', 'work', 'way', 'place']
['system', 'year', 'day', 'end']
['part', 'group', 'school', 'work']
['information', 'government', 'school', 'life']
['day', 'way', 'year', 'government']
['group', 'case', 'house', 'system']
['life', 'day', 'company', 'course']
['end', 'case', 'part', 'party']
['case', 'day', 'work', 'end']
['day', 'life', 'system', 'group']
['party', 'course', 'world', 'information']
['group', 'way', 'case', 'work']
['government', 'life', 'part', 'school']
['information', 'house', 'man', 'end']
['end', 'government', 'group', 'information']
['school', 'fact', 'work', 'information']
['government', 'way', 'company', 'course']
['part', 'fact', 'information', 'house']
['company', 'party', 'school', 'house']
['government', 'party', 'information', 'course']
['life', 'case', 'course', 'way']
['fact', 'end', 'group', 'system']
['party', 'man', 'work', 'case']
['school', 'case', 'life', 'work']
['government', 'case', 'world', 'way']
['end', 'school', 'house', 'world']
['world', 'place', 'school', 'life']
['government', 'group', 'party', 'day']
['work', 'fact', 'man', 'case']
['case', 'way', 'man', 'fact']
['government', 'way', 'place', 'year']
['place', 'school', 'company', 'course']
['world', 'day', 'course', 'house']
['life', 'system', 'day', 'world']
['work', 'part', 'company', 'day']
['house', 'school', 'work', 'world']
['system', 'world', 'life', 'man']
['year', 'group', 'man', 'way']
['life', 'part', 'house', 'course']
['life', 'man', 'way', 'year']
['life', 'end', 'course', 'company']
['house', 'work', 'day', 'way']
['group', 'course', 'world', 'part']
['company', 'house', 'government', 'fact']
['day', 'school', 'part', 'information']
['course', 'house', 'part', 'school']
['party', 'work', 'life', 'system']
['school', 'world', 'day', 'course']
['place', 'school', 'year', 'information']
['course', 'house', 'company', 'group']
