['year', 'man', 'school', 'part']
['work', 'year', 'group', 'information']
['man', 'case', 'group', 'system']
['part', 'year', 'world', 'company']
['course', 'group', 'life', 'man']
['man', 'government', 'work', 'system']
['course', 'company', 'group', 'part']
['life', 'house', 'school', 'day']
['case', 'part', 'company', 'place']
['case', 'year', 'group', 'course']
['government', 'place', 'day', 'case']
['house', 'party', 'year', 'company']
['company', 'system', 'school', 'group']
['system', 'way', 'school', 'day']
['party', 'way', 'year', 'government']
['life', 'information', 'world', 'house']
['work', 'house', 'year', 'information']
['life', 'part', 'party', 'information']
['system', 'way', 'group', 'house']
['group', 'school', 'world', 'course']
['information', 'world', 'school', 'end']
['life', 'case', 'part', 'end']
['part', 'case', 'group', 'system']
['information', 'place', 'school', 'end']
['case', 'world', 'school', 'man']
['party', 'group', 'man', 'case']
['world', 'life', 'fact', 'company']
['work', 'fact', 'day', 'case']
['year', 'man', 'work', 'house']
['government', 'course', 'year', 'company']
['way', 'fact', 'party', 'course']
['house', 'end', 'school', 'man']
['fact', 'end', 'man', 'case']
['system', 'government', 'way', 'party']
['party', 'system', 'day', 'information']
['party', 'world', 'man', 'year']
['part', 'man', 'information', 'world']
['party', 'case', 'end', 'information']
['government', 'work', 'world', 'case']
['man', 'party', 'group', 'government']
['end', 'school', 'group', 'world']
['place', 'world', 'information', 'life']
['world', 'system', 'information', 'company']
['way', 'world', 'system', 'school']
['world', 'house', 'life', 'party']
['man', 'day', 'way', 'party']
['life', 'case', 'information', 'company']
['party', 'case', 'school', 'government']
['day', 'part', 'house', 'party']
['house', 'work', 'place', 'party']
['course', 'world', 'end', 'house']
['man', 'part', 'party', 'company']
['day', 'case', 'place', 'year']
['year', 'world', 'group', 'company']
['part', 'company', 'information', 'system']
['company', 'part', 'way', 'year']
['part', 'case', 'life', 'man']
['case', 'system', 'way', 'house']
['part', 'man', 'life', 'end']
['fact', 'way', 'case', 'end']
['way', 'house', 'life', 'course']
['place', 'information', 'group', 'day']
['information', 'life', 'year', 'school']
['company', 'information', 'world', 'government']
['world', 'case', 'system', 'house']
['work', 'house', 'end', 'part']
['school', 'government', 'day', 'year']
['case', 'school', 'world', 'information']
['fact', 'end', 'course', 'way']
['fact', 'house', 'course', 'man']
['year', 'man', 'party', 'fact']
['fact', 'case', 'company', 'way']
['world', 'work', 'company', 'government']
['part', 'information', 'year', 'course']
['fact', 'group', 'case', 'information']
['day', 'man', 'party', 'fact']
['company', 'year', 'work', 'way']
['part', 'way', 'house', 'work']
['fact', 'end', 'group', 'part']
['school', 'company', 'place', 'end']
['house', 'course', 'party', 'school']
['day', 'world', 'party', 'system']
['man', 'school', 'world', 'government']
['end', 'system', 'group', 'information']
['system', 'end', 'world', 'party']
['system', 'part', 'case', 'group']
['school', 'life', 'house', 'day']
['party', 'house', 'man', 'work']
['fact', 'party', 'course', 'way']
['fact', 'company', 'end', 'man']
['day', 'end', 'course', 'case']
['work', 'house', 'course', 'place']
['case', 'way', 'life', 'man']
['company', 'fact', 'group', 'year']
['information', 'year', 'fact', 'school']
['life', 'year', 'group', 'fact']
['way', 'company', 'world', 'group']
['case', 'way', 'government', 'world']
