['man', 'part', 'year', 'course']
['school', 'part', 'company', 'way']
['life', 'company', 'way', 'fact']
['information', 'school', 'course', 'way']
['school', 'government', 'year', 'place']
['end', 'system', 'school', 'place']
['life', 'system', 'day', 'year']
['work', 'government', 'company', 'school']
['world', 'system', 'course', 'group']
['information', 'school', 'work', 'life']
['course', 'company', 'day', 'place']
['day', 'man', 'government', 'party']
['company', 'year', 'course', 'house']
['case', 'world', 'end', 'way']
['group', 'government', 'day', 'system']
['fact', 'way', 'government', 'part']
['life', 'way', 'man', 'government']
['day', 'company', 'system', 'government']
['course', 'part', 'company', 'system']
['year', 'man', 'part', 'government']
['case', 'party', 'fact', 'course']
['information', 'year', 'life', 'case']
['life', 'course', 'work', 'day']
['school', 'case', 'fact', 'government']
['end', 'government', 'part', 'man']
['fact', 'end', 'man', 'school']
['house', 'life', 'school', 'party']
['work', 'way', 'case', 'fact']
['day', 'group', 'part', 'year']
['man', 'house', 'group', 'course']
['party', 'day', 'life', 'world']
['house', 'way', 'government', 'end']
['information', 'course', 'government', 'case']
['man', 'place', 'company', 'year']
['part', 'work', 'system', 'case']
['government', 'work', 'case', 'part']
['place', 'year', 'government', 'end']
['information', 'fact', 'work', 'year']
['world', 'way', 'end', 'course']
['house', 'world', 'man', 'way']
['case', 'year', 'day', 'party']
['man', 'day', 'school', 'work']
['company', 'work', 'end', 'house']
['day', 'work', 'year', 'school']
['day', 'group', 'government', 'school']
['course', 'party', 'work', 'year']
['case', 'house', 'company', 'course']
['part', 'government', 'system', 'company']
['case', 'house', 'part', 'place']
['house', 'man', 'group', 'part']
['house', 'work', 'company', 'end']
['life', 'end', 'school', 'fact']
['information', 'school', 'group', 'case']
['course', 'world', 'way', 'life']
['place', 'system', 'year', 'way']
['place', 'company', 'information', 'case']
['government', 'system', 'day', 'end']
['part', 'course', 'work', 'case']
['day', 'man', 'party', 'work']
['end', 'house', 'party', 'school']
['government', 'house', 'work', 'man']
['house', 'fact', 'life', 'man']
['group', 'end', 'information', 'part']
['government', 'house', 'company', 'information']
['life', 'government', 'part', 'company']
['fact', 'system', 'way', 'part']
['day', 'way', 'group', 'man']
['group', 'life', 'government', 'company']
['fact', 'work', 'place', 'house']
['work', 'world', 'fact', 'place']
['course', 'end', 'world', 'case']
['part', 'work', 'group', 'world']
['government', 'system', 'day', 'party']
['information', 'course', 'life', 'work']
['world', 'year', 'course', 'case']
['case', 'house', 'group', 'day']
['way', 'world', 'man', 'life']
['fact', 'house', 'party', 'man']
['case', 'life', 'school', 'government']
['course', 'day', 'school', 'case']
['government', 'information', 'course', 'world']
['case', 'house', 'work', 'life']
['group', 'year', 'part', 'party']
['fact', 'government', 'way', 'company']
['government', 'group', 'school', 'house']
['part', 'house', 'place', 'end']
['house', 'system', 'school', 'life']
['government', 'system', 'group', 'school']
['day', 'man', 'case', 'information']
['school', 'way', 'case', 'system']
['company', 'system', 'year', 'part']
['house', 'day', 'company', 'system']
['world', 'case', 'year', 'house']
['day', 'place', 'year', 'house']
['place', 'world', 'life', 'man']
['work', 'house', 'world', 'man']
['life', 'part', 'way', 'government']
['day', 'system', 'year', 'party']
['information', 'end', 'system', 'place']
['group', 'man', 'party', 'school']
