['group', 'company', 'life', 'man']
['way', 'school', 'end', 'fact']
['school', 'end', 'company', 'course']
['school', 'part', 'way', 'group']
['government', 'system', 'day', 'way']
['fact', 'man', 'government', 'house']
['system', 'fact', 'case', 'world']
['way', 'part', 'fact', 'system']
['information', 'fact', 'company', 'year']
['world', 'work', 'man', 'case']
['day', 'government', 'school', 'year']
['man', 'house', 'end', 'day']
['party', 'group', 'day', 'year']
['party', 'work', 'day', 'way']
['world', 'house', 'part', 'year']
['place', 'government', 'fact', 'part']
['government', 'information', 'group', 'end']
['fact', 'government', 'end', 'part']
['day', 'work', 'information', 'school']
['year', 'party', 'end', 'house']
['man', 'government', 'world', 'course']
['life', 'end', 'course', 'man']
['fact', 'government', 'course', 'year']
['part', 'fact', 'year', 'information']
['world', 'company', 'year', 'system']
['system', 'course', 'case', 'life']
['world', 'man', 'end', 'fact']
['party', 'course', 'school', 'government']
['world', 'course', 'system', 'information']
['house', 'group', 'man', 'end']
['group', 'world', 'company', 'party']
['year', 'company', 'place', 'information']
['way', 'man', 'year', 'fact']
['end', 'fact', 'year', 'course']
['way', 'house', 'part', 'case']
['place', 'information', 'end', 'case']
['place', 'course', 'school', 'part']
['course', 'system', 'case', 'party']
['place', 'party', 'work', 'government']
['world', 'school', 'end', 'place']
['case', 'house', 'part', 'place']
['world', 'company', 'party', 'course']
['system', 'school', 'life', 'group']
['system', 'life', 'company', 'work']
['way', 'work', 'fact', 'part']
['party', 'government', 'way', 'school']
['company', 'day', 'man', 'year']
['course', 'fact', 'end', 'house']
['way', 'system', 'government', 'school']
['life', 'way', 'end', 'school']
['year', 'case', 'life', 'place']
['house', 'part', 'world', 'place']
['course', 'fact', 'man', 'government']
['house', 'world', 'group', 'party']
['world', 'year', 'place', 'government']
['party', 'system', 'world', 'life']
['life', 'school', 'case', 'day']
['system', 'fact', 'group', 'place']
['information', 'place', 'way', 'case']
['company', 'part', 'end', 'party']
['man', 'group', 'company', 'day']
['fact', 'system', 'case', 'company']
['system', 'place', 'company', 'man']
['fact', 'house', 'information', 'government']
['work', 'case', 'school', 'part']
['world', 'system', 'way', 'information']
['government', 'system', 'group', 'place']
['system', 'group', 'house', 'day']
['company', 'information', 'course', 'man']
['government', 'system', 'part', 'group']
['company', 'work', 'end', 'party']
['system', 'life', 'information', 'school']
['man', 'party', 'company', 'life']
['house', 'school', 'place', 'year']
['way', 'party', 'system', 'work']
['part', 'day', 'house', 'end']
['place', 'group', 'party', 'government']
['day', 'life', 'end', 'way']
['information', 'house', 'life', 'way']
['party', 'house', 'day', 'group']
['place', 'course', 'end', 'way']
['group', 'day', 'life', 'end']
['case', 'man', 'end', 'life']
['work', 'world', 'place', 'system']
['life', 'fact', 'school', 'house']
['group', 'house', 'company', 'life']
['company', 'work', 'system', 'fact']
['man', 'year', 'group', 'school']
['day', 'life', 'company', 'fact']
['house', 'company', 'system', 'case']
['fact', 'party', 'house', 'end']
['system', 'work', 'year', 'school']
['day', 'company', 'party', 'man']
['course', 'man', 'system', 'group']
['party', 'world', 'day', 'course']
['day', 'world', 'work', 'place']
['year', 'fact', 'life', 'day']
['work', 'life', 'school', 'world']
['day', 'fact', 'way', 'government']
