['life', 'fact', 'case', 'government']
['fact', 'government', 'system', 'world']
['company', 'government', 'world', 'school']
['group', 'year', 'house', 'world']
['way', 'company', 'course', 'case']
['case', 'place', 'life', 'man']
['day', 'government', 'fact', 'school']
['work', 'part', 'house', 'group']
['part', 'company', 'government', 'place']
['work', 'day', 'end', 'system']
['company', 'system', 'fact', 'place']
['school', 'group', 'fact', 'place']
['way', 'house', 'year', 'part']
['case', 'way', 'system', 'work']
['place', 'house', 'course', 'work']
['man', 'fact', 'party', 'course']
['world', 'government', 'group', 'day']
['year', 'case', 'school', 'house']
['house', 'system', 'case', 'world']
['course', 'school', 'year', 'man']
['course', 'school', 'company', 'house']
['life', 'way', 'man', 'house']
['party', 'house', 'part', 'school']
['part', 'end', 'group', 'house']
['work', 'fact', 'company', 'year']
['government', 'company', 'system', 'way']
['life', 'day', 'course', 'party']
['course', 'work', 'group', 'day']
['day', 'government', 'group', 'company']
['work', 'end', 'house', 'government']
['part', 'company', 'end', 'information']
['school', 'system', 'world', 'place']
['year', 'part', 'course', 'fact']
['fact', 'end', 'course', 'way']
['life', 'case', 'information', 'way']
['information', 'school', 'end', 'day']
['school', 'place', 'fact', 'end']
['life', 'group', 'man', 'case']
['world', 'house', 'government', 'way']
['day', 'information', 'case', 'end']
['work', 'year', 'school', 'government']
['course', 'government', 'end', 'place']
['school', 'group', 'system', 'life']
['government', 'house', 'system', 'way']
['government', 'end', 'case', 'school']
['government', 'group', 'year', 'work']
['year', 'fact', 'company', 'government']
['work', 'group', 'school', 'place']
['course', 'group', 'way', 'year']
['party', 'day', 'course', 'system']
['end', 'year', 'system', 'place']
['information', 'system', 'fact', 'government']
['government', 'house', 'way', 'school']
['work', 'group', 'course', 'year']
['man', 'life', 'end', 'party']
['way', 'course', 'life', 'man']
['school', 'company', 'day', 'way']
['system', 'work', 'way', 'group']
['government', 'fact', 'world', 'end']
['place', 'group', 'party', 'world']
['year', 'place', 'course', 'group']
['part', 'way', 'life', 'company']
['day', 'year', 'system', 'house']
['government', 'year', 'day', 'end']
['world', 'year', 'way', 'life']
['life', 'man', 'school', 'group']
['party', 'part', 'year', 'group']
['company', 'group', 'man', 'year']
['work', 'day', 'year', 'man']
['group', 'school', 'place', 'way']
['course', 'group', 'party', 'fact']
['government', 'information', 'company', 'day']
['way', 'end', 'life', 'party']
['course', 'world', 'year', 'place']
['school', 'company', 'group', 'party']
['house', 'government', 'end', 'year']
['company', 'life', 'year', 'house']
['way', 'company', 'part', 'house']
['system', 'part', 'case', 'year']
['house', 'course', 'case', 'end']
['way', 'company', 'man', 'government']
['work', 'way', 'life', 'group']
['year', 'fact', 'company', 'world']
['house', 'system', 'work', 'way']
['end', 'place', 'life', 'man']
['case', 'group', 'fact', 'way']
['course', 'work', 'part', 'world']
['man', 'way', 'year', 'day']
['system', 'day', 'world', 'man']
['end', 'information', 'school', 'work']
['life', 'house', 'place', 'party']
['government', 'fact', 'information', 'part']
['house', 'day', 'case', 'fact']
['place', 'day', 'world', 'company']
['system', 'government', 'company', 'house']
['school', 'information', 'place', 'end']
['year', 'government', 'world', 'fact']
['place', 'way', 'work', 'government']
