['information', 'place', 'group']
['work', 'information', 'school']
['fact', 'course', 'house']
['school', 'end', 'house']
['fact', 'part', 'government']
['system', 'school', 'life']
['school', 'year', 'fact']
['day', 'school', 'course']
['way', 'system', 'year']
['work', 'company', 'government']
['part', 'government', 'case']
['system', 'place', 'end']
['way', 'work', 'man']
['case', 'work', 'party']
['government', 'course', 'place']
['school', 'place', 'end']
['world', 'case', 'course']
['work', 'day', 'group']
['company', 'fact', 'part']
['way', 'world', 'information']
['end', 'way', 'man']
['case', 'house', 'part']
['party', 'part', 'work']
['year', 'house', 'company']
['group', 'company', 'life']
['work', 'fact', 'case']
['day', 'fact', 'place']
['information', 'fact', 'man']
['system', 'house', 'way']
['school', 'system', 'life']
['world', 'government', 'place']
['school', 'party', 'year']
['system', 'world', 'government']
['course', 'day', 'party']
['man', 'party', 'government']
['year', 'house', 'party']
['house', 'work', 'fact']
['work', 'government', 'system']
['place', 'case', 'course']
['world', 'year', 'way']
['group', 'day', 'year']
['day', 'case', 'house']
['world', 'work', 'school']
['work', 'company', 'way']
['place', 'party', 'year']
['way', 'house', 'group']
['world', 'fact', 'information']
['life', 'case', 'end']
['way', 'life', 'place']
['work', 'school', 'place']
['case', 'information', 'day']
['place', 'company', 'world']
['party', 'case', 'world']
['man', 'case', 'information']
['place', 'group', 'man']
['system', 'group', 'part']
['fact', 'government', 'course']
['man', 'school', 'work']
['group', 'case', 'school']
['work', 'life', 'man']
['course', 'system', 'part']
['government', 'part', 'course']
['man', 'way', 'life']
['end', 'fact', 'place']
['day', 'group', 'government']
['man', 'house', 'government']
['school', 'house', 'world']
['system', 'fact', 'life']
['part', 'government', 'day']
['group', 'company', 'case']
['house', 'group', 'party']
['part', 'information', 'work']
['man', 'place', 'information']
['part', 'day', 'world']
['information', 'end', 'man']
['end', 'work', 'way']
['year', 'system', 'day']
['part', 'case', 'school']
['place', 'life', 'system']
['year', 'case', 'system']
['end', 'government', 'system']
['year', 'system', 'end']
['way', 'group', 'end']
['fact', 'place', 'school']
['group', 'fact', 'man']
['work', 'company', 'group']
['group', 'government', 'life']
['house', 'group', 'end']
['work', 'course', 'year']
['life', 'party', 'work']
['end', 'house', 'system']
['end', 'year', 'company']
['course', 'part', 'way']
['way', 'man', 'part']
['group', 'place', 'work']
['place', 'case', 'day']
['party', 'course', 'man']
['fact', 'work', 'party']
['place', 'life', 'end']
['case', 'course', 'world']
