['day', 'place', 'school']
['world', 'place', 'end']
['place', 'man', 'day']
['house', 'way', 'year']
['government', 'day', 'party']
['year', 'work', 'way']
['company', 'day', 'house']
['system', 'place', 'school']
['school', 'government', 'end']
['house', 'party', 'government']
['work', 'course', 'government']
['part', 'house', 'fact']
['government', 'fact', 'house']
['work', 'case', 'party']
['fact', 'party', 'course']
['year', 'way', 'system']
['house', 'day', 'place']
['information', 'world', 'fact']
['way', 'group', 'house']
['information', 'case', 'day']
['school', 'world', 'government']
['school', 'fact', 'world']
['government', 'system', 'fact']
['end', 'house', 'course']
['government', 'world', 'work']
['man', 'work', 'system']
['fact', 'group', 'party']
['course', 'man', 'world']
['party', 'group', 'fact']
['school', 'system', 'group']
['party', 'life', 'work']
['case', 'fact', 'day']
['work', 'system', 'man']
['information', 'fact', 'year']
['life', 'work', 'fact']
['man', 'system', 'company']
['company', 'fact', 'part']
['party', 'man', 'work']
['place', 'house', 'life']
['place', 'life', 'end']
['fact', 'end', 'house']
['year', 'day', 'information']
['work', 'place', 'way']
['end', 'man', 'place']
['year', 'system', 'way']
['man', 'information', 'part']
['man', 'case', 'end']
['fact', 'system', 'party']
['school', 'house', 'work']
['house', 'course', 'group']
['system', 'place', 'way']
['case', 'course', 'work']
['system', 'way', 'world']
['company', 'place', 'information']
['party', 'course', 'government']
['house', 'place', 'course']
['work', 'system', 'case']
['day', 'work', 'system']
['place', 'system', 'case']
['group', 'course', 'life']
['world', 'company', 'system']
['party', 'place', 'world']
['world', 'government', 'group']
['school', 'part', 'government']
['man', 'course', 'house']
['party', 'fact', 'school']
['party', 'company', 'way']
['world', 'year', 'system']
['end', 'life', 'fact']
['group', 'government', 'man']
['end', 'course', 'party']
['year', 'man', 'course']
['day', 'work', 'system']
['course', 'school', 'fact']
['course', 'end', 'house']
['year', 'part', 'house']
['school', 'course', 'company']
['house', 'course', 'part']
['end', 'system', 'course']
['day', 'course', 'company']
['place', 'end', 'party']
['part', 'way', 'year']
['system', 'life', 'party']
['world', 'place', 'government']
['course', 'case', 'life']
['life', 'way', 'fact']
['way', 'man', 'government']
['way', 'life', 'fact']
['party', 'course', 'case']
['part', 'house', 'way']
['fact', 'part', 'course']
['group', 'place', 'world']
['world', 'group', 'place']
['house', 'party', 'fact']
['way', 'course', 'end']
['fact', 'part', 'house']
['house', 'group', 'information']
