['man', 'world', 'party', 'group', 'day']
['school', 'fact', 'case', 'work', 'world']
['party', 'life', 'school', 'information', 'company']
['course', 'group', 'party', 'school', 'man']
['end', 'company', 'house', 'year', 'group']
['way', 'government', 'course', 'place', 'school']
['way', 'year', 'work', 'government', 'party']
['man', 'school', 'party', 'company', 'day']
['fact', 'information', 'company', 'man', 'party']
['system', 'government', 'house', 'school', 'party']
['end', 'house', 'way', 'school', 'man']
['man', 'place', 'world', 'end', 'life']
['man', 'day', 'year', 'information', 'fact']
['fact', 'world', 'end', 'year', 'company']
['end', 'life', 'part', 'group', 'case']
['place', 'case', 'life', 'world', 'house']
['school', 'company', 'fact', 'information', 'year']
['man', 'system', 'party', 'course', 'work']
['place', 'year', 'life', 'house', 'part']
['place', 'house', 'year', 'system', 'day']
['end', 'school', 'company', 'life', 'year']
['work', 'fact', 'party', 'information', 'group']
['system', 'case', 'work', 'day', 'life']
['man', 'place', 'house', 'way', 'information']
['company', 'school', 'party', 'system', 'day']
['group', 'case', 'work', 'school', 'life']
['world', 'case', 'information', 'school', 'group']
['world', 'part', 'house', 'way', 'man']
['year', 'case', 'party', 'place', 'company']
['party', 'course', 'life', 'place', 'information']
['world', 'system', 'house', 'government', 'work']
['work', 'company', 'year', 'world', 'end']
['information', 'group', 'place', 'world', 'part']
['man', 'school', 'year', 'company', 'end']
['course', 'government', 'place', 'life', 'day']
['case', 'end', 'government', 'world', 'information']
['end', 'party', 'man', 'way', 'work']
['work', 'man', 'house', 'day', 'fact']
['life', 'system', 'work', 'fact', 'man']
['part', 'course', 'information', 'way', 'place']
['government', 'case', 'group', 'work', 'end']
['part', 'world', 'man', 'school', 'group']
['system', 'way', 'end', 'world', 'school']
['system', 'work', 'school', 'party', 'year']
['school', 'fact', 'man', 'group', 'government']
['fact', 'course', 'information', 'government', 'place']
['party', 'group', 'information', 'world', 'life']
['system', 'course', 'man', 'world', 'company']
['party', 'fact', 'house', 'company', 'day']
['way', 'group', 'year', 'case', 'school']
['school', 'government', 'end', 'house', 'company']
['group', 'system', 'man', 'fact', 'government']
['course', 'government', 'party', 'house', 'group']
['year', 'fact', 'course', 'work', 'life']
['end', 'place', 'fact', 'part', 'group']
['day', 'work', 'man', 'way', 'house']
['group', 'party', 'information', 'system', 'work']
['man', 'party', 'day', 'place', 'government']
['system', 'school', 'part', 'end', 'work']
['house', 'system', 'party', 'work', 'school']
['year', 'life', 'work', 'school', 'place']
['way', 'fact', 'year', 'information', 'life']
['company', 'house', 'case', 'system', 'part']
['day', 'group', 'case', 'part', 'work']
['part', 'party', 'day', 'system', 'work']
['day', 'party', 'life', 'house', 'government']
['course', 'day', 'house', 'life', 'party']
['year', 'part', 'system', 'course', 'company']
['end', 'house', 'party', 'year', 'world']
['day', 'group', 'case', 'fact', 'school']
['day', 'house', 'government', 'end', 'work']
['government', 'part', 'case', 'way', 'year']
['system', 'information', 'world', 'company', 'school']
['work', 'end', 'house', 'school', 'world']
['school', 'life', 'party', 'group', 'government']
['group', 'year', 'school', 'man', 'company']
['man', 'company', 'house', 'information', 'party']
['part', 'day', 'fact', 'life', 'place']
['day', 'case', 'group', 'life', 'school']
['information', 'world', 'group', 'year', 'fact']
['course', 'part', 'party', 'case', 'group']
['day', 'company', 'government', 'year', 'life']
['end', 'group', 'life', 'way', 'part']
['party', 'course', 'house', 'company', 'world']
['case', 'government', 'man', 'world', 'company']
['work', 'place', 'course', 'life', 'group']
['government', 'man', 'end', 'place', 'house']
['system', 'party', 'information', 'part', 'work']
['house', 'company', 'system', 'case', 'life']
['fact', 'life', 'party', 'school', 'way']
['life', 'group', 'way', 'system', 'man']
['way', 'house', 'course', 'system', 'company']
['life', 'house', 'world', 'system', 'course']
['government', 'place', 'day', 'man', 'system']
['work', 'life', 'information', 'system', 'school']
['fact', 'world', 'system', 'government', 'case']
['course', 'company', 'fact', 'house', 'year']
['part', 'course', 'place', 'work', 'fact']
['day', 'world', 'school', 'group', 'place']
